numCycle,collective,ranks,rankspernode,gpusperrank,size,type,redop,inplace,time,algbw,busbw,#wrong
0,"AllReduce",1,8,8,1,4096,"float","sum",0,22.835900,0.179367,0.313892,"0"
0,"AllReduce",1,8,8,1,4096,"float","sum",1,22.354981,0.183225,0.320644,"0"
0,"AllReduce",1,8,8,1,8192,"float","sum",0,26.866112,0.304919,0.533609,"0"
0,"AllReduce",1,8,8,1,8192,"float","sum",1,26.626925,0.307659,0.538402,"0"
0,"AllReduce",1,8,8,1,16384,"float","sum",0,34.760569,0.471339,0.824843,"0"
0,"AllReduce",1,8,8,1,16384,"float","sum",1,33.728269,0.485765,0.850088,"0"
0,"AllReduce",1,8,8,1,32768,"float","sum",0,34.280913,0.955867,1.672768,"0"
0,"AllReduce",1,8,8,1,32768,"float","sum",1,33.758662,0.970655,1.698645,"0"
0,"AllReduce",1,8,8,1,65536,"float","sum",0,35.597175,1.841045,3.221829,"0"
0,"AllReduce",1,8,8,1,65536,"float","sum",1,35.052913,1.869631,3.271854,"0"
0,"AllReduce",1,8,8,1,131072,"float","sum",0,36.752113,3.566380,6.241165,"0"
0,"AllReduce",1,8,8,1,131072,"float","sum",1,39.221725,3.341821,5.848187,"0"
0,"AllReduce",1,8,8,1,262144,"float","sum",0,36.140988,7.253371,12.693400,"0"
0,"AllReduce",1,8,8,1,262144,"float","sum",1,36.242612,7.233033,12.657807,"0"
0,"AllReduce",1,8,8,1,524288,"float","sum",0,44.281475,11.839895,20.719816,"0"
0,"AllReduce",1,8,8,1,524288,"float","sum",1,42.766025,12.259451,21.454040,"0"
0,"AllReduce",1,8,8,1,1048576,"float","sum",0,46.092425,22.749421,39.811487,"0"
0,"AllReduce",1,8,8,1,1048576,"float","sum",1,43.951850,23.857380,41.750416,"0"
0,"AllReduce",1,8,8,1,2097152,"float","sum",0,47.243063,44.390687,77.683702,"0"
0,"AllReduce",1,8,8,1,2097152,"float","sum",1,50.943087,41.166567,72.041491,"0"
0,"AllReduce",1,8,8,1,4194304,"float","sum",0,59.169225,70.886580,124.051515,"0"
0,"AllReduce",1,8,8,1,4194304,"float","sum",1,57.194550,73.333980,128.334465,"0"
0,"AllReduce",1,8,8,1,8388608,"float","sum",0,76.572625,109.551005,191.714258,"0"
0,"AllReduce",1,8,8,1,8388608,"float","sum",1,74.309488,112.887443,197.553024,"0"
0,"AllReduce",1,8,8,1,16777216,"float","sum",0,110.701419,151.553758,265.219076,"0"
0,"AllReduce",1,8,8,1,16777216,"float","sum",1,108.906588,154.051434,269.590010,"0"
0,"AllReduce",1,8,8,1,33554432,"float","sum",0,185.523950,180.863075,316.510380,"0"
0,"AllReduce",1,8,8,1,33554432,"float","sum",1,184.597075,181.771201,318.099602,"0"
0,"AllReduce",1,8,8,1,67108864,"float","sum",0,330.653150,202.958490,355.177357,"0"
0,"AllReduce",1,8,8,1,67108864,"float","sum",1,329.313969,203.783837,356.621714,"0"
0,"AllReduce",1,8,8,1,134217728,"float","sum",0,619.450725,216.672162,379.176284,"0"
0,"AllReduce",1,8,8,1,134217728,"float","sum",1,618.064950,217.157967,380.026442,"0"
0,"AllReduce",1,8,8,1,268435456,"float","sum",0,1202.174100,223.291665,390.760413,"0"
0,"AllReduce",1,8,8,1,268435456,"float","sum",1,1202.386606,223.252201,390.691351,"0"
0,"AllReduce",1,8,8,1,536870912,"float","sum",0,2363.050100,227.194046,397.589580,"0"
0,"AllReduce",1,8,8,1,536870912,"float","sum",1,2361.521400,227.341117,397.846954,"0"
