numCycle,collective,ranks,rankspernode,gpusperrank,size,type,redop,inplace,time,algbw,busbw,#wrong
0,"AllReduce",1,8,8,1,4096,"float","sum",0,22.705294,0.180398,0.315697,"0"
0,"AllReduce",1,8,8,1,4096,"float","sum",1,22.239612,0.184176,0.322308,"0"
0,"AllReduce",1,8,8,1,8192,"float","sum",0,26.756306,0.306171,0.535799,"0"
0,"AllReduce",1,8,8,1,8192,"float","sum",1,27.158363,0.301638,0.527867,"0"
0,"AllReduce",1,8,8,1,16384,"float","sum",0,35.308713,0.464021,0.812038,"0"
0,"AllReduce",1,8,8,1,16384,"float","sum",1,33.129288,0.494547,0.865458,"0"
0,"AllReduce",1,8,8,1,32768,"float","sum",0,34.168913,0.959000,1.678251,"0"
0,"AllReduce",1,8,8,1,32768,"float","sum",1,34.371788,0.953340,1.668345,"0"
0,"AllReduce",1,8,8,1,65536,"float","sum",0,34.998413,1.872542,3.276949,"0"
0,"AllReduce",1,8,8,1,65536,"float","sum",1,35.863600,1.827368,3.197894,"0"
0,"AllReduce",1,8,8,1,131072,"float","sum",0,37.723600,3.474536,6.080438,"0"
0,"AllReduce",1,8,8,1,131072,"float","sum",1,37.405175,3.504114,6.132200,"0"
0,"AllReduce",1,8,8,1,262144,"float","sum",0,36.245613,7.232434,12.656759,"0"
0,"AllReduce",1,8,8,1,262144,"float","sum",1,36.301413,7.221317,12.637304,"0"
0,"AllReduce",1,8,8,1,524288,"float","sum",0,45.357925,11.558906,20.228086,"0"
0,"AllReduce",1,8,8,1,524288,"float","sum",1,44.194850,11.863102,20.760428,"0"
0,"AllReduce",1,8,8,1,1048576,"float","sum",0,47.549925,22.052106,38.591186,"0"
0,"AllReduce",1,8,8,1,1048576,"float","sum",1,45.077238,23.261763,40.708085,"0"
0,"AllReduce",1,8,8,1,2097152,"float","sum",0,48.766625,43.003837,75.256715,"0"
0,"AllReduce",1,8,8,1,2097152,"float","sum",1,47.142500,44.485379,77.849414,"0"
0,"AllReduce",1,8,8,1,4194304,"float","sum",0,59.510325,70.480274,123.340479,"0"
0,"AllReduce",1,8,8,1,4194304,"float","sum",1,58.055938,72.245909,126.430341,"0"
0,"AllReduce",1,8,8,1,8388608,"float","sum",0,77.437687,108.327202,189.572603,"0"
0,"AllReduce",1,8,8,1,8388608,"float","sum",1,75.001112,111.846448,195.731283,"0"
0,"AllReduce",1,8,8,1,16777216,"float","sum",0,111.477175,150.499113,263.373448,"0"
0,"AllReduce",1,8,8,1,16777216,"float","sum",1,109.823850,152.764777,267.338360,"0"
0,"AllReduce",1,8,8,1,33554432,"float","sum",0,186.428650,179.985383,314.974421,"0"
0,"AllReduce",1,8,8,1,33554432,"float","sum",1,185.299025,181.082615,316.894576,"0"
0,"AllReduce",1,8,8,1,67108864,"float","sum",0,331.515038,202.430829,354.253951,"0"
0,"AllReduce",1,8,8,1,67108864,"float","sum",1,330.963975,202.767881,354.843792,"0"
0,"AllReduce",1,8,8,1,134217728,"float","sum",0,620.471100,216.315841,378.552722,"0"
0,"AllReduce",1,8,8,1,134217728,"float","sum",1,619.807788,216.547340,378.957846,"0"
0,"AllReduce",1,8,8,1,268435456,"float","sum",0,1203.649787,223.017907,390.281337,"0"
0,"AllReduce",1,8,8,1,268435456,"float","sum",1,1202.579394,223.216411,390.628719,"0"
0,"AllReduce",1,8,8,1,536870912,"float","sum",0,2366.780613,226.835943,396.962900,"0"
0,"AllReduce",1,8,8,1,536870912,"float","sum",1,2368.430950,226.677882,396.686294,"0"
