numCycle,collective,ranks,rankspernode,gpusperrank,size,type,redop,inplace,time,algbw,busbw,#wrong
0,"AllReduce",1,8,8,1,4096,"float","sum",0,23.585338,0.173667,0.303918,"0"
0,"AllReduce",1,8,8,1,4096,"float","sum",1,21.904388,0.186995,0.327240,"0"
0,"AllReduce",1,8,8,1,8192,"float","sum",0,26.002363,0.315048,0.551335,"0"
0,"AllReduce",1,8,8,1,8192,"float","sum",1,26.155925,0.313199,0.548098,"0"
0,"AllReduce",1,8,8,1,16384,"float","sum",0,36.180050,0.452846,0.792481,"0"
0,"AllReduce",1,8,8,1,16384,"float","sum",1,32.823700,0.499152,0.873515,"0"
0,"AllReduce",1,8,8,1,32768,"float","sum",0,33.940587,0.965452,1.689541,"0"
0,"AllReduce",1,8,8,1,32768,"float","sum",1,33.626231,0.974477,1.705335,"0"
0,"AllReduce",1,8,8,1,65536,"float","sum",0,34.939600,1.875694,3.282465,"0"
0,"AllReduce",1,8,8,1,65536,"float","sum",1,34.844538,1.880811,3.291420,"0"
0,"AllReduce",1,8,8,1,131072,"float","sum",0,38.236519,3.427927,5.998872,"0"
0,"AllReduce",1,8,8,1,131072,"float","sum",1,36.337987,3.607024,6.312292,"0"
0,"AllReduce",1,8,8,1,262144,"float","sum",0,36.481612,7.185647,12.574883,"0"
0,"AllReduce",1,8,8,1,262144,"float","sum",1,36.460863,7.189737,12.582039,"0"
0,"AllReduce",1,8,8,1,524288,"float","sum",0,44.485913,11.785484,20.624597,"0"
0,"AllReduce",1,8,8,1,524288,"float","sum",1,43.218162,12.131196,21.229593,"0"
0,"AllReduce",1,8,8,1,1048576,"float","sum",0,47.491687,22.079148,38.638509,"0"
0,"AllReduce",1,8,8,1,1048576,"float","sum",1,44.025975,23.817212,41.680122,"0"
0,"AllReduce",1,8,8,1,2097152,"float","sum",0,47.490875,44.159052,77.278340,"0"
0,"AllReduce",1,8,8,1,2097152,"float","sum",1,46.136862,45.455020,79.546285,"0"
0,"AllReduce",1,8,8,1,4194304,"float","sum",0,58.856075,71.263740,124.711544,"0"
0,"AllReduce",1,8,8,1,4194304,"float","sum",1,57.174925,73.359152,128.378516,"0"
0,"AllReduce",1,8,8,1,8388608,"float","sum",0,76.597625,109.515249,191.651686,"0"
0,"AllReduce",1,8,8,1,8388608,"float","sum",1,74.168238,113.102431,197.929255,"0"
0,"AllReduce",1,8,8,1,16777216,"float","sum",0,111.013788,151.127318,264.472807,"0"
0,"AllReduce",1,8,8,1,16777216,"float","sum",1,109.443213,153.296085,268.268149,"0"
0,"AllReduce",1,8,8,1,33554432,"float","sum",0,186.051525,180.350212,315.612871,"0"
0,"AllReduce",1,8,8,1,33554432,"float","sum",1,184.852825,181.519714,317.659500,"0"
0,"AllReduce",1,8,8,1,67108864,"float","sum",0,329.620506,203.594324,356.290066,"0"
0,"AllReduce",1,8,8,1,67108864,"float","sum",1,330.721256,202.916694,355.104215,"0"
0,"AllReduce",1,8,8,1,134217728,"float","sum",0,618.461400,217.018763,379.782835,"0"
0,"AllReduce",1,8,8,1,134217728,"float","sum",1,619.578225,216.627574,379.098255,"0"
0,"AllReduce",1,8,8,1,268435456,"float","sum",0,1202.814681,223.172747,390.552306,"0"
0,"AllReduce",1,8,8,1,268435456,"float","sum",1,1202.722900,223.189777,390.582110,"0"
0,"AllReduce",1,8,8,1,536870912,"float","sum",0,2366.553987,226.857665,397.000914,"0"
0,"AllReduce",1,8,8,1,536870912,"float","sum",1,2369.295275,226.595190,396.541582,"0"
