numCycle,collective,ranks,rankspernode,gpusperrank,size,type,redop,inplace,time,algbw,busbw,#wrong
0,"AllReduce",1,8,8,1,4096,"float","sum",0,23.259669,0.176099,0.308173,"0"
0,"AllReduce",1,8,8,1,4096,"float","sum",1,22.273088,0.183899,0.321823,"0"
0,"AllReduce",1,8,8,1,8192,"float","sum",0,26.856050,0.305034,0.533809,"0"
0,"AllReduce",1,8,8,1,8192,"float","sum",1,26.580362,0.308197,0.539346,"0"
0,"AllReduce",1,8,8,1,16384,"float","sum",0,35.292850,0.464230,0.812403,"0"
0,"AllReduce",1,8,8,1,16384,"float","sum",1,33.375538,0.490898,0.859072,"0"
0,"AllReduce",1,8,8,1,32768,"float","sum",0,34.080681,0.961483,1.682595,"0"
0,"AllReduce",1,8,8,1,32768,"float","sum",1,33.679600,0.972933,1.702633,"0"
0,"AllReduce",1,8,8,1,65536,"float","sum",0,35.144550,1.864756,3.263322,"0"
0,"AllReduce",1,8,8,1,65536,"float","sum",1,35.080987,1.868134,3.269235,"0"
0,"AllReduce",1,8,8,1,131072,"float","sum",0,38.765013,3.381193,5.917088,"0"
0,"AllReduce",1,8,8,1,131072,"float","sum",1,36.917125,3.550439,6.213268,"0"
0,"AllReduce",1,8,8,1,262144,"float","sum",0,36.003675,7.281035,12.741810,"0"
0,"AllReduce",1,8,8,1,262144,"float","sum",1,36.173863,7.246779,12.681864,"0"
0,"AllReduce",1,8,8,1,524288,"float","sum",0,44.797550,11.703497,20.481120,"0"
0,"AllReduce",1,8,8,1,524288,"float","sum",1,43.204400,12.135060,21.236356,"0"
0,"AllReduce",1,8,8,1,1048576,"float","sum",0,46.473438,22.562910,39.485093,"0"
0,"AllReduce",1,8,8,1,1048576,"float","sum",1,43.946163,23.860468,41.755819,"0"
0,"AllReduce",1,8,8,1,2097152,"float","sum",0,47.507250,44.143831,77.251704,"0"
0,"AllReduce",1,8,8,1,2097152,"float","sum",1,46.154050,45.438093,79.516662,"0"
0,"AllReduce",1,8,8,1,4194304,"float","sum",0,58.773075,71.364379,124.887663,"0"
0,"AllReduce",1,8,8,1,4194304,"float","sum",1,57.010362,73.570906,128.749085,"0"
0,"AllReduce",1,8,8,1,8388608,"float","sum",0,76.566000,109.560484,191.730847,"0"
0,"AllReduce",1,8,8,1,8388608,"float","sum",1,74.094238,113.215390,198.126933,"0"
0,"AllReduce",1,8,8,1,16777216,"float","sum",0,110.581163,151.718571,265.507500,"0"
0,"AllReduce",1,8,8,1,16777216,"float","sum",1,108.952150,153.987012,269.477271,"0"
0,"AllReduce",1,8,8,1,33554432,"float","sum",0,185.999900,180.400269,315.700471,"0"
0,"AllReduce",1,8,8,1,33554432,"float","sum",1,184.504650,181.862257,318.258949,"0"
0,"AllReduce",1,8,8,1,67108864,"float","sum",0,331.439975,202.476675,354.334181,"0"
0,"AllReduce",1,8,8,1,67108864,"float","sum",1,330.705725,202.926224,355.120892,"0"
0,"AllReduce",1,8,8,1,134217728,"float","sum",0,618.545487,216.989261,379.731206,"0"
0,"AllReduce",1,8,8,1,134217728,"float","sum",1,617.572800,217.331022,380.329289,"0"
0,"AllReduce",1,8,8,1,268435456,"float","sum",0,1231.047687,218.054474,381.595330,"0"
0,"AllReduce",1,8,8,1,268435456,"float","sum",1,1201.737250,223.372835,390.902461,"0"
0,"AllReduce",1,8,8,1,536870912,"float","sum",0,2364.845875,227.021523,397.287665,"0"
0,"AllReduce",1,8,8,1,536870912,"float","sum",1,2366.977350,226.817089,396.929906,"0"
