numCycle,collective,ranks,rankspernode,gpusperrank,size,type,redop,inplace,time,algbw,busbw,#wrong
0,"AllReduce",1,8,8,1,4096,"float","sum",0,25.551788,0.160302,0.280528,"0"
0,"AllReduce",1,8,8,1,4096,"float","sum",1,23.562062,0.173839,0.304218,"0"
0,"AllReduce",1,8,8,1,8192,"float","sum",0,24.011113,0.341175,0.597057,"0"
0,"AllReduce",1,8,8,1,8192,"float","sum",1,23.384087,0.350324,0.613066,"0"
0,"AllReduce",1,8,8,1,16384,"float","sum",0,27.364425,0.598734,1.047784,"0"
0,"AllReduce",1,8,8,1,16384,"float","sum",1,25.588181,0.640296,1.120517,"0"
0,"AllReduce",1,8,8,1,32768,"float","sum",0,25.973181,1.261609,2.207816,"0"
0,"AllReduce",1,8,8,1,32768,"float","sum",1,24.475350,1.338816,2.342929,"0"
0,"AllReduce",1,8,8,1,65536,"float","sum",0,26.707425,2.453849,4.294237,"0"
0,"AllReduce",1,8,8,1,65536,"float","sum",1,25.087288,2.612319,4.571558,"0"
0,"AllReduce",1,8,8,1,131072,"float","sum",0,29.150075,4.496455,7.868796,"0"
0,"AllReduce",1,8,8,1,131072,"float","sum",1,27.025488,4.849940,8.487395,"0"
0,"AllReduce",1,8,8,1,262144,"float","sum",0,26.216050,9.999371,17.498899,"0"
0,"AllReduce",1,8,8,1,262144,"float","sum",1,25.923475,10.112225,17.696393,"0"
0,"AllReduce",1,8,8,1,524288,"float","sum",0,26.918688,19.476730,34.084277,"0"
0,"AllReduce",1,8,8,1,524288,"float","sum",1,26.336613,19.907192,34.837586,"0"
0,"AllReduce",1,8,8,1,1048576,"float","sum",0,40.234781,26.061432,45.607505,"0"
0,"AllReduce",1,8,8,1,1048576,"float","sum",1,37.167688,28.212032,49.371057,"0"
0,"AllReduce",1,8,8,1,2097152,"float","sum",0,50.740838,41.330654,72.328645,"0"
0,"AllReduce",1,8,8,1,2097152,"float","sum",1,49.665269,42.225725,73.895019,"0"
0,"AllReduce",1,8,8,1,4194304,"float","sum",0,75.848550,55.298407,96.772213,"0"
0,"AllReduce",1,8,8,1,4194304,"float","sum",1,74.967800,55.948074,97.909129,"0"
0,"AllReduce",1,8,8,1,8388608,"float","sum",0,144.500575,58.052420,101.591734,"0"
0,"AllReduce",1,8,8,1,8388608,"float","sum",1,142.082175,59.040538,103.320941,"0"
0,"AllReduce",1,8,8,1,16777216,"float","sum",0,264.919363,63.329520,110.826660,"0"
0,"AllReduce",1,8,8,1,16777216,"float","sum",1,262.884325,63.819766,111.684590,"0"
0,"AllReduce",1,8,8,1,33554432,"float","sum",0,501.416038,66.919343,117.108851,"0"
0,"AllReduce",1,8,8,1,33554432,"float","sum",1,500.216400,67.079832,117.389706,"0"
0,"AllReduce",1,8,8,1,67108864,"float","sum",0,921.919525,72.792540,127.386945,"0"
0,"AllReduce",1,8,8,1,67108864,"float","sum",1,917.503288,73.142914,128.000099,"0"
0,"AllReduce",1,8,8,1,134217728,"float","sum",0,1820.501869,73.725674,129.019930,"0"
0,"AllReduce",1,8,8,1,134217728,"float","sum",1,1819.771794,73.755252,129.071692,"0"
0,"AllReduce",1,8,8,1,268435456,"float","sum",0,3636.742475,73.812061,129.171106,"0"
0,"AllReduce",1,8,8,1,268435456,"float","sum",1,3636.224588,73.822573,129.189503,"0"
0,"AllReduce",1,8,8,1,536870912,"float","sum",0,7251.071788,74.040215,129.570376,"0"
0,"AllReduce",1,8,8,1,536870912,"float","sum",1,7285.722100,73.688085,128.954149,"0"
