numCycle,collective,ranks,rankspernode,gpusperrank,size,type,redop,inplace,time,algbw,busbw,#wrong
0,"AllReduce",1,8,8,1,4096,"float","sum",0,41.915794,0.097720,0.171010,"0"
0,"AllReduce",1,8,8,1,4096,"float","sum",1,41.041663,0.099801,0.174652,"0"
0,"AllReduce",1,8,8,1,8192,"float","sum",0,41.134012,0.199154,0.348519,"0"
0,"AllReduce",1,8,8,1,8192,"float","sum",1,40.667838,0.201437,0.352514,"0"
0,"AllReduce",1,8,8,1,16384,"float","sum",0,43.155288,0.379652,0.664391,"0"
0,"AllReduce",1,8,8,1,16384,"float","sum",1,39.412644,0.415704,0.727482,"0"
0,"AllReduce",1,8,8,1,32768,"float","sum",0,40.747388,0.804174,1.407305,"0"
0,"AllReduce",1,8,8,1,32768,"float","sum",1,39.794950,0.823421,1.440987,"0"
0,"AllReduce",1,8,8,1,65536,"float","sum",0,42.635838,1.537111,2.689944,"0"
0,"AllReduce",1,8,8,1,65536,"float","sum",1,40.780025,1.607061,2.812357,"0"
0,"AllReduce",1,8,8,1,131072,"float","sum",0,46.029363,2.847574,4.983254,"0"
0,"AllReduce",1,8,8,1,131072,"float","sum",1,43.575350,3.007939,5.263893,"0"
0,"AllReduce",1,8,8,1,262144,"float","sum",0,44.579725,5.880341,10.290597,"0"
0,"AllReduce",1,8,8,1,262144,"float","sum",1,43.454350,6.032630,10.557102,"0"
0,"AllReduce",1,8,8,1,524288,"float","sum",0,43.868725,11.951293,20.914763,"0"
0,"AllReduce",1,8,8,1,524288,"float","sum",1,43.463725,12.062657,21.109649,"0"
0,"AllReduce",1,8,8,1,1048576,"float","sum",0,46.486525,22.556558,39.473977,"0"
0,"AllReduce",1,8,8,1,1048576,"float","sum",1,44.445475,23.592413,41.286723,"0"
0,"AllReduce",1,8,8,1,2097152,"float","sum",0,47.558000,44.096724,77.169267,"0"
0,"AllReduce",1,8,8,1,2097152,"float","sum",1,46.366500,45.229897,79.152319,"0"
0,"AllReduce",1,8,8,1,4194304,"float","sum",0,59.312013,70.715928,123.752874,"0"
0,"AllReduce",1,8,8,1,4194304,"float","sum",1,57.408500,73.060679,127.856189,"0"
0,"AllReduce",1,8,8,1,8388608,"float","sum",0,76.811838,109.209834,191.117209,"0"
0,"AllReduce",1,8,8,1,8388608,"float","sum",1,74.456738,112.664190,197.162332,"0"
0,"AllReduce",1,8,8,1,16777216,"float","sum",0,110.931225,151.239797,264.669646,"0"
0,"AllReduce",1,8,8,1,16777216,"float","sum",1,109.299838,153.497172,268.620052,"0"
0,"AllReduce",1,8,8,1,33554432,"float","sum",0,186.388338,180.024311,315.042544,"0"
0,"AllReduce",1,8,8,1,33554432,"float","sum",1,184.984400,181.390604,317.433557,"0"
0,"AllReduce",1,8,8,1,67108864,"float","sum",0,330.998113,202.746969,354.807195,"0"
0,"AllReduce",1,8,8,1,67108864,"float","sum",1,331.162225,202.646494,354.631365,"0"
0,"AllReduce",1,8,8,1,134217728,"float","sum",0,619.894112,216.517185,378.905073,"0"
0,"AllReduce",1,8,8,1,134217728,"float","sum",1,618.161738,217.123966,379.966940,"0"
0,"AllReduce",1,8,8,1,268435456,"float","sum",0,1202.947312,223.148141,390.509246,"0"
0,"AllReduce",1,8,8,1,268435456,"float","sum",1,1201.679556,223.383559,390.921228,"0"
0,"AllReduce",1,8,8,1,536870912,"float","sum",0,2363.885219,227.113782,397.449118,"0"
0,"AllReduce",1,8,8,1,536870912,"float","sum",1,2366.873225,226.827067,396.947368,"0"
