numCycle,collective,ranks,rankspernode,gpusperrank,size,type,redop,inplace,time,algbw,busbw,#wrong
0,"AllReduce",1,8,8,1,4096,"float","sum",0,42.707413,0.095908,0.167840,"0"
0,"AllReduce",1,8,8,1,4096,"float","sum",1,41.332588,0.099099,0.173422,"0"
0,"AllReduce",1,8,8,1,8192,"float","sum",0,41.990088,0.195094,0.341414,"0"
0,"AllReduce",1,8,8,1,8192,"float","sum",1,40.768138,0.200941,0.351647,"0"
0,"AllReduce",1,8,8,1,16384,"float","sum",0,42.392025,0.386488,0.676354,"0"
0,"AllReduce",1,8,8,1,16384,"float","sum",1,39.730325,0.412380,0.721665,"0"
0,"AllReduce",1,8,8,1,32768,"float","sum",0,41.009588,0.799033,1.398307,"0"
0,"AllReduce",1,8,8,1,32768,"float","sum",1,40.055012,0.818075,1.431631,"0"
0,"AllReduce",1,8,8,1,65536,"float","sum",0,42.037525,1.558988,2.728229,"0"
0,"AllReduce",1,8,8,1,65536,"float","sum",1,40.412150,1.621691,2.837958,"0"
0,"AllReduce",1,8,8,1,131072,"float","sum",0,45.362113,2.889460,5.056555,"0"
0,"AllReduce",1,8,8,1,131072,"float","sum",1,42.708112,3.069019,5.370783,"0"
0,"AllReduce",1,8,8,1,262144,"float","sum",0,44.407238,5.903182,10.330568,"0"
0,"AllReduce",1,8,8,1,262144,"float","sum",1,43.216225,6.065870,10.615272,"0"
0,"AllReduce",1,8,8,1,524288,"float","sum",0,43.758100,11.981507,20.967638,"0"
0,"AllReduce",1,8,8,1,524288,"float","sum",1,42.845225,12.236790,21.414382,"0"
0,"AllReduce",1,8,8,1,1048576,"float","sum",0,44.677913,23.469673,41.071928,"0"
0,"AllReduce",1,8,8,1,1048576,"float","sum",1,44.029100,23.815522,41.677164,"0"
0,"AllReduce",1,8,8,1,2097152,"float","sum",0,47.591363,44.065811,77.115170,"0"
0,"AllReduce",1,8,8,1,2097152,"float","sum",1,46.121219,45.470438,79.573266,"0"
0,"AllReduce",1,8,8,1,4194304,"float","sum",0,58.901575,71.208690,124.615208,"0"
0,"AllReduce",1,8,8,1,4194304,"float","sum",1,57.201750,73.324750,128.318312,"0"
0,"AllReduce",1,8,8,1,8388608,"float","sum",0,76.501063,109.653484,191.893596,"0"
0,"AllReduce",1,8,8,1,8388608,"float","sum",1,74.331050,112.854695,197.495717,"0"
0,"AllReduce",1,8,8,1,16777216,"float","sum",0,111.130019,150.969254,264.196194,"0"
0,"AllReduce",1,8,8,1,16777216,"float","sum",1,109.328838,153.456457,268.548799,"0"
0,"AllReduce",1,8,8,1,33554432,"float","sum",0,185.918788,180.478974,315.838204,"0"
0,"AllReduce",1,8,8,1,33554432,"float","sum",1,185.173900,181.204975,317.108707,"0"
0,"AllReduce",1,8,8,1,67108864,"float","sum",0,330.607400,202.986576,355.226507,"0"
0,"AllReduce",1,8,8,1,67108864,"float","sum",1,329.522337,203.654977,356.396209,"0"
0,"AllReduce",1,8,8,1,134217728,"float","sum",0,619.973813,216.489351,378.856363,"0"
0,"AllReduce",1,8,8,1,134217728,"float","sum",1,618.834425,216.887947,379.553907,"0"
0,"AllReduce",1,8,8,1,268435456,"float","sum",0,1203.005925,223.137268,390.490220,"0"
0,"AllReduce",1,8,8,1,268435456,"float","sum",1,1201.747363,223.370955,390.899171,"0"
0,"AllReduce",1,8,8,1,536870912,"float","sum",0,2366.837550,226.830486,396.953351,"0"
0,"AllReduce",1,8,8,1,536870912,"float","sum",1,2367.274812,226.788588,396.880029,"0"
