numCycle,collective,ranks,rankspernode,gpusperrank,size,type,redop,inplace,time,algbw,busbw,#wrong
0,"AllReduce",1,8,8,1,4096,"float","sum",0,21.647450,0.189214,0.331124,"0"
0,"AllReduce",1,8,8,1,4096,"float","sum",1,19.580900,0.209183,0.366071,"0"
0,"AllReduce",1,8,8,1,8192,"float","sum",0,20.841075,0.393070,0.687872,"0"
0,"AllReduce",1,8,8,1,8192,"float","sum",1,20.563450,0.398377,0.697159,"0"
0,"AllReduce",1,8,8,1,16384,"float","sum",0,24.083413,0.680302,1.190529,"0"
0,"AllReduce",1,8,8,1,16384,"float","sum",1,22.412006,0.731037,1.279314,"0"
0,"AllReduce",1,8,8,1,32768,"float","sum",0,21.725013,1.508308,2.639538,"0"
0,"AllReduce",1,8,8,1,32768,"float","sum",1,21.513137,1.523162,2.665534,"0"
0,"AllReduce",1,8,8,1,65536,"float","sum",0,22.220650,2.949329,5.161325,"0"
0,"AllReduce",1,8,8,1,65536,"float","sum",1,21.921012,2.989643,5.231875,"0"
0,"AllReduce",1,8,8,1,131072,"float","sum",0,26.736800,4.902307,8.579037,"0"
0,"AllReduce",1,8,8,1,131072,"float","sum",1,24.934850,5.256579,9.199013,"0"
0,"AllReduce",1,8,8,1,262144,"float","sum",0,27.443875,9.552004,16.716007,"0"
0,"AllReduce",1,8,8,1,262144,"float","sum",1,27.508438,9.529585,16.676774,"0"
0,"AllReduce",1,8,8,1,524288,"float","sum",0,32.217050,16.273619,28.478833,"0"
0,"AllReduce",1,8,8,1,524288,"float","sum",1,32.477650,16.143040,28.250320,"0"
0,"AllReduce",1,8,8,1,1048576,"float","sum",0,42.899650,24.442530,42.774428,"0"
0,"AllReduce",1,8,8,1,1048576,"float","sum",1,41.842087,25.060318,43.855556,"0"
0,"AllReduce",1,8,8,1,2097152,"float","sum",0,58.770013,35.684049,62.447086,"0"
0,"AllReduce",1,8,8,1,2097152,"float","sum",1,58.523013,35.834656,62.710647,"0"
0,"AllReduce",1,8,8,1,4194304,"float","sum",0,90.937962,46.122696,80.714718,"0"
0,"AllReduce",1,8,8,1,4194304,"float","sum",1,91.703412,45.737709,80.040991,"0"
0,"AllReduce",1,8,8,1,8388608,"float","sum",0,158.669038,52.868588,92.520029,"0"
0,"AllReduce",1,8,8,1,8388608,"float","sum",1,159.733525,52.516264,91.903462,"0"
0,"AllReduce",1,8,8,1,16777216,"float","sum",0,290.941850,57.665186,100.914076,"0"
0,"AllReduce",1,8,8,1,16777216,"float","sum",1,291.450975,57.564453,100.737793,"0"
0,"AllReduce",1,8,8,1,33554432,"float","sum",0,560.475431,59.867802,104.768653,"0"
0,"AllReduce",1,8,8,1,33554432,"float","sum",1,560.739112,59.839650,104.719387,"0"
0,"AllReduce",1,8,8,1,67108864,"float","sum",0,1101.496806,60.925155,106.619022,"0"
0,"AllReduce",1,8,8,1,67108864,"float","sum",1,1102.991225,60.842609,106.474566,"0"
0,"AllReduce",1,8,8,1,134217728,"float","sum",0,2179.389269,61.585018,107.773782,"0"
0,"AllReduce",1,8,8,1,134217728,"float","sum",1,2186.906263,61.373334,107.403334,"0"
0,"AllReduce",1,8,8,1,268435456,"float","sum",0,4342.729731,61.812609,108.172066,"0"
0,"AllReduce",1,8,8,1,268435456,"float","sum",1,4346.356869,61.761025,108.081794,"0"
0,"AllReduce",1,8,8,1,536870912,"float","sum",0,8602.843350,62.406217,109.210880,"0"
0,"AllReduce",1,8,8,1,536870912,"float","sum",1,8670.437725,61.919701,108.359477,"0"
