numCycle,collective,ranks,rankspernode,gpusperrank,size,type,redop,inplace,time,algbw,busbw,#wrong
0,"AllReduce",1,8,8,1,4096,"float","sum",0,43.095638,0.095044,0.166328,"0"
0,"AllReduce",1,8,8,1,4096,"float","sum",1,41.626025,0.098400,0.172200,"0"
0,"AllReduce",1,8,8,1,8192,"float","sum",0,41.852013,0.195737,0.342540,"0"
0,"AllReduce",1,8,8,1,8192,"float","sum",1,40.910450,0.200242,0.350424,"0"
0,"AllReduce",1,8,8,1,16384,"float","sum",0,42.876838,0.382118,0.668706,"0"
0,"AllReduce",1,8,8,1,16384,"float","sum",1,40.015200,0.409444,0.716528,"0"
0,"AllReduce",1,8,8,1,32768,"float","sum",0,41.308650,0.793248,1.388184,"0"
0,"AllReduce",1,8,8,1,32768,"float","sum",1,40.282825,0.813448,1.423535,"0"
0,"AllReduce",1,8,8,1,65536,"float","sum",0,42.391400,1.545974,2.705454,"0"
0,"AllReduce",1,8,8,1,65536,"float","sum",1,40.690950,1.610579,2.818514,"0"
0,"AllReduce",1,8,8,1,131072,"float","sum",0,46.397487,2.824981,4.943716,"0"
0,"AllReduce",1,8,8,1,131072,"float","sum",1,42.874913,3.057079,5.349888,"0"
0,"AllReduce",1,8,8,1,262144,"float","sum",0,44.469600,5.894903,10.316081,"0"
0,"AllReduce",1,8,8,1,262144,"float","sum",1,43.279775,6.056963,10.599685,"0"
0,"AllReduce",1,8,8,1,524288,"float","sum",0,43.647287,12.011926,21.020871,"0"
0,"AllReduce",1,8,8,1,524288,"float","sum",1,43.029650,12.184343,21.322600,"0"
0,"AllReduce",1,8,8,1,1048576,"float","sum",0,46.562800,22.519608,39.409314,"0"
0,"AllReduce",1,8,8,1,1048576,"float","sum",1,43.878100,23.897480,41.820589,"0"
0,"AllReduce",1,8,8,1,2097152,"float","sum",0,47.540875,44.112608,77.197065,"0"
0,"AllReduce",1,8,8,1,2097152,"float","sum",1,46.161000,45.431251,79.504690,"0"
0,"AllReduce",1,8,8,1,4194304,"float","sum",0,58.948763,71.151689,124.515455,"0"
0,"AllReduce",1,8,8,1,4194304,"float","sum",1,57.421000,73.044775,127.828355,"0"
0,"AllReduce",1,8,8,1,8388608,"float","sum",0,76.348438,109.872687,192.277203,"0"
0,"AllReduce",1,8,8,1,8388608,"float","sum",1,74.297738,112.905295,197.584267,"0"
0,"AllReduce",1,8,8,1,16777216,"float","sum",0,110.761913,151.470985,265.074224,"0"
0,"AllReduce",1,8,8,1,16777216,"float","sum",1,109.450463,153.285931,268.250379,"0"
0,"AllReduce",1,8,8,1,33554432,"float","sum",0,185.910600,180.486922,315.852114,"0"
0,"AllReduce",1,8,8,1,33554432,"float","sum",1,184.871275,181.501599,317.627798,"0"
0,"AllReduce",1,8,8,1,67108864,"float","sum",0,330.956600,202.772400,354.851700,"0"
0,"AllReduce",1,8,8,1,67108864,"float","sum",1,328.876475,204.054924,357.096116,"0"
0,"AllReduce",1,8,8,1,134217728,"float","sum",0,619.183938,216.765520,379.339659,"0"
0,"AllReduce",1,8,8,1,134217728,"float","sum",1,618.113788,217.140809,379.996416,"0"
0,"AllReduce",1,8,8,1,268435456,"float","sum",0,1203.032638,223.132314,390.481549,"0"
0,"AllReduce",1,8,8,1,268435456,"float","sum",1,1203.403638,223.063524,390.361167,"0"
0,"AllReduce",1,8,8,1,536870912,"float","sum",0,2366.091813,226.901978,397.078461,"0"
0,"AllReduce",1,8,8,1,536870912,"float","sum",1,2368.769700,226.645466,396.629565,"0"
