numCycle,collective,ranks,rankspernode,gpusperrank,size,type,redop,inplace,time,algbw,busbw,#wrong
0,"AllReduce",1,8,8,1,4096,"float","sum",0,42.394213,0.096617,0.169080,"0"
0,"AllReduce",1,8,8,1,4096,"float","sum",1,41.202681,0.099411,0.173969,"0"
0,"AllReduce",1,8,8,1,8192,"float","sum",0,41.588487,0.196978,0.344711,"0"
0,"AllReduce",1,8,8,1,8192,"float","sum",1,40.882138,0.200381,0.350667,"0"
0,"AllReduce",1,8,8,1,16384,"float","sum",0,42.266713,0.387634,0.678359,"0"
0,"AllReduce",1,8,8,1,16384,"float","sum",1,39.800450,0.411654,0.720394,"0"
0,"AllReduce",1,8,8,1,32768,"float","sum",0,41.375594,0.791964,1.385938,"0"
0,"AllReduce",1,8,8,1,32768,"float","sum",1,40.214825,0.814824,1.425942,"0"
0,"AllReduce",1,8,8,1,65536,"float","sum",0,42.366525,1.546882,2.707043,"0"
0,"AllReduce",1,8,8,1,65536,"float","sum",1,40.410325,1.621764,2.838087,"0"
0,"AllReduce",1,8,8,1,131072,"float","sum",0,45.973550,2.851031,4.989304,"0"
0,"AllReduce",1,8,8,1,131072,"float","sum",1,43.491375,3.013747,5.274057,"0"
0,"AllReduce",1,8,8,1,262144,"float","sum",0,44.600225,5.877639,10.285867,"0"
0,"AllReduce",1,8,8,1,262144,"float","sum",1,43.299038,6.054269,10.594970,"0"
0,"AllReduce",1,8,8,1,524288,"float","sum",0,43.716025,11.993039,20.987819,"0"
0,"AllReduce",1,8,8,1,524288,"float","sum",1,43.271462,12.116253,21.203443,"0"
0,"AllReduce",1,8,8,1,1048576,"float","sum",0,46.750988,22.428959,39.250679,"0"
0,"AllReduce",1,8,8,1,1048576,"float","sum",1,44.326037,23.655983,41.397971,"0"
0,"AllReduce",1,8,8,1,2097152,"float","sum",0,47.730125,43.937702,76.890978,"0"
0,"AllReduce",1,8,8,1,2097152,"float","sum",1,46.542862,45.058509,78.852391,"0"
0,"AllReduce",1,8,8,1,4194304,"float","sum",0,59.003888,71.085215,124.399125,"0"
0,"AllReduce",1,8,8,1,4194304,"float","sum",1,57.391125,73.082798,127.894897,"0"
0,"AllReduce",1,8,8,1,8388608,"float","sum",0,76.566750,109.559411,191.728969,"0"
0,"AllReduce",1,8,8,1,8388608,"float","sum",1,74.463369,112.654157,197.144774,"0"
0,"AllReduce",1,8,8,1,16777216,"float","sum",0,110.921600,151.252921,264.692612,"0"
0,"AllReduce",1,8,8,1,16777216,"float","sum",1,109.561338,153.130807,267.978912,"0"
0,"AllReduce",1,8,8,1,33554432,"float","sum",0,186.229413,180.177940,315.311396,"0"
0,"AllReduce",1,8,8,1,33554432,"float","sum",1,185.178775,181.200205,317.100359,"0"
0,"AllReduce",1,8,8,1,67108864,"float","sum",0,331.352431,202.530169,354.427796,"0"
0,"AllReduce",1,8,8,1,67108864,"float","sum",1,330.270413,203.193691,355.588958,"0"
0,"AllReduce",1,8,8,1,134217728,"float","sum",0,618.514738,217.000048,379.750085,"0"
0,"AllReduce",1,8,8,1,134217728,"float","sum",1,618.807675,216.897323,379.570315,"0"
0,"AllReduce",1,8,8,1,268435456,"float","sum",0,1203.177019,223.105538,390.434691,"0"
0,"AllReduce",1,8,8,1,268435456,"float","sum",1,1202.180925,223.290397,390.758195,"0"
0,"AllReduce",1,8,8,1,536870912,"float","sum",0,2365.874850,226.922786,397.114875,"0"
0,"AllReduce",1,8,8,1,536870912,"float","sum",1,2370.527750,226.477379,396.335413,"0"
