numCycle,collective,ranks,rankspernode,gpusperrank,size,type,redop,inplace,time,algbw,busbw,#wrong
0,"AllReduce",1,8,8,1,4096,"float","sum",0,42.634788,0.096072,0.168126,"0"
0,"AllReduce",1,8,8,1,4096,"float","sum",1,41.720063,0.098178,0.171812,"0"
0,"AllReduce",1,8,8,1,8192,"float","sum",0,42.136850,0.194414,0.340225,"0"
0,"AllReduce",1,8,8,1,8192,"float","sum",1,41.032950,0.199644,0.349378,"0"
0,"AllReduce",1,8,8,1,16384,"float","sum",0,42.442463,0.386028,0.675550,"0"
0,"AllReduce",1,8,8,1,16384,"float","sum",1,40.029013,0.409303,0.716280,"0"
0,"AllReduce",1,8,8,1,32768,"float","sum",0,41.374775,0.791980,1.385965,"0"
0,"AllReduce",1,8,8,1,32768,"float","sum",1,40.436450,0.810358,1.418126,"0"
0,"AllReduce",1,8,8,1,65536,"float","sum",0,42.774025,1.532145,2.681253,"0"
0,"AllReduce",1,8,8,1,65536,"float","sum",1,41.034888,1.597080,2.794890,"0"
0,"AllReduce",1,8,8,1,131072,"float","sum",0,45.750863,2.864908,5.013589,"0"
0,"AllReduce",1,8,8,1,131072,"float","sum",1,43.424475,3.018390,5.282182,"0"
0,"AllReduce",1,8,8,1,262144,"float","sum",0,44.692913,5.865449,10.264536,"0"
0,"AllReduce",1,8,8,1,262144,"float","sum",1,43.310037,6.052731,10.592279,"0"
0,"AllReduce",1,8,8,1,524288,"float","sum",0,44.020163,11.910179,20.842813,"0"
0,"AllReduce",1,8,8,1,524288,"float","sum",1,43.319600,12.102789,21.179882,"0"
0,"AllReduce",1,8,8,1,1048576,"float","sum",0,46.605625,22.498915,39.373101,"0"
0,"AllReduce",1,8,8,1,1048576,"float","sum",1,44.248538,23.697416,41.470478,"0"
0,"AllReduce",1,8,8,1,2097152,"float","sum",0,47.774250,43.897120,76.819961,"0"
0,"AllReduce",1,8,8,1,2097152,"float","sum",1,46.468125,45.130980,78.979214,"0"
0,"AllReduce",1,8,8,1,4194304,"float","sum",0,59.119388,70.946337,124.156090,"0"
0,"AllReduce",1,8,8,1,4194304,"float","sum",1,57.370625,73.108912,127.940597,"0"
0,"AllReduce",1,8,8,1,8388608,"float","sum",0,76.606250,109.502919,191.630109,"0"
0,"AllReduce",1,8,8,1,8388608,"float","sum",1,74.697488,112.301073,196.526878,"0"
0,"AllReduce",1,8,8,1,16777216,"float","sum",0,111.062488,151.061050,264.356838,"0"
0,"AllReduce",1,8,8,1,16777216,"float","sum",1,109.442525,153.297048,268.269834,"0"
0,"AllReduce",1,8,8,1,33554432,"float","sum",0,186.176338,180.229305,315.401285,"0"
0,"AllReduce",1,8,8,1,33554432,"float","sum",1,185.357250,181.025733,316.795032,"0"
0,"AllReduce",1,8,8,1,67108864,"float","sum",0,331.932338,202.176337,353.808589,"0"
0,"AllReduce",1,8,8,1,67108864,"float","sum",1,330.699287,202.930174,355.127805,"0"
0,"AllReduce",1,8,8,1,134217728,"float","sum",0,618.545237,216.989348,379.731360,"0"
0,"AllReduce",1,8,8,1,134217728,"float","sum",1,619.129688,216.784513,379.372898,"0"
0,"AllReduce",1,8,8,1,268435456,"float","sum",0,1201.724987,223.375114,390.906449,"0"
0,"AllReduce",1,8,8,1,268435456,"float","sum",1,1202.445313,223.241301,390.672277,"0"
0,"AllReduce",1,8,8,1,536870912,"float","sum",0,2366.450319,226.867603,397.018306,"0"
0,"AllReduce",1,8,8,1,536870912,"float","sum",1,2363.570800,227.143994,397.501990,"0"
