numCycle,collective,ranks,rankspernode,gpusperrank,size,type,redop,inplace,time,algbw,busbw,#wrong
0,"AllReduce",1,8,8,1,4096,"float","sum",0,42.189944,0.097085,0.169898,"0"
0,"AllReduce",1,8,8,1,4096,"float","sum",1,40.711700,0.100610,0.176067,"0"
0,"AllReduce",1,8,8,1,8192,"float","sum",0,41.565150,0.197088,0.344904,"0"
0,"AllReduce",1,8,8,1,8192,"float","sum",1,40.352637,0.203010,0.355268,"0"
0,"AllReduce",1,8,8,1,16384,"float","sum",0,42.105775,0.389115,0.680952,"0"
0,"AllReduce",1,8,8,1,16384,"float","sum",1,39.545013,0.414313,0.725047,"0"
0,"AllReduce",1,8,8,1,32768,"float","sum",0,40.727700,0.804563,1.407985,"0"
0,"AllReduce",1,8,8,1,32768,"float","sum",1,39.772388,0.823888,1.441804,"0"
0,"AllReduce",1,8,8,1,65536,"float","sum",0,42.392900,1.545919,2.705359,"0"
0,"AllReduce",1,8,8,1,65536,"float","sum",1,40.629513,1.613015,2.822776,"0"
0,"AllReduce",1,8,8,1,131072,"float","sum",0,46.289800,2.831553,4.955217,"0"
0,"AllReduce",1,8,8,1,131072,"float","sum",1,43.526169,3.011338,5.269841,"0"
0,"AllReduce",1,8,8,1,262144,"float","sum",0,44.770113,5.855335,10.246836,"0"
0,"AllReduce",1,8,8,1,262144,"float","sum",1,43.714600,5.996715,10.494251,"0"
0,"AllReduce",1,8,8,1,524288,"float","sum",0,43.965412,11.925010,20.868768,"0"
0,"AllReduce",1,8,8,1,524288,"float","sum",1,43.279213,12.114084,21.199646,"0"
0,"AllReduce",1,8,8,1,1048576,"float","sum",0,44.578350,23.522091,41.163659,"0"
0,"AllReduce",1,8,8,1,1048576,"float","sum",1,44.237725,23.703208,41.480614,"0"
0,"AllReduce",1,8,8,1,2097152,"float","sum",0,47.971000,43.717079,76.504888,"0"
0,"AllReduce",1,8,8,1,2097152,"float","sum",1,46.457238,45.141556,78.997723,"0"
0,"AllReduce",1,8,8,1,4194304,"float","sum",0,59.132200,70.930965,124.129188,"0"
0,"AllReduce",1,8,8,1,4194304,"float","sum",1,57.359875,73.122614,127.964575,"0"
0,"AllReduce",1,8,8,1,8388608,"float","sum",0,76.785938,109.246670,191.181673,"0"
0,"AllReduce",1,8,8,1,8388608,"float","sum",1,74.654925,112.365098,196.638922,"0"
0,"AllReduce",1,8,8,1,16777216,"float","sum",0,111.409612,150.590381,263.533167,"0"
0,"AllReduce",1,8,8,1,16777216,"float","sum",1,109.527975,153.177451,268.060539,"0"
0,"AllReduce",1,8,8,1,33554432,"float","sum",0,186.345706,180.065496,315.114618,"0"
0,"AllReduce",1,8,8,1,33554432,"float","sum",1,185.704900,180.686842,316.201974,"0"
0,"AllReduce",1,8,8,1,67108864,"float","sum",0,331.316550,202.552103,354.466180,"0"
0,"AllReduce",1,8,8,1,67108864,"float","sum",1,330.601406,202.990256,355.232948,"0"
0,"AllReduce",1,8,8,1,134217728,"float","sum",0,623.087875,215.407382,376.962919,"0"
0,"AllReduce",1,8,8,1,134217728,"float","sum",1,618.167862,217.121815,379.963175,"0"
0,"AllReduce",1,8,8,1,268435456,"float","sum",0,1204.105044,222.933587,390.133776,"0"
0,"AllReduce",1,8,8,1,268435456,"float","sum",1,1203.668981,223.014350,390.275113,"0"
0,"AllReduce",1,8,8,1,536870912,"float","sum",0,2365.390031,226.969297,397.196269,"0"
0,"AllReduce",1,8,8,1,536870912,"float","sum",1,2368.642450,226.657642,396.650873,"0"
