numCycle,collective,ranks,rankspernode,gpusperrank,size,type,redop,inplace,time,algbw,busbw,#wrong
0,"AllGather",1,8,8,1,4096,"float","none",0,13.414638,0.305338,0.267171,"0"
0,"AllGather",1,8,8,1,4096,"float","none",1,11.956388,0.342578,0.299756,"0"
0,"AllGather",1,8,8,1,8192,"float","none",0,12.962013,0.632001,0.553001,"0"
0,"AllGather",1,8,8,1,8192,"float","none",1,10.823313,0.756885,0.662274,"0"
0,"AllGather",1,8,8,1,16384,"float","none",0,12.454875,1.315469,1.151035,"0"
0,"AllGather",1,8,8,1,16384,"float","none",1,11.991825,1.366264,1.195481,"0"
0,"AllGather",1,8,8,1,32768,"float","none",0,12.752887,2.569457,2.248275,"0"
0,"AllGather",1,8,8,1,32768,"float","none",1,12.639513,2.592505,2.268442,"0"
0,"AllGather",1,8,8,1,65536,"float","none",0,12.401000,5.284735,4.624143,"0"
0,"AllGather",1,8,8,1,65536,"float","none",1,12.343137,5.309509,4.645820,"0"
0,"AllGather",1,8,8,1,131072,"float","none",0,13.379887,9.796196,8.571671,"0"
0,"AllGather",1,8,8,1,131072,"float","none",1,12.940513,10.128811,8.862709,"0"
0,"AllGather",1,8,8,1,262144,"float","none",0,13.192700,19.870383,17.386585,"0"
0,"AllGather",1,8,8,1,262144,"float","none",1,13.116138,19.986372,17.488075,"0"
0,"AllGather",1,8,8,1,524288,"float","none",0,15.518588,33.784518,29.561453,"0"
0,"AllGather",1,8,8,1,524288,"float","none",1,15.568837,33.675475,29.466041,"0"
0,"AllGather",1,8,8,1,1048576,"float","none",0,18.222600,57.542612,50.349785,"0"
0,"AllGather",1,8,8,1,1048576,"float","none",1,17.726537,59.152894,51.758783,"0"
0,"AllGather",1,8,8,1,2097152,"float","none",0,19.205488,109.195458,95.546026,"0"
0,"AllGather",1,8,8,1,2097152,"float","none",1,19.344862,108.408731,94.857640,"0"
0,"AllGather",1,8,8,1,4194304,"float","none",0,23.888513,175.578283,153.630997,"0"
0,"AllGather",1,8,8,1,4194304,"float","none",1,24.247325,172.980071,151.357562,"0"
0,"AllGather",1,8,8,1,8388608,"float","none",0,36.796213,227.974768,199.477922,"0"
0,"AllGather",1,8,8,1,8388608,"float","none",1,36.356088,230.734619,201.892792,"0"
0,"AllGather",1,8,8,1,16777216,"float","none",0,64.665238,259.447218,227.016316,"0"
0,"AllGather",1,8,8,1,16777216,"float","none",1,64.127725,261.621880,228.919145,"0"
0,"AllGather",1,8,8,1,33554432,"float","none",0,104.157138,322.152018,281.883015,"0"
0,"AllGather",1,8,8,1,33554432,"float","none",1,103.560275,324.008719,283.507629,"0"
0,"AllGather",1,8,8,1,67108864,"float","none",0,181.823575,369.087804,322.951828,"0"
0,"AllGather",1,8,8,1,67108864,"float","none",1,181.035262,370.694985,324.358112,"0"
0,"AllGather",1,8,8,1,134217728,"float","none",0,324.461063,413.663590,361.955641,"0"
0,"AllGather",1,8,8,1,134217728,"float","none",1,324.867575,413.145966,361.502720,"0"
0,"AllGather",1,8,8,1,268435456,"float","none",0,622.322113,431.344878,377.426769,"0"
0,"AllGather",1,8,8,1,268435456,"float","none",1,622.185850,431.439346,377.509427,"0"
0,"AllGather",1,8,8,1,536870912,"float","none",0,1221.493462,439.520086,384.580075,"0"
0,"AllGather",1,8,8,1,536870912,"float","none",1,1225.106850,438.223745,383.445777,"0"
