numCycle,collective,ranks,rankspernode,gpusperrank,size,type,redop,inplace,time,algbw,busbw,#wrong
0,"AllGather",1,8,8,1,4096,"float","none",0,14.928150,0.274381,0.240083,"0"
0,"AllGather",1,8,8,1,4096,"float","none",1,11.220163,0.365057,0.319425,"0"
0,"AllGather",1,8,8,1,8192,"float","none",0,12.873463,0.636348,0.556804,"0"
0,"AllGather",1,8,8,1,8192,"float","none",1,11.566762,0.708236,0.619707,"0"
0,"AllGather",1,8,8,1,16384,"float","none",0,14.696100,1.114854,0.975497,"0"
0,"AllGather",1,8,8,1,16384,"float","none",1,13.548963,1.209244,1.058088,"0"
0,"AllGather",1,8,8,1,32768,"float","none",0,14.535663,2.254318,1.972528,"0"
0,"AllGather",1,8,8,1,32768,"float","none",1,20.425825,1.604244,1.403713,"0"
0,"AllGather",1,8,8,1,65536,"float","none",0,12.876588,5.089547,4.453354,"0"
0,"AllGather",1,8,8,1,65536,"float","none",1,12.966900,5.054099,4.422337,"0"
0,"AllGather",1,8,8,1,131072,"float","none",0,16.203350,8.089191,7.078043,"0"
0,"AllGather",1,8,8,1,131072,"float","none",1,15.416975,8.501798,7.439073,"0"
0,"AllGather",1,8,8,1,262144,"float","none",0,16.286550,16.095735,14.083769,"0"
0,"AllGather",1,8,8,1,262144,"float","none",1,14.301413,18.329938,16.038695,"0"
0,"AllGather",1,8,8,1,524288,"float","none",0,16.152100,32.459433,28.402003,"0"
0,"AllGather",1,8,8,1,524288,"float","none",1,15.435100,33.967256,29.721349,"0"
0,"AllGather",1,8,8,1,1048576,"float","none",0,20.681688,50.700698,44.363111,"0"
0,"AllGather",1,8,8,1,1048576,"float","none",1,19.229625,54.529196,47.713047,"0"
0,"AllGather",1,8,8,1,2097152,"float","none",0,19.794500,105.946197,92.702923,"0"
0,"AllGather",1,8,8,1,2097152,"float","none",1,19.279750,108.774854,95.177998,"0"
0,"AllGather",1,8,8,1,4194304,"float","none",0,23.954163,175.097084,153.209948,"0"
0,"AllGather",1,8,8,1,4194304,"float","none",1,23.864037,175.758356,153.788562,"0"
0,"AllGather",1,8,8,1,8388608,"float","none",0,38.303319,219.004730,191.629139,"0"
0,"AllGather",1,8,8,1,8388608,"float","none",1,36.701050,228.565886,199.995150,"0"
0,"AllGather",1,8,8,1,16777216,"float","none",0,64.830175,258.787147,226.438753,"0"
0,"AllGather",1,8,8,1,16777216,"float","none",1,64.203975,261.311173,228.647276,"0"
0,"AllGather",1,8,8,1,33554432,"float","none",0,104.107569,322.305404,282.017228,"0"
0,"AllGather",1,8,8,1,33554432,"float","none",1,103.353988,324.655418,284.073491,"0"
0,"AllGather",1,8,8,1,67108864,"float","none",0,181.531169,369.682322,323.472032,"0"
0,"AllGather",1,8,8,1,67108864,"float","none",1,180.998738,370.769791,324.423567,"0"
0,"AllGather",1,8,8,1,134217728,"float","none",0,324.999300,412.978514,361.356200,"0"
0,"AllGather",1,8,8,1,134217728,"float","none",1,324.465925,413.657391,361.950217,"0"
0,"AllGather",1,8,8,1,268435456,"float","none",0,624.321325,429.963618,376.218166,"0"
0,"AllGather",1,8,8,1,268435456,"float","none",1,624.524625,429.823653,376.095697,"0"
0,"AllGather",1,8,8,1,536870912,"float","none",0,1221.924981,439.364871,384.444262,"0"
0,"AllGather",1,8,8,1,536870912,"float","none",1,1220.449563,439.896026,384.909022,"0"
