numCycle,collective,ranks,rankspernode,gpusperrank,size,type,redop,inplace,time,algbw,busbw,#wrong
0,"AllGather",1,8,8,1,4096,"float","none",0,14.664713,0.279310,0.244396,"0"
0,"AllGather",1,8,8,1,4096,"float","none",1,11.261069,0.363731,0.318265,"0"
0,"AllGather",1,8,8,1,8192,"float","none",0,13.128887,0.623968,0.545972,"0"
0,"AllGather",1,8,8,1,8192,"float","none",1,11.986950,0.683410,0.597984,"0"
0,"AllGather",1,8,8,1,16384,"float","none",0,14.358588,1.141059,0.998427,"0"
0,"AllGather",1,8,8,1,16384,"float","none",1,13.635400,1.201578,1.051381,"0"
0,"AllGather",1,8,8,1,32768,"float","none",0,14.308038,2.290181,2.003909,"0"
0,"AllGather",1,8,8,1,32768,"float","none",1,13.673275,2.396500,2.096937,"0"
0,"AllGather",1,8,8,1,65536,"float","none",0,13.565838,4.830959,4.227089,"0"
0,"AllGather",1,8,8,1,65536,"float","none",1,12.944775,5.062738,4.429895,"0"
0,"AllGather",1,8,8,1,131072,"float","none",0,15.229537,8.606433,7.530629,"0"
0,"AllGather",1,8,8,1,131072,"float","none",1,14.889288,8.803108,7.702719,"0"
0,"AllGather",1,8,8,1,262144,"float","none",0,14.758688,17.762013,15.541761,"0"
0,"AllGather",1,8,8,1,262144,"float","none",1,14.544788,18.023227,15.770323,"0"
0,"AllGather",1,8,8,1,524288,"float","none",0,15.424037,33.991619,29.742666,"0"
0,"AllGather",1,8,8,1,524288,"float","none",1,15.544475,33.728254,29.512222,"0"
0,"AllGather",1,8,8,1,1048576,"float","none",0,20.145325,52.050587,45.544264,"0"
0,"AllGather",1,8,8,1,1048576,"float","none",1,19.449250,53.913441,47.174261,"0"
0,"AllGather",1,8,8,1,2097152,"float","none",0,20.195375,103.843182,90.862784,"0"
0,"AllGather",1,8,8,1,2097152,"float","none",1,19.201250,109.219556,95.567112,"0"
0,"AllGather",1,8,8,1,4194304,"float","none",0,24.413850,171.800187,150.325164,"0"
0,"AllGather",1,8,8,1,4194304,"float","none",1,23.892038,175.552378,153.608331,"0"
0,"AllGather",1,8,8,1,8388608,"float","none",0,38.175750,219.736561,192.269490,"0"
0,"AllGather",1,8,8,1,8388608,"float","none",1,36.222113,231.588039,202.639534,"0"
0,"AllGather",1,8,8,1,16777216,"float","none",0,140.262038,119.613377,104.661705,"0"
0,"AllGather",1,8,8,1,16777216,"float","none",1,139.423587,120.332695,105.291108,"0"
0,"AllGather",1,8,8,1,33554432,"float","none",0,267.180363,125.587194,109.888795,"0"
0,"AllGather",1,8,8,1,33554432,"float","none",1,266.258863,126.021841,110.269111,"0"
0,"AllGather",1,8,8,1,67108864,"float","none",0,527.444062,127.234088,111.329827,"0"
0,"AllGather",1,8,8,1,67108864,"float","none",1,524.528788,127.941241,111.948586,"0"
0,"AllGather",1,8,8,1,134217728,"float","none",0,923.715075,145.302087,127.139326,"0"
0,"AllGather",1,8,8,1,134217728,"float","none",1,928.628744,144.533247,126.466592,"0"
0,"AllGather",1,8,8,1,268435456,"float","none",0,1829.783181,146.703423,128.365495,"0"
0,"AllGather",1,8,8,1,268435456,"float","none",1,1841.195988,145.794070,127.569811,"0"
0,"AllGather",1,8,8,1,536870912,"float","none",0,3697.971600,145.179836,127.032357,"0"
0,"AllGather",1,8,8,1,536870912,"float","none",1,3742.335638,143.458782,125.526434,"0"
