numCycle,collective,ranks,rankspernode,gpusperrank,size,type,redop,inplace,time,algbw,busbw,#wrong
0,"AllGather",1,8,8,1,4096,"float","none",0,12.542525,0.326569,0.285748,"0"
0,"AllGather",1,8,8,1,4096,"float","none",1,11.641737,0.351838,0.307858,"0"
0,"AllGather",1,8,8,1,8192,"float","none",0,12.068013,0.678819,0.593967,"0"
0,"AllGather",1,8,8,1,8192,"float","none",1,13.405088,0.611111,0.534722,"0"
0,"AllGather",1,8,8,1,16384,"float","none",0,13.770713,1.189771,1.041050,"0"
0,"AllGather",1,8,8,1,16384,"float","none",1,13.577356,1.206715,1.055876,"0"
0,"AllGather",1,8,8,1,32768,"float","none",0,14.638213,2.238525,1.958709,"0"
0,"AllGather",1,8,8,1,32768,"float","none",1,14.580150,2.247439,1.966509,"0"
0,"AllGather",1,8,8,1,65536,"float","none",0,12.515138,5.236539,4.581971,"0"
0,"AllGather",1,8,8,1,65536,"float","none",1,13.865288,4.726624,4.135796,"0"
0,"AllGather",1,8,8,1,131072,"float","none",0,15.426038,8.496803,7.434703,"0"
0,"AllGather",1,8,8,1,131072,"float","none",1,15.560725,8.423258,7.370351,"0"
0,"AllGather",1,8,8,1,262144,"float","none",0,15.051163,17.416861,15.239753,"0"
0,"AllGather",1,8,8,1,262144,"float","none",1,16.075550,16.307000,14.268625,"0"
0,"AllGather",1,8,8,1,524288,"float","none",0,15.973613,32.822131,28.719365,"0"
0,"AllGather",1,8,8,1,524288,"float","none",1,15.853037,33.071769,28.937798,"0"
0,"AllGather",1,8,8,1,1048576,"float","none",0,18.692750,56.095331,49.083415,"0"
0,"AllGather",1,8,8,1,1048576,"float","none",1,19.887812,52.724552,46.133983,"0"
0,"AllGather",1,8,8,1,2097152,"float","none",0,20.197750,103.830971,90.852100,"0"
0,"AllGather",1,8,8,1,2097152,"float","none",1,19.502375,107.533159,94.091514,"0"
0,"AllGather",1,8,8,1,4194304,"float","none",0,24.048213,174.412298,152.610761,"0"
0,"AllGather",1,8,8,1,4194304,"float","none",1,24.139337,173.753899,152.034661,"0"
0,"AllGather",1,8,8,1,8388608,"float","none",0,37.914562,221.250291,193.594005,"0"
0,"AllGather",1,8,8,1,8388608,"float","none",1,36.684188,228.670950,200.087081,"0"
0,"AllGather",1,8,8,1,16777216,"float","none",0,64.814175,258.851031,226.494652,"0"
0,"AllGather",1,8,8,1,16777216,"float","none",1,64.010725,262.100078,229.337568,"0"
0,"AllGather",1,8,8,1,33554432,"float","none",0,104.386863,321.443055,281.262673,"0"
0,"AllGather",1,8,8,1,33554432,"float","none",1,103.527550,324.111138,283.597245,"0"
0,"AllGather",1,8,8,1,67108864,"float","none",0,181.271194,370.212512,323.935948,"0"
0,"AllGather",1,8,8,1,67108864,"float","none",1,181.427125,369.894325,323.657535,"0"
0,"AllGather",1,8,8,1,134217728,"float","none",0,324.850112,413.168175,361.522153,"0"
0,"AllGather",1,8,8,1,134217728,"float","none",1,325.378175,412.497636,360.935432,"0"
0,"AllGather",1,8,8,1,268435456,"float","none",0,624.317438,429.966296,376.220509,"0"
0,"AllGather",1,8,8,1,268435456,"float","none",1,623.171837,430.756719,376.912129,"0"
0,"AllGather",1,8,8,1,536870912,"float","none",0,1220.848631,439.752233,384.783204,"0"
0,"AllGather",1,8,8,1,536870912,"float","none",1,1225.079350,438.233582,383.454384,"0"
