numCycle,collective,ranks,rankspernode,gpusperrank,size,type,redop,inplace,time,algbw,busbw,#wrong
0,"AllGather",1,8,8,1,4096,"float","none",0,15.206788,0.269353,0.235684,"0"
0,"AllGather",1,8,8,1,4096,"float","none",1,12.032650,0.340407,0.297856,"0"
0,"AllGather",1,8,8,1,8192,"float","none",0,11.480494,0.713558,0.624363,"0"
0,"AllGather",1,8,8,1,8192,"float","none",1,11.215013,0.730449,0.639143,"0"
0,"AllGather",1,8,8,1,16384,"float","none",0,13.433225,1.219662,1.067205,"0"
0,"AllGather",1,8,8,1,16384,"float","none",1,12.992463,1.261039,1.103409,"0"
0,"AllGather",1,8,8,1,32768,"float","none",0,13.585650,2.411957,2.110462,"0"
0,"AllGather",1,8,8,1,32768,"float","none",1,13.297088,2.464299,2.156262,"0"
0,"AllGather",1,8,8,1,65536,"float","none",0,14.478663,4.526385,3.960587,"0"
0,"AllGather",1,8,8,1,65536,"float","none",1,12.315888,5.321257,4.656100,"0"
0,"AllGather",1,8,8,1,131072,"float","none",0,14.940413,8.772984,7.676361,"0"
0,"AllGather",1,8,8,1,131072,"float","none",1,14.938100,8.774342,7.677549,"0"
0,"AllGather",1,8,8,1,262144,"float","none",0,15.921725,16.464548,14.406479,"0"
0,"AllGather",1,8,8,1,262144,"float","none",1,14.831338,17.675007,15.465631,"0"
0,"AllGather",1,8,8,1,524288,"float","none",0,15.763600,33.259408,29.101982,"0"
0,"AllGather",1,8,8,1,524288,"float","none",1,15.773350,33.238849,29.083993,"0"
0,"AllGather",1,8,8,1,1048576,"float","none",0,20.170750,51.984978,45.486856,"0"
0,"AllGather",1,8,8,1,1048576,"float","none",1,19.133438,54.803325,47.952910,"0"
0,"AllGather",1,8,8,1,2097152,"float","none",0,19.582387,107.093785,93.707062,"0"
0,"AllGather",1,8,8,1,2097152,"float","none",1,19.598500,107.005740,93.630023,"0"
0,"AllGather",1,8,8,1,4194304,"float","none",0,24.193475,173.365091,151.694455,"0"
0,"AllGather",1,8,8,1,4194304,"float","none",1,24.194837,173.355328,151.685912,"0"
0,"AllGather",1,8,8,1,8388608,"float","none",0,38.023250,220.617859,193.040626,"0"
0,"AllGather",1,8,8,1,8388608,"float","none",1,36.583362,229.301175,200.638528,"0"
0,"AllGather",1,8,8,1,16777216,"float","none",0,64.517613,260.040869,227.535760,"0"
0,"AllGather",1,8,8,1,16777216,"float","none",1,64.046163,261.955055,229.210673,"0"
0,"AllGather",1,8,8,1,33554432,"float","none",0,104.229313,321.928939,281.687822,"0"
0,"AllGather",1,8,8,1,33554432,"float","none",1,103.146113,325.309711,284.645997,"0"
0,"AllGather",1,8,8,1,67108864,"float","none",0,181.766881,369.202924,323.052558,"0"
0,"AllGather",1,8,8,1,67108864,"float","none",1,181.609000,369.523889,323.333403,"0"
0,"AllGather",1,8,8,1,134217728,"float","none",0,324.381000,413.765689,362.044978,"0"
0,"AllGather",1,8,8,1,134217728,"float","none",1,324.931438,413.064765,361.431670,"0"
0,"AllGather",1,8,8,1,268435456,"float","none",0,623.384013,430.610106,376.783843,"0"
0,"AllGather",1,8,8,1,268435456,"float","none",1,622.526750,431.203086,377.302701,"0"
0,"AllGather",1,8,8,1,536870912,"float","none",0,1219.878663,440.101896,385.089159,"0"
0,"AllGather",1,8,8,1,536870912,"float","none",1,1224.759400,438.348064,383.554556,"0"
