numCycle,collective,ranks,rankspernode,gpusperrank,size,type,redop,inplace,time,algbw,busbw,#wrong
0,"AllGather",1,8,8,1,4096,"float","none",0,13.665213,0.299739,0.262272,"0"
0,"AllGather",1,8,8,1,4096,"float","none",1,14.304363,0.286346,0.250553,"0"
0,"AllGather",1,8,8,1,8192,"float","none",0,13.491650,0.607190,0.531292,"0"
0,"AllGather",1,8,8,1,8192,"float","none",1,11.258450,0.727631,0.636677,"0"
0,"AllGather",1,8,8,1,16384,"float","none",0,16.034363,1.021806,0.894080,"0"
0,"AllGather",1,8,8,1,16384,"float","none",1,12.475238,1.313322,1.149156,"0"
0,"AllGather",1,8,8,1,32768,"float","none",0,14.409475,2.274059,1.989802,"0"
0,"AllGather",1,8,8,1,32768,"float","none",1,13.626088,2.404799,2.104199,"0"
0,"AllGather",1,8,8,1,65536,"float","none",0,14.853725,4.412092,3.860580,"0"
0,"AllGather",1,8,8,1,65536,"float","none",1,12.341388,5.310262,4.646479,"0"
0,"AllGather",1,8,8,1,131072,"float","none",0,16.443619,7.970995,6.974620,"0"
0,"AllGather",1,8,8,1,131072,"float","none",1,12.904288,10.157244,8.887589,"0"
0,"AllGather",1,8,8,1,262144,"float","none",0,15.539163,16.869892,14.761156,"0"
0,"AllGather",1,8,8,1,262144,"float","none",1,14.827350,17.679761,15.469791,"0"
0,"AllGather",1,8,8,1,524288,"float","none",0,15.549913,33.716460,29.501902,"0"
0,"AllGather",1,8,8,1,524288,"float","none",1,15.845263,33.087997,28.951997,"0"
0,"AllGather",1,8,8,1,1048576,"float","none",0,18.292675,57.322180,50.156907,"0"
0,"AllGather",1,8,8,1,1048576,"float","none",1,17.891300,58.608150,51.282132,"0"
0,"AllGather",1,8,8,1,2097152,"float","none",0,19.481081,107.650698,94.194361,"0"
0,"AllGather",1,8,8,1,2097152,"float","none",1,19.645813,106.748041,93.404536,"0"
0,"AllGather",1,8,8,1,4194304,"float","none",0,24.171150,173.525215,151.834563,"0"
0,"AllGather",1,8,8,1,4194304,"float","none",1,24.121788,173.880315,152.145275,"0"
0,"AllGather",1,8,8,1,8388608,"float","none",0,37.835938,221.710061,193.996303,"0"
0,"AllGather",1,8,8,1,8388608,"float","none",1,36.638987,228.953052,200.333920,"0"
0,"AllGather",1,8,8,1,16777216,"float","none",0,64.631413,259.583001,227.135126,"0"
0,"AllGather",1,8,8,1,16777216,"float","none",1,64.008175,262.110519,229.346705,"0"
0,"AllGather",1,8,8,1,33554432,"float","none",0,104.088819,322.363462,282.068030,"0"
0,"AllGather",1,8,8,1,33554432,"float","none",1,103.274987,324.903762,284.290792,"0"
0,"AllGather",1,8,8,1,67108864,"float","none",0,181.482750,369.780952,323.558333,"0"
0,"AllGather",1,8,8,1,67108864,"float","none",1,181.302925,370.147718,323.879253,"0"
0,"AllGather",1,8,8,1,134217728,"float","none",0,324.200988,413.995432,362.246003,"0"
0,"AllGather",1,8,8,1,134217728,"float","none",1,324.818925,413.207845,361.556864,"0"
0,"AllGather",1,8,8,1,268435456,"float","none",0,624.043125,430.155297,376.385885,"0"
0,"AllGather",1,8,8,1,268435456,"float","none",1,623.692081,430.397409,376.597733,"0"
0,"AllGather",1,8,8,1,536870912,"float","none",0,1220.213544,439.981112,384.983473,"0"
0,"AllGather",1,8,8,1,536870912,"float","none",1,1224.802412,438.332670,383.541086,"0"
