numCycle,collective,ranks,rankspernode,gpusperrank,size,type,redop,inplace,time,algbw,busbw,#wrong
0,"AllGather",1,8,8,1,4096,"float","none",0,14.130338,0.289873,0.253639,"0"
0,"AllGather",1,8,8,1,4096,"float","none",1,12.390575,0.330574,0.289252,"0"
0,"AllGather",1,8,8,1,8192,"float","none",0,12.548700,0.652817,0.571215,"0"
0,"AllGather",1,8,8,1,8192,"float","none",1,11.843513,0.691687,0.605226,"0"
0,"AllGather",1,8,8,1,16384,"float","none",0,13.510763,1.212663,1.061080,"0"
0,"AllGather",1,8,8,1,16384,"float","none",1,13.052200,1.255267,1.098359,"0"
0,"AllGather",1,8,8,1,32768,"float","none",0,14.026713,2.336114,2.044100,"0"
0,"AllGather",1,8,8,1,32768,"float","none",1,13.425275,2.440769,2.135673,"0"
0,"AllGather",1,8,8,1,65536,"float","none",0,13.148713,4.984214,4.361187,"0"
0,"AllGather",1,8,8,1,65536,"float","none",1,12.117200,5.408510,4.732446,"0"
0,"AllGather",1,8,8,1,131072,"float","none",0,14.293400,9.170106,8.023843,"0"
0,"AllGather",1,8,8,1,131072,"float","none",1,14.396294,9.104566,7.966495,"0"
0,"AllGather",1,8,8,1,262144,"float","none",0,14.101650,18.589598,16.265898,"0"
0,"AllGather",1,8,8,1,262144,"float","none",1,14.415588,18.184760,15.911665,"0"
0,"AllGather",1,8,8,1,524288,"float","none",0,15.408600,34.025674,29.772465,"0"
0,"AllGather",1,8,8,1,524288,"float","none",1,15.572225,33.668150,29.459631,"0"
0,"AllGather",1,8,8,1,1048576,"float","none",0,19.642750,53.382342,46.709549,"0"
0,"AllGather",1,8,8,1,1048576,"float","none",1,18.775750,55.847356,48.866437,"0"
0,"AllGather",1,8,8,1,2097152,"float","none",0,19.366000,108.290406,94.754105,"0"
0,"AllGather",1,8,8,1,2097152,"float","none",1,19.139063,109.574437,95.877632,"0"
0,"AllGather",1,8,8,1,4194304,"float","none",0,24.074162,174.224295,152.446259,"0"
0,"AllGather",1,8,8,1,4194304,"float","none",1,24.013163,174.666873,152.833514,"0"
0,"AllGather",1,8,8,1,8388608,"float","none",0,37.488425,223.765282,195.794622,"0"
0,"AllGather",1,8,8,1,8388608,"float","none",1,36.340056,230.836407,201.981856,"0"
0,"AllGather",1,8,8,1,16777216,"float","none",0,64.523825,260.015831,227.513852,"0"
0,"AllGather",1,8,8,1,16777216,"float","none",1,63.862475,262.708515,229.869951,"0"
0,"AllGather",1,8,8,1,33554432,"float","none",0,104.150800,322.171620,281.900168,"0"
0,"AllGather",1,8,8,1,33554432,"float","none",1,105.047938,319.420189,279.492665,"0"
0,"AllGather",1,8,8,1,67108864,"float","none",0,181.960063,368.810953,322.709584,"0"
0,"AllGather",1,8,8,1,67108864,"float","none",1,181.367375,370.016184,323.764161,"0"
0,"AllGather",1,8,8,1,134217728,"float","none",0,324.741175,413.306776,361.643429,"0"
0,"AllGather",1,8,8,1,134217728,"float","none",1,324.455113,413.671176,361.962279,"0"
0,"AllGather",1,8,8,1,268435456,"float","none",0,622.629813,431.131710,377.240247,"0"
0,"AllGather",1,8,8,1,268435456,"float","none",1,623.588125,430.469159,376.660515,"0"
0,"AllGather",1,8,8,1,536870912,"float","none",0,1220.694087,439.807907,384.831919,"0"
0,"AllGather",1,8,8,1,536870912,"float","none",1,1227.126562,437.502478,382.814668,"0"
