numCycle,collective,ranks,rankspernode,gpusperrank,size,type,redop,inplace,time,algbw,busbw,#wrong
0,"AllGather",1,8,8,1,4096,"float","none",0,15.023225,0.272645,0.238564,"0"
0,"AllGather",1,8,8,1,4096,"float","none",1,11.921513,0.343581,0.300633,"0"
0,"AllGather",1,8,8,1,8192,"float","none",0,11.973325,0.684188,0.598664,"0"
0,"AllGather",1,8,8,1,8192,"float","none",1,11.406575,0.718182,0.628409,"0"
0,"AllGather",1,8,8,1,16384,"float","none",0,12.602400,1.300070,1.137561,"0"
0,"AllGather",1,8,8,1,16384,"float","none",1,11.832325,1.384681,1.211596,"0"
0,"AllGather",1,8,8,1,32768,"float","none",0,12.549150,2.611173,2.284776,"0"
0,"AllGather",1,8,8,1,32768,"float","none",1,12.287012,2.666881,2.333521,"0"
0,"AllGather",1,8,8,1,65536,"float","none",0,12.205888,5.369212,4.698061,"0"
0,"AllGather",1,8,8,1,65536,"float","none",1,12.183450,5.379100,4.706713,"0"
0,"AllGather",1,8,8,1,131072,"float","none",0,13.376713,9.798521,8.573706,"0"
0,"AllGather",1,8,8,1,131072,"float","none",1,12.879700,10.176635,8.904555,"0"
0,"AllGather",1,8,8,1,262144,"float","none",0,12.905388,20.312757,17.773662,"0"
0,"AllGather",1,8,8,1,262144,"float","none",1,13.106863,20.000515,17.500451,"0"
0,"AllGather",1,8,8,1,524288,"float","none",0,15.394538,34.056756,29.799661,"0"
0,"AllGather",1,8,8,1,524288,"float","none",1,15.516350,33.789390,29.565716,"0"
0,"AllGather",1,8,8,1,1048576,"float","none",0,19.075938,54.968517,48.097453,"0"
0,"AllGather",1,8,8,1,1048576,"float","none",1,17.826712,58.820492,51.467931,"0"
0,"AllGather",1,8,8,1,2097152,"float","none",0,19.091188,109.849217,96.118065,"0"
0,"AllGather",1,8,8,1,2097152,"float","none",1,19.161750,109.444701,95.764113,"0"
0,"AllGather",1,8,8,1,4194304,"float","none",0,23.893038,175.545031,153.601902,"0"
0,"AllGather",1,8,8,1,4194304,"float","none",1,23.868725,175.723839,153.758360,"0"
0,"AllGather",1,8,8,1,8388608,"float","none",0,36.864000,227.555556,199.111111,"0"
0,"AllGather",1,8,8,1,8388608,"float","none",1,36.196225,231.753670,202.784462,"0"
0,"AllGather",1,8,8,1,16777216,"float","none",0,64.714862,259.248268,226.842234,"0"
0,"AllGather",1,8,8,1,16777216,"float","none",1,63.920850,262.468600,229.660025,"0"
0,"AllGather",1,8,8,1,33554432,"float","none",0,104.116863,322.276634,281.992055,"0"
0,"AllGather",1,8,8,1,33554432,"float","none",1,103.267925,324.925983,284.310235,"0"
0,"AllGather",1,8,8,1,67108864,"float","none",0,181.593550,369.555328,323.360912,"0"
0,"AllGather",1,8,8,1,67108864,"float","none",1,181.532425,369.679764,323.469793,"0"
0,"AllGather",1,8,8,1,134217728,"float","none",0,323.950475,414.315577,362.526130,"0"
0,"AllGather",1,8,8,1,134217728,"float","none",1,324.748050,413.298026,361.635773,"0"
0,"AllGather",1,8,8,1,268435456,"float","none",0,622.835300,430.989470,377.115786,"0"
0,"AllGather",1,8,8,1,268435456,"float","none",1,623.082562,430.818437,376.966133,"0"
0,"AllGather",1,8,8,1,536870912,"float","none",0,1220.136500,440.008894,385.007782,"0"
0,"AllGather",1,8,8,1,536870912,"float","none",1,1222.332113,439.218529,384.316213,"0"
