numCycle,collective,ranks,rankspernode,gpusperrank,size,type,redop,inplace,time,algbw,busbw,#wrong
0,"AlltoAll",1,8,8,1,4096,"float","none",0,15.115538,0.270979,0.237107,"0"
0,"AlltoAll",1,8,8,1,4096,"float","none",1,12.552213,0.326317,0.285527,"N/A"
0,"AlltoAll",1,8,8,1,8192,"float","none",0,12.387388,0.661318,0.578653,"0"
0,"AlltoAll",1,8,8,1,8192,"float","none",1,11.632825,0.704214,0.616187,"N/A"
0,"AlltoAll",1,8,8,1,16384,"float","none",0,13.338150,1.228356,1.074812,"0"
0,"AlltoAll",1,8,8,1,16384,"float","none",1,13.539400,1.210098,1.058836,"N/A"
0,"AlltoAll",1,8,8,1,32768,"float","none",0,13.896025,2.358084,2.063324,"0"
0,"AlltoAll",1,8,8,1,32768,"float","none",1,13.352213,2.454125,2.147359,"N/A"
0,"AlltoAll",1,8,8,1,65536,"float","none",0,12.807075,5.117172,4.477525,"0"
0,"AlltoAll",1,8,8,1,65536,"float","none",1,12.651275,5.180189,4.532666,"N/A"
0,"AlltoAll",1,8,8,1,131072,"float","none",0,14.946475,8.769426,7.673247,"0"
0,"AlltoAll",1,8,8,1,131072,"float","none",1,14.193588,9.234593,8.080269,"N/A"
0,"AlltoAll",1,8,8,1,262144,"float","none",0,14.762400,17.757546,15.537853,"0"
0,"AlltoAll",1,8,8,1,262144,"float","none",1,13.957213,18.781974,16.434227,"N/A"
0,"AlltoAll",1,8,8,1,524288,"float","none",0,15.137288,34.635532,30.306090,"0"
0,"AlltoAll",1,8,8,1,524288,"float","none",1,15.306288,34.253113,29.971474,"N/A"
0,"AlltoAll",1,8,8,1,1048576,"float","none",0,20.813200,50.380336,44.082794,"0"
0,"AlltoAll",1,8,8,1,1048576,"float","none",1,18.954625,55.320324,48.405284,"N/A"
0,"AlltoAll",1,8,8,1,2097152,"float","none",0,20.053325,104.578767,91.506421,"0"
0,"AlltoAll",1,8,8,1,2097152,"float","none",1,18.876125,111.100769,97.213173,"N/A"
0,"AlltoAll",1,8,8,1,4194304,"float","none",0,23.926463,175.299796,153.387322,"0"
0,"AlltoAll",1,8,8,1,4194304,"float","none",1,23.597588,177.742915,155.525051,"N/A"
0,"AlltoAll",1,8,8,1,8388608,"float","none",0,38.179500,219.714978,192.250606,"0"
0,"AlltoAll",1,8,8,1,8388608,"float","none",1,36.089987,232.435880,203.381395,"N/A"
0,"AlltoAll",1,8,8,1,16777216,"float","none",0,60.514200,277.244283,242.588748,"0"
0,"AlltoAll",1,8,8,1,16777216,"float","none",1,60.828837,275.810236,241.333956,"N/A"
0,"AlltoAll",1,8,8,1,33554432,"float","none",0,108.175575,310.184919,271.411804,"0"
0,"AlltoAll",1,8,8,1,33554432,"float","none",1,108.327950,309.748611,271.030034,"N/A"
0,"AlltoAll",1,8,8,1,67108864,"float","none",0,195.512969,343.245077,300.339442,"0"
0,"AlltoAll",1,8,8,1,67108864,"float","none",1,194.831325,344.445966,301.390220,"N/A"
0,"AlltoAll",1,8,8,1,134217728,"float","none",0,364.550069,368.173646,322.151940,"0"
0,"AlltoAll",1,8,8,1,134217728,"float","none",1,363.836425,368.895797,322.783822,"N/A"
0,"AlltoAll",1,8,8,1,268435456,"float","none",0,699.605925,383.695230,335.733326,"0"
0,"AlltoAll",1,8,8,1,268435456,"float","none",1,699.798375,383.589710,335.640997,"N/A"
0,"AlltoAll",1,8,8,1,536870912,"float","none",0,1367.171587,392.687295,343.601383,"0"
0,"AlltoAll",1,8,8,1,536870912,"float","none",1,1365.946950,393.039358,343.909438,"N/A"
