numCycle,collective,ranks,rankspernode,gpusperrank,size,type,redop,inplace,time,algbw,busbw,#wrong
0,"AlltoAll",1,8,8,1,4096,"float","none",0,13.144150,0.311622,0.272669,"0"
0,"AlltoAll",1,8,8,1,4096,"float","none",1,10.225038,0.400585,0.350512,"N/A"
0,"AlltoAll",1,8,8,1,8192,"float","none",0,10.558125,0.775895,0.678908,"0"
0,"AlltoAll",1,8,8,1,8192,"float","none",1,9.825438,0.833754,0.729535,"N/A"
0,"AlltoAll",1,8,8,1,16384,"float","none",0,12.918763,1.268233,1.109704,"0"
0,"AlltoAll",1,8,8,1,16384,"float","none",1,11.931450,1.373178,1.201530,"N/A"
0,"AlltoAll",1,8,8,1,32768,"float","none",0,13.272700,2.468827,2.160224,"0"
0,"AlltoAll",1,8,8,1,32768,"float","none",1,11.832013,2.769436,2.423256,"N/A"
0,"AlltoAll",1,8,8,1,65536,"float","none",0,12.372900,5.296737,4.634645,"0"
0,"AlltoAll",1,8,8,1,65536,"float","none",1,11.926513,5.494984,4.808111,"N/A"
0,"AlltoAll",1,8,8,1,131072,"float","none",0,14.159600,9.256759,8.099664,"0"
0,"AlltoAll",1,8,8,1,131072,"float","none",1,13.132513,9.980725,8.733135,"N/A"
0,"AlltoAll",1,8,8,1,262144,"float","none",0,12.911463,20.303200,17.765300,"0"
0,"AlltoAll",1,8,8,1,262144,"float","none",1,12.520638,20.936953,18.319834,"N/A"
0,"AlltoAll",1,8,8,1,524288,"float","none",0,15.388538,34.070034,29.811280,"0"
0,"AlltoAll",1,8,8,1,524288,"float","none",1,15.414600,34.012430,29.760876,"N/A"
0,"AlltoAll",1,8,8,1,1048576,"float","none",0,19.345375,54.202930,47.427563,"0"
0,"AlltoAll",1,8,8,1,1048576,"float","none",1,17.803944,58.895715,51.533751,"N/A"
0,"AlltoAll",1,8,8,1,2097152,"float","none",0,19.275250,108.800249,95.200218,"0"
0,"AlltoAll",1,8,8,1,2097152,"float","none",1,18.896444,110.981306,97.108642,"N/A"
0,"AlltoAll",1,8,8,1,4194304,"float","none",0,24.027338,174.563828,152.743349,"0"
0,"AlltoAll",1,8,8,1,4194304,"float","none",1,23.856963,175.810479,153.834169,"N/A"
0,"AlltoAll",1,8,8,1,8388608,"float","none",0,36.681987,228.684664,200.099081,"0"
0,"AlltoAll",1,8,8,1,8388608,"float","none",1,36.295412,231.120338,202.230296,"N/A"
0,"AlltoAll",1,8,8,1,16777216,"float","none",0,60.909263,275.446054,241.015297,"0"
0,"AlltoAll",1,8,8,1,16777216,"float","none",1,61.020387,274.944436,240.576381,"N/A"
0,"AlltoAll",1,8,8,1,33554432,"float","none",0,108.052312,310.538768,271.721422,"0"
0,"AlltoAll",1,8,8,1,33554432,"float","none",1,108.188763,310.147110,271.378721,"N/A"
0,"AlltoAll",1,8,8,1,67108864,"float","none",0,195.314312,343.594195,300.644921,"0"
0,"AlltoAll",1,8,8,1,67108864,"float","none",1,195.193875,343.806198,300.830423,"N/A"
0,"AlltoAll",1,8,8,1,134217728,"float","none",0,363.951575,368.779083,322.681697,"0"
0,"AlltoAll",1,8,8,1,134217728,"float","none",1,363.807450,368.925177,322.809530,"N/A"
0,"AlltoAll",1,8,8,1,268435456,"float","none",0,698.756825,384.161480,336.141295,"0"
0,"AlltoAll",1,8,8,1,268435456,"float","none",1,700.236175,383.349883,335.431148,"N/A"
0,"AlltoAll",1,8,8,1,536870912,"float","none",0,1365.591550,393.141648,343.998942,"0"
0,"AlltoAll",1,8,8,1,536870912,"float","none",1,1368.687800,392.252281,343.220746,"N/A"
