numCycle,collective,ranks,rankspernode,gpusperrank,size,type,redop,inplace,time,algbw,busbw,#wrong
0,"AlltoAll",1,8,8,1,4096,"float","none",0,13.276025,0.308526,0.269960,"0"
0,"AlltoAll",1,8,8,1,4096,"float","none",1,11.590856,0.353382,0.309209,"N/A"
0,"AlltoAll",1,8,8,1,8192,"float","none",0,10.398250,0.787825,0.689347,"0"
0,"AlltoAll",1,8,8,1,8192,"float","none",1,9.881625,0.829013,0.725387,"N/A"
0,"AlltoAll",1,8,8,1,16384,"float","none",0,13.096250,1.251045,1.094665,"0"
0,"AlltoAll",1,8,8,1,16384,"float","none",1,10.745888,1.524676,1.334092,"N/A"
0,"AlltoAll",1,8,8,1,32768,"float","none",0,12.329075,2.657783,2.325560,"0"
0,"AlltoAll",1,8,8,1,32768,"float","none",1,12.579588,2.604855,2.279248,"N/A"
0,"AlltoAll",1,8,8,1,65536,"float","none",0,12.729950,5.148174,4.504652,"0"
0,"AlltoAll",1,8,8,1,65536,"float","none",1,12.056075,5.435932,4.756440,"N/A"
0,"AlltoAll",1,8,8,1,131072,"float","none",0,14.402838,9.100429,7.962875,"0"
0,"AlltoAll",1,8,8,1,131072,"float","none",1,14.073412,9.313448,8.149267,"N/A"
0,"AlltoAll",1,8,8,1,262144,"float","none",0,13.062513,20.068421,17.559868,"0"
0,"AlltoAll",1,8,8,1,262144,"float","none",1,12.572638,20.850359,18.244064,"N/A"
0,"AlltoAll",1,8,8,1,524288,"float","none",0,15.380100,34.088725,29.827634,"0"
0,"AlltoAll",1,8,8,1,524288,"float","none",1,15.569288,33.674502,29.465189,"N/A"
0,"AlltoAll",1,8,8,1,1048576,"float","none",0,19.232312,54.521577,47.706380,"0"
0,"AlltoAll",1,8,8,1,1048576,"float","none",1,18.103237,57.922015,50.681763,"N/A"
0,"AlltoAll",1,8,8,1,2097152,"float","none",0,18.924625,110.816040,96.964035,"0"
0,"AlltoAll",1,8,8,1,2097152,"float","none",1,19.148125,109.522577,95.832255,"N/A"
0,"AlltoAll",1,8,8,1,4194304,"float","none",0,24.218350,173.187026,151.538647,"0"
0,"AlltoAll",1,8,8,1,4194304,"float","none",1,23.957650,175.071595,153.187646,"N/A"
0,"AlltoAll",1,8,8,1,8388608,"float","none",0,38.252844,219.293709,191.881996,"0"
0,"AlltoAll",1,8,8,1,8388608,"float","none",1,36.342475,230.821043,201.968413,"N/A"
0,"AlltoAll",1,8,8,1,16777216,"float","none",0,60.547825,277.090317,242.454027,"0"
0,"AlltoAll",1,8,8,1,16777216,"float","none",1,60.810950,275.891365,241.404944,"N/A"
0,"AlltoAll",1,8,8,1,33554432,"float","none",0,108.345875,309.697365,270.985194,"0"
0,"AlltoAll",1,8,8,1,33554432,"float","none",1,108.263244,309.933740,271.192022,"N/A"
0,"AlltoAll",1,8,8,1,67108864,"float","none",0,194.936944,344.259342,301.226924,"0"
0,"AlltoAll",1,8,8,1,67108864,"float","none",1,195.031444,344.092536,301.080969,"N/A"
0,"AlltoAll",1,8,8,1,134217728,"float","none",0,364.228713,368.498483,322.436173,"0"
0,"AlltoAll",1,8,8,1,134217728,"float","none",1,364.416525,368.308567,322.269996,"N/A"
0,"AlltoAll",1,8,8,1,268435456,"float","none",0,699.578906,383.710048,335.746292,"0"
0,"AlltoAll",1,8,8,1,268435456,"float","none",1,700.699706,383.096287,335.209251,"N/A"
0,"AlltoAll",1,8,8,1,536870912,"float","none",0,1367.827675,392.498940,343.436572,"0"
0,"AlltoAll",1,8,8,1,536870912,"float","none",1,1364.746988,393.384940,344.211823,"N/A"
