numCycle,collective,ranks,rankspernode,gpusperrank,size,type,redop,inplace,time,algbw,busbw,#wrong
0,"AlltoAll",1,8,8,1,4096,"float","none",0,12.913950,0.317176,0.277529,"0"
0,"AlltoAll",1,8,8,1,4096,"float","none",1,10.805375,0.379071,0.331687,"N/A"
0,"AlltoAll",1,8,8,1,8192,"float","none",0,10.527762,0.778133,0.680866,"0"
0,"AlltoAll",1,8,8,1,8192,"float","none",1,10.979200,0.746138,0.652871,"N/A"
0,"AlltoAll",1,8,8,1,16384,"float","none",0,13.665150,1.198962,1.049092,"0"
0,"AlltoAll",1,8,8,1,16384,"float","none",1,12.725650,1.287478,1.126544,"N/A"
0,"AlltoAll",1,8,8,1,32768,"float","none",0,14.184525,2.310123,2.021358,"0"
0,"AlltoAll",1,8,8,1,32768,"float","none",1,13.007325,2.519196,2.204296,"N/A"
0,"AlltoAll",1,8,8,1,65536,"float","none",0,13.119400,4.995350,4.370932,"0"
0,"AlltoAll",1,8,8,1,65536,"float","none",1,13.075587,5.012088,4.385577,"N/A"
0,"AlltoAll",1,8,8,1,131072,"float","none",0,14.688775,8.923276,7.807867,"0"
0,"AlltoAll",1,8,8,1,131072,"float","none",1,14.557538,9.003721,7.878256,"N/A"
0,"AlltoAll",1,8,8,1,262144,"float","none",0,14.238163,18.411365,16.109944,"0"
0,"AlltoAll",1,8,8,1,262144,"float","none",1,14.127400,18.555714,16.236250,"N/A"
0,"AlltoAll",1,8,8,1,524288,"float","none",0,15.258913,34.359460,30.064528,"0"
0,"AlltoAll",1,8,8,1,524288,"float","none",1,15.203087,34.485627,30.174923,"N/A"
0,"AlltoAll",1,8,8,1,1048576,"float","none",0,19.841500,52.847617,46.241665,"0"
0,"AlltoAll",1,8,8,1,1048576,"float","none",1,19.211488,54.580677,47.758093,"N/A"
0,"AlltoAll",1,8,8,1,2097152,"float","none",0,18.911563,110.892582,97.031009,"0"
0,"AlltoAll",1,8,8,1,2097152,"float","none",1,18.772438,111.714422,97.750119,"N/A"
0,"AlltoAll",1,8,8,1,4194304,"float","none",0,24.064713,174.292712,152.506123,"0"
0,"AlltoAll",1,8,8,1,4194304,"float","none",1,23.509963,178.405389,156.104715,"N/A"
0,"AlltoAll",1,8,8,1,8388608,"float","none",0,36.329800,230.901574,202.038877,"0"
0,"AlltoAll",1,8,8,1,8388608,"float","none",1,36.075925,232.526484,203.460674,"N/A"
0,"AlltoAll",1,8,8,1,16777216,"float","none",0,60.638888,276.674205,242.089930,"0"
0,"AlltoAll",1,8,8,1,16777216,"float","none",1,60.586888,276.911667,242.297708,"N/A"
0,"AlltoAll",1,8,8,1,33554432,"float","none",0,108.222063,310.051677,271.295218,"0"
0,"AlltoAll",1,8,8,1,33554432,"float","none",1,108.796912,308.413458,269.861776,"N/A"
0,"AlltoAll",1,8,8,1,67108864,"float","none",0,194.465688,345.093599,301.956899,"0"
0,"AlltoAll",1,8,8,1,67108864,"float","none",1,195.440625,343.372132,300.450615,"N/A"
0,"AlltoAll",1,8,8,1,134217728,"float","none",0,364.590525,368.132792,322.116193,"0"
0,"AlltoAll",1,8,8,1,134217728,"float","none",1,364.577213,368.146235,322.127955,"N/A"
0,"AlltoAll",1,8,8,1,268435456,"float","none",0,698.754400,384.162813,336.142462,"0"
0,"AlltoAll",1,8,8,1,268435456,"float","none",1,699.568381,383.715821,335.751344,"N/A"
0,"AlltoAll",1,8,8,1,536870912,"float","none",0,1367.123750,392.701035,343.613406,"0"
0,"AlltoAll",1,8,8,1,536870912,"float","none",1,1368.689000,392.251937,343.220445,"N/A"
