numCycle,collective,ranks,rankspernode,gpusperrank,size,type,redop,inplace,time,algbw,busbw,#wrong
0,"AlltoAll",1,8,8,1,4096,"float","none",0,13.742763,0.298048,0.260792,"0"
0,"AlltoAll",1,8,8,1,4096,"float","none",1,11.159025,0.367057,0.321175,"N/A"
0,"AlltoAll",1,8,8,1,8192,"float","none",0,12.245388,0.668987,0.585363,"0"
0,"AlltoAll",1,8,8,1,8192,"float","none",1,10.721875,0.764045,0.668540,"N/A"
0,"AlltoAll",1,8,8,1,16384,"float","none",0,13.488825,1.214635,1.062806,"0"
0,"AlltoAll",1,8,8,1,16384,"float","none",1,12.881763,1.271876,1.112891,"N/A"
0,"AlltoAll",1,8,8,1,32768,"float","none",0,13.691763,2.393264,2.094106,"0"
0,"AlltoAll",1,8,8,1,32768,"float","none",1,12.414000,2.639600,2.309650,"N/A"
0,"AlltoAll",1,8,8,1,65536,"float","none",0,11.982312,5.469395,4.785721,"0"
0,"AlltoAll",1,8,8,1,65536,"float","none",1,11.713638,5.594846,4.895490,"N/A"
0,"AlltoAll",1,8,8,1,131072,"float","none",0,14.467137,9.059982,7.927484,"0"
0,"AlltoAll",1,8,8,1,131072,"float","none",1,13.814763,9.487821,8.301844,"N/A"
0,"AlltoAll",1,8,8,1,262144,"float","none",0,14.386406,18.221646,15.943940,"0"
0,"AlltoAll",1,8,8,1,262144,"float","none",1,13.400825,19.561781,17.116558,"N/A"
0,"AlltoAll",1,8,8,1,524288,"float","none",0,15.198981,34.494944,30.183076,"0"
0,"AlltoAll",1,8,8,1,524288,"float","none",1,15.296713,34.274554,29.990235,"N/A"
0,"AlltoAll",1,8,8,1,1048576,"float","none",0,19.404988,54.036417,47.281865,"0"
0,"AlltoAll",1,8,8,1,1048576,"float","none",1,18.306600,57.278577,50.118755,"N/A"
0,"AlltoAll",1,8,8,1,2097152,"float","none",0,18.861788,111.185220,97.287068,"0"
0,"AlltoAll",1,8,8,1,2097152,"float","none",1,18.821925,111.420697,97.493110,"N/A"
0,"AlltoAll",1,8,8,1,4194304,"float","none",0,23.936825,175.223907,153.320919,"0"
0,"AlltoAll",1,8,8,1,4194304,"float","none",1,23.570075,177.950388,155.706590,"N/A"
0,"AlltoAll",1,8,8,1,8388608,"float","none",0,37.434213,224.089341,196.078173,"0"
0,"AlltoAll",1,8,8,1,8388608,"float","none",1,36.237075,231.492415,202.555863,"N/A"
0,"AlltoAll",1,8,8,1,16777216,"float","none",0,60.691650,276.433677,241.879468,"0"
0,"AlltoAll",1,8,8,1,16777216,"float","none",1,60.645837,276.642498,242.062186,"N/A"
0,"AlltoAll",1,8,8,1,33554432,"float","none",0,108.140163,310.286495,271.500683,"0"
0,"AlltoAll",1,8,8,1,33554432,"float","none",1,108.259425,309.944672,271.201588,"N/A"
0,"AlltoAll",1,8,8,1,67108864,"float","none",0,194.803225,344.495652,301.433695,"0"
0,"AlltoAll",1,8,8,1,67108864,"float","none",1,195.316975,343.589511,300.640822,"N/A"
0,"AlltoAll",1,8,8,1,134217728,"float","none",0,364.477037,368.247418,322.216491,"0"
0,"AlltoAll",1,8,8,1,134217728,"float","none",1,364.912725,367.807749,321.831780,"N/A"
0,"AlltoAll",1,8,8,1,268435456,"float","none",0,700.729694,383.079893,335.194906,"0"
0,"AlltoAll",1,8,8,1,268435456,"float","none",1,700.924600,382.973370,335.101699,"N/A"
0,"AlltoAll",1,8,8,1,536870912,"float","none",0,1368.692825,392.250841,343.219486,"0"
0,"AlltoAll",1,8,8,1,536870912,"float","none",1,1367.927650,392.470254,343.411472,"N/A"
