numCycle,collective,ranks,rankspernode,gpusperrank,size,type,redop,inplace,time,algbw,busbw,#wrong
0,"AlltoAll",1,8,8,1,4096,"float","none",0,14.142963,0.289614,0.253412,"0"
0,"AlltoAll",1,8,8,1,4096,"float","none",1,9.806075,0.417700,0.365488,"N/A"
0,"AlltoAll",1,8,8,1,8192,"float","none",0,10.433637,0.785153,0.687009,"0"
0,"AlltoAll",1,8,8,1,8192,"float","none",1,10.239081,0.800072,0.700063,"N/A"
0,"AlltoAll",1,8,8,1,16384,"float","none",0,13.599588,1.204742,1.054150,"0"
0,"AlltoAll",1,8,8,1,16384,"float","none",1,12.128325,1.350887,1.182026,"N/A"
0,"AlltoAll",1,8,8,1,32768,"float","none",0,13.291887,2.465263,2.157105,"0"
0,"AlltoAll",1,8,8,1,32768,"float","none",1,11.967762,2.738022,2.395769,"N/A"
0,"AlltoAll",1,8,8,1,65536,"float","none",0,12.331462,5.314536,4.650219,"0"
0,"AlltoAll",1,8,8,1,65536,"float","none",1,11.809013,5.549660,4.855952,"N/A"
0,"AlltoAll",1,8,8,1,131072,"float","none",0,14.561163,9.001479,7.876294,"0"
0,"AlltoAll",1,8,8,1,131072,"float","none",1,14.255600,9.194422,8.045119,"N/A"
0,"AlltoAll",1,8,8,1,262144,"float","none",0,14.276394,18.362060,16.066803,"0"
0,"AlltoAll",1,8,8,1,262144,"float","none",1,14.164837,18.506672,16.193338,"N/A"
0,"AlltoAll",1,8,8,1,524288,"float","none",0,15.155900,34.592997,30.268872,"0"
0,"AlltoAll",1,8,8,1,524288,"float","none",1,15.576475,33.658963,29.451593,"N/A"
0,"AlltoAll",1,8,8,1,1048576,"float","none",0,19.385938,54.089517,47.328328,"0"
0,"AlltoAll",1,8,8,1,1048576,"float","none",1,18.581125,56.432320,49.378280,"N/A"
0,"AlltoAll",1,8,8,1,2097152,"float","none",0,19.241313,108.992149,95.368130,"0"
0,"AlltoAll",1,8,8,1,2097152,"float","none",1,18.888238,111.029523,97.150833,"N/A"
0,"AlltoAll",1,8,8,1,4194304,"float","none",0,23.955100,175.090231,153.203952,"0"
0,"AlltoAll",1,8,8,1,4194304,"float","none",1,23.655075,177.310958,155.147088,"N/A"
0,"AlltoAll",1,8,8,1,8388608,"float","none",0,37.557612,223.353069,195.433935,"0"
0,"AlltoAll",1,8,8,1,8388608,"float","none",1,35.994863,233.050147,203.918879,"N/A"
0,"AlltoAll",1,8,8,1,16777216,"float","none",0,60.596075,276.869682,242.260972,"0"
0,"AlltoAll",1,8,8,1,16777216,"float","none",1,60.506013,277.281799,242.621574,"N/A"
0,"AlltoAll",1,8,8,1,33554432,"float","none",0,107.918463,310.923926,272.058435,"0"
0,"AlltoAll",1,8,8,1,33554432,"float","none",1,108.061138,310.513407,271.699231,"N/A"
0,"AlltoAll",1,8,8,1,67108864,"float","none",0,195.445131,343.364215,300.443688,"0"
0,"AlltoAll",1,8,8,1,67108864,"float","none",1,194.691088,344.694073,301.607314,"N/A"
0,"AlltoAll",1,8,8,1,134217728,"float","none",0,364.194000,368.533606,322.466905,"0"
0,"AlltoAll",1,8,8,1,134217728,"float","none",1,364.990888,367.728983,321.762860,"N/A"
0,"AlltoAll",1,8,8,1,268435456,"float","none",0,698.674069,384.206983,336.181110,"0"
0,"AlltoAll",1,8,8,1,268435456,"float","none",1,700.358200,383.283091,335.372705,"N/A"
0,"AlltoAll",1,8,8,1,536870912,"float","none",0,1365.262869,393.236295,344.081758,"0"
0,"AlltoAll",1,8,8,1,536870912,"float","none",1,1365.748350,393.096512,343.959448,"N/A"
