numCycle,collective,ranks,rankspernode,gpusperrank,size,type,redop,inplace,time,algbw,busbw,#wrong
0,"AlltoAll",1,8,8,1,4096,"float","none",0,10.959913,0.373726,0.327010,"0"
0,"AlltoAll",1,8,8,1,4096,"float","none",1,10.269663,0.398845,0.348989,"N/A"
0,"AlltoAll",1,8,8,1,8192,"float","none",0,11.346637,0.721976,0.631729,"0"
0,"AlltoAll",1,8,8,1,8192,"float","none",1,10.349325,0.791549,0.692606,"N/A"
0,"AlltoAll",1,8,8,1,16384,"float","none",0,12.030400,1.361883,1.191648,"0"
0,"AlltoAll",1,8,8,1,16384,"float","none",1,11.514763,1.422869,1.245010,"N/A"
0,"AlltoAll",1,8,8,1,32768,"float","none",0,12.523888,2.616440,2.289385,"0"
0,"AlltoAll",1,8,8,1,32768,"float","none",1,11.940388,2.744300,2.401262,"N/A"
0,"AlltoAll",1,8,8,1,65536,"float","none",0,12.023200,5.450795,4.769446,"0"
0,"AlltoAll",1,8,8,1,65536,"float","none",1,11.913887,5.500807,4.813206,"N/A"
0,"AlltoAll",1,8,8,1,131072,"float","none",0,13.523900,9.691879,8.480394,"0"
0,"AlltoAll",1,8,8,1,131072,"float","none",1,13.262325,9.883033,8.647654,"N/A"
0,"AlltoAll",1,8,8,1,262144,"float","none",0,13.709650,19.121130,16.730989,"0"
0,"AlltoAll",1,8,8,1,262144,"float","none",1,13.601088,19.273753,16.864534,"N/A"
0,"AlltoAll",1,8,8,1,524288,"float","none",0,15.062475,34.807560,30.456615,"0"
0,"AlltoAll",1,8,8,1,524288,"float","none",1,15.219163,34.449202,30.143052,"N/A"
0,"AlltoAll",1,8,8,1,1048576,"float","none",0,18.756187,55.905604,48.917404,"0"
0,"AlltoAll",1,8,8,1,1048576,"float","none",1,18.807938,55.751780,48.782808,"N/A"
0,"AlltoAll",1,8,8,1,2097152,"float","none",0,19.019063,110.265793,96.482568,"0"
0,"AlltoAll",1,8,8,1,2097152,"float","none",1,18.870125,111.136095,97.244083,"N/A"
0,"AlltoAll",1,8,8,1,4194304,"float","none",0,23.978706,174.917861,153.053128,"0"
0,"AlltoAll",1,8,8,1,4194304,"float","none",1,23.569838,177.952181,155.708159,"N/A"
0,"AlltoAll",1,8,8,1,8388608,"float","none",0,38.574500,217.465113,190.281974,"0"
0,"AlltoAll",1,8,8,1,8388608,"float","none",1,35.932175,233.456728,204.274637,"N/A"
0,"AlltoAll",1,8,8,1,16777216,"float","none",0,60.619575,276.762349,242.167056,"0"
0,"AlltoAll",1,8,8,1,16777216,"float","none",1,60.585638,276.917380,242.302707,"N/A"
0,"AlltoAll",1,8,8,1,33554432,"float","none",0,108.110637,310.371234,271.574830,"0"
0,"AlltoAll",1,8,8,1,33554432,"float","none",1,108.349638,309.686611,270.975784,"N/A"
0,"AlltoAll",1,8,8,1,67108864,"float","none",0,195.545250,343.188413,300.289861,"0"
0,"AlltoAll",1,8,8,1,67108864,"float","none",1,195.230250,343.742140,300.774373,"N/A"
0,"AlltoAll",1,8,8,1,134217728,"float","none",0,364.007450,368.722475,322.632166,"0"
0,"AlltoAll",1,8,8,1,134217728,"float","none",1,364.699338,368.022955,322.020086,"N/A"
0,"AlltoAll",1,8,8,1,268435456,"float","none",0,700.122113,383.412338,335.485796,"0"
0,"AlltoAll",1,8,8,1,268435456,"float","none",1,701.715919,382.541494,334.723807,"N/A"
0,"AlltoAll",1,8,8,1,536870912,"float","none",0,1370.042825,391.864329,342.881288,"0"
0,"AlltoAll",1,8,8,1,536870912,"float","none",1,1367.505506,392.591408,343.517482,"N/A"
