numCycle,collective,ranks,rankspernode,gpusperrank,size,type,redop,inplace,time,algbw,busbw,#wrong
0,"Broadcast",1,8,8,1,4096,"float","none",0,15.189413,0.269662,0.269662,"0"
0,"Broadcast",1,8,8,1,4096,"float","none",1,13.822900,0.296320,0.296320,"0"
0,"Broadcast",1,8,8,1,8192,"float","none",0,13.171913,0.621929,0.621929,"0"
0,"Broadcast",1,8,8,1,8192,"float","none",1,12.996500,0.630324,0.630324,"0"
0,"Broadcast",1,8,8,1,16384,"float","none",0,16.192813,1.011807,1.011807,"0"
0,"Broadcast",1,8,8,1,16384,"float","none",1,15.659287,1.046280,1.046280,"0"
0,"Broadcast",1,8,8,1,32768,"float","none",0,15.852913,2.067002,2.067002,"0"
0,"Broadcast",1,8,8,1,32768,"float","none",1,14.743713,2.222507,2.222507,"0"
0,"Broadcast",1,8,8,1,65536,"float","none",0,16.994813,3.856236,3.856236,"0"
0,"Broadcast",1,8,8,1,65536,"float","none",1,16.716875,3.920350,3.920350,"0"
0,"Broadcast",1,8,8,1,131072,"float","none",0,22.009294,5.955302,5.955302,"0"
0,"Broadcast",1,8,8,1,131072,"float","none",1,21.199569,6.182767,6.182767,"0"
0,"Broadcast",1,8,8,1,262144,"float","none",0,20.083700,13.052575,13.052575,"0"
0,"Broadcast",1,8,8,1,262144,"float","none",1,20.199344,12.977847,12.977847,"0"
0,"Broadcast",1,8,8,1,524288,"float","none",0,50.700188,10.340948,10.340948,"0"
0,"Broadcast",1,8,8,1,524288,"float","none",1,51.508550,10.178660,10.178660,"0"
0,"Broadcast",1,8,8,1,1048576,"float","none",0,54.480375,19.246857,19.246857,"0"
0,"Broadcast",1,8,8,1,1048576,"float","none",1,54.116250,19.376361,19.376361,"0"
0,"Broadcast",1,8,8,1,2097152,"float","none",0,55.004950,38.126605,38.126605,"0"
0,"Broadcast",1,8,8,1,2097152,"float","none",1,55.277088,37.938902,37.938902,"0"
0,"Broadcast",1,8,8,1,4194304,"float","none",0,63.385206,66.171655,66.171655,"0"
0,"Broadcast",1,8,8,1,4194304,"float","none",1,63.542019,66.008353,66.008353,"0"
0,"Broadcast",1,8,8,1,8388608,"float","none",0,78.339481,107.080209,107.080209,"0"
0,"Broadcast",1,8,8,1,8388608,"float","none",1,77.864406,107.733538,107.733538,"0"
0,"Broadcast",1,8,8,1,16777216,"float","none",0,102.568375,163.571042,163.571042,"0"
0,"Broadcast",1,8,8,1,16777216,"float","none",1,102.396125,163.846200,163.846200,"0"
0,"Broadcast",1,8,8,1,33554432,"float","none",0,150.846513,222.440887,222.440887,"0"
0,"Broadcast",1,8,8,1,33554432,"float","none",1,150.526419,222.913906,222.913906,"0"
0,"Broadcast",1,8,8,1,67108864,"float","none",0,268.371781,250.059316,250.059316,"0"
0,"Broadcast",1,8,8,1,67108864,"float","none",1,268.018594,250.388837,250.388837,"0"
0,"Broadcast",1,8,8,1,134217728,"float","none",0,443.564894,302.588708,302.588708,"0"
0,"Broadcast",1,8,8,1,134217728,"float","none",1,443.307031,302.764717,302.764717,"0"
0,"Broadcast",1,8,8,1,268435456,"float","none",0,848.519100,316.357588,316.357588,"0"
0,"Broadcast",1,8,8,1,268435456,"float","none",1,848.835138,316.239802,316.239802,"0"
0,"Broadcast",1,8,8,1,536870912,"float","none",0,1531.018969,350.662482,350.662482,"0"
0,"Broadcast",1,8,8,1,536870912,"float","none",1,1531.649313,350.518169,350.518169,"0"
