numCycle,collective,ranks,rankspernode,gpusperrank,size,type,redop,inplace,time,algbw,busbw,#wrong
0,"Broadcast",1,8,8,1,4096,"float","none",0,15.903506,0.257553,0.257553,"0"
0,"Broadcast",1,8,8,1,4096,"float","none",1,13.450975,0.304513,0.304513,"0"
0,"Broadcast",1,8,8,1,8192,"float","none",0,11.397450,0.718757,0.718757,"0"
0,"Broadcast",1,8,8,1,8192,"float","none",1,12.713450,0.644357,0.644357,"0"
0,"Broadcast",1,8,8,1,16384,"float","none",0,15.475662,1.058695,1.058695,"0"
0,"Broadcast",1,8,8,1,16384,"float","none",1,15.040275,1.089342,1.089342,"0"
0,"Broadcast",1,8,8,1,32768,"float","none",0,14.652325,2.236369,2.236369,"0"
0,"Broadcast",1,8,8,1,32768,"float","none",1,14.225919,2.303401,2.303401,"0"
0,"Broadcast",1,8,8,1,65536,"float","none",0,16.861688,3.886681,3.886681,"0"
0,"Broadcast",1,8,8,1,65536,"float","none",1,16.463819,3.980607,3.980607,"0"
0,"Broadcast",1,8,8,1,131072,"float","none",0,21.178156,6.189018,6.189018,"0"
0,"Broadcast",1,8,8,1,131072,"float","none",1,20.855594,6.284741,6.284741,"0"
0,"Broadcast",1,8,8,1,262144,"float","none",0,19.987463,13.115422,13.115422,"0"
0,"Broadcast",1,8,8,1,262144,"float","none",1,19.831969,13.218254,13.218254,"0"
0,"Broadcast",1,8,8,1,524288,"float","none",0,21.137531,24.803653,24.803653,"0"
0,"Broadcast",1,8,8,1,524288,"float","none",1,20.670556,25.364001,25.364001,"0"
0,"Broadcast",1,8,8,1,1048576,"float","none",0,25.753387,40.716042,40.716042,"0"
0,"Broadcast",1,8,8,1,1048576,"float","none",1,24.068181,43.566898,43.566898,"0"
0,"Broadcast",1,8,8,1,2097152,"float","none",0,25.689694,81.633982,81.633982,"0"
0,"Broadcast",1,8,8,1,2097152,"float","none",1,25.766131,81.391808,81.391808,"0"
0,"Broadcast",1,8,8,1,4194304,"float","none",0,37.662894,111.364358,111.364358,"0"
0,"Broadcast",1,8,8,1,4194304,"float","none",1,37.706706,111.234961,111.234961,"0"
0,"Broadcast",1,8,8,1,8388608,"float","none",0,61.806850,135.722950,135.722950,"0"
0,"Broadcast",1,8,8,1,8388608,"float","none",1,60.802887,137.963974,137.963974,"0"
0,"Broadcast",1,8,8,1,16777216,"float","none",0,106.276856,157.863307,157.863307,"0"
0,"Broadcast",1,8,8,1,16777216,"float","none",1,105.593388,158.885101,158.885101,"0"
0,"Broadcast",1,8,8,1,33554432,"float","none",0,195.666462,171.487906,171.487906,"0"
0,"Broadcast",1,8,8,1,33554432,"float","none",1,194.648413,172.384822,172.384822,"0"
0,"Broadcast",1,8,8,1,67108864,"float","none",0,371.252725,180.763290,180.763290,"0"
0,"Broadcast",1,8,8,1,67108864,"float","none",1,370.475919,181.142311,181.142311,"0"
0,"Broadcast",1,8,8,1,134217728,"float","none",0,722.074038,185.878069,185.878069,"0"
0,"Broadcast",1,8,8,1,134217728,"float","none",1,721.622925,185.994268,185.994268,"0"
0,"Broadcast",1,8,8,1,268435456,"float","none",0,1428.061363,187.971934,187.971934,"0"
0,"Broadcast",1,8,8,1,268435456,"float","none",1,1429.684000,187.758593,187.758593,"0"
0,"Broadcast",1,8,8,1,536870912,"float","none",0,2839.246400,189.089229,189.089229,"0"
0,"Broadcast",1,8,8,1,536870912,"float","none",1,2839.667238,189.061206,189.061206,"0"
