numCycle,collective,ranks,rankspernode,gpusperrank,size,type,redop,inplace,time,algbw,busbw,#wrong
0,"Broadcast",1,8,8,1,4096,"float","none",0,17.392925,0.235498,0.235498,"0"
0,"Broadcast",1,8,8,1,4096,"float","none",1,16.260813,0.251894,0.251894,"0"
0,"Broadcast",1,8,8,1,8192,"float","none",0,16.116413,0.508302,0.508302,"0"
0,"Broadcast",1,8,8,1,8192,"float","none",1,14.348194,0.570943,0.570943,"0"
0,"Broadcast",1,8,8,1,16384,"float","none",0,16.880381,0.970594,0.970594,"0"
0,"Broadcast",1,8,8,1,16384,"float","none",1,16.448431,0.996083,0.996083,"0"
0,"Broadcast",1,8,8,1,32768,"float","none",0,17.767869,1.844228,1.844228,"0"
0,"Broadcast",1,8,8,1,32768,"float","none",1,17.218300,1.903091,1.903091,"0"
0,"Broadcast",1,8,8,1,65536,"float","none",0,17.141256,3.823290,3.823290,"0"
0,"Broadcast",1,8,8,1,65536,"float","none",1,16.648594,3.936429,3.936429,"0"
0,"Broadcast",1,8,8,1,131072,"float","none",0,37.545313,3.491035,3.491035,"0"
0,"Broadcast",1,8,8,1,131072,"float","none",1,36.220181,3.618756,3.618756,"0"
0,"Broadcast",1,8,8,1,262144,"float","none",0,49.112719,5.337599,5.337599,"0"
0,"Broadcast",1,8,8,1,262144,"float","none",1,49.899100,5.253482,5.253482,"0"
0,"Broadcast",1,8,8,1,524288,"float","none",0,51.358337,10.208430,10.208430,"0"
0,"Broadcast",1,8,8,1,524288,"float","none",1,51.576050,10.165338,10.165338,"0"
0,"Broadcast",1,8,8,1,1048576,"float","none",0,54.235938,19.333601,19.333601,"0"
0,"Broadcast",1,8,8,1,1048576,"float","none",1,53.970500,19.428688,19.428688,"0"
0,"Broadcast",1,8,8,1,2097152,"float","none",0,55.186744,38.001010,38.001010,"0"
0,"Broadcast",1,8,8,1,2097152,"float","none",1,55.473200,37.804778,37.804778,"0"
0,"Broadcast",1,8,8,1,4194304,"float","none",0,63.592631,65.955818,65.955818,"0"
0,"Broadcast",1,8,8,1,4194304,"float","none",1,63.689412,65.855593,65.855593,"0"
0,"Broadcast",1,8,8,1,8388608,"float","none",0,78.226425,107.234966,107.234966,"0"
0,"Broadcast",1,8,8,1,8388608,"float","none",1,77.634650,108.052371,108.052371,"0"
0,"Broadcast",1,8,8,1,16777216,"float","none",0,102.541688,163.613613,163.613613,"0"
0,"Broadcast",1,8,8,1,16777216,"float","none",1,101.967675,164.534653,164.534653,"0"
0,"Broadcast",1,8,8,1,33554432,"float","none",0,150.951731,222.285837,222.285837,"0"
0,"Broadcast",1,8,8,1,33554432,"float","none",1,150.989356,222.230446,222.230446,"0"
0,"Broadcast",1,8,8,1,67108864,"float","none",0,268.725819,249.729871,249.729871,"0"
0,"Broadcast",1,8,8,1,67108864,"float","none",1,268.481231,249.957376,249.957376,"0"
0,"Broadcast",1,8,8,1,134217728,"float","none",0,443.428831,302.681555,302.681555,"0"
0,"Broadcast",1,8,8,1,134217728,"float","none",1,443.103394,302.903859,302.903859,"0"
0,"Broadcast",1,8,8,1,268435456,"float","none",0,847.981781,316.558046,316.558046,"0"
0,"Broadcast",1,8,8,1,268435456,"float","none",1,847.504125,316.736460,316.736460,"0"
0,"Broadcast",1,8,8,1,536870912,"float","none",0,1527.530194,351.463372,351.463372,"0"
0,"Broadcast",1,8,8,1,536870912,"float","none",1,1526.663137,351.662982,351.662982,"0"
