numCycle,collective,ranks,rankspernode,gpusperrank,size,type,redop,inplace,time,algbw,busbw,#wrong
0,"Broadcast",1,8,8,1,4096,"float","none",0,17.105819,0.239451,0.239451,"0"
0,"Broadcast",1,8,8,1,4096,"float","none",1,13.725275,0.298428,0.298428,"0"
0,"Broadcast",1,8,8,1,8192,"float","none",0,14.149150,0.578975,0.578975,"0"
0,"Broadcast",1,8,8,1,8192,"float","none",1,12.380575,0.661682,0.661682,"0"
0,"Broadcast",1,8,8,1,16384,"float","none",0,17.977981,0.911337,0.911337,"0"
0,"Broadcast",1,8,8,1,16384,"float","none",1,15.059956,1.087918,1.087918,"0"
0,"Broadcast",1,8,8,1,32768,"float","none",0,16.363644,2.002488,2.002488,"0"
0,"Broadcast",1,8,8,1,32768,"float","none",1,16.936512,1.934755,1.934755,"0"
0,"Broadcast",1,8,8,1,65536,"float","none",0,16.740569,3.914801,3.914801,"0"
0,"Broadcast",1,8,8,1,65536,"float","none",1,16.308669,4.018476,4.018476,"0"
0,"Broadcast",1,8,8,1,131072,"float","none",0,38.159581,3.434839,3.434839,"0"
0,"Broadcast",1,8,8,1,131072,"float","none",1,36.239356,3.616841,3.616841,"0"
0,"Broadcast",1,8,8,1,262144,"float","none",0,49.031281,5.346464,5.346464,"0"
0,"Broadcast",1,8,8,1,262144,"float","none",1,49.651844,5.279643,5.279643,"0"
0,"Broadcast",1,8,8,1,524288,"float","none",0,50.888394,10.302703,10.302703,"0"
0,"Broadcast",1,8,8,1,524288,"float","none",1,51.317406,10.216572,10.216572,"0"
0,"Broadcast",1,8,8,1,1048576,"float","none",0,53.744563,19.510364,19.510364,"0"
0,"Broadcast",1,8,8,1,1048576,"float","none",1,53.828838,19.479819,19.479819,"0"
0,"Broadcast",1,8,8,1,2097152,"float","none",0,55.104900,38.057450,38.057450,"0"
0,"Broadcast",1,8,8,1,2097152,"float","none",1,55.498231,37.787727,37.787727,"0"
0,"Broadcast",1,8,8,1,4194304,"float","none",0,63.400863,66.155315,66.155315,"0"
0,"Broadcast",1,8,8,1,4194304,"float","none",1,63.542831,66.007509,66.007509,"0"
0,"Broadcast",1,8,8,1,8388608,"float","none",0,78.252094,107.199790,107.199790,"0"
0,"Broadcast",1,8,8,1,8388608,"float","none",1,77.742869,107.901961,107.901961,"0"
0,"Broadcast",1,8,8,1,16777216,"float","none",0,102.467375,163.732271,163.732271,"0"
0,"Broadcast",1,8,8,1,16777216,"float","none",1,102.114250,164.298479,164.298479,"0"
0,"Broadcast",1,8,8,1,33554432,"float","none",0,150.321856,223.217254,223.217254,"0"
0,"Broadcast",1,8,8,1,33554432,"float","none",1,150.870469,222.405566,222.405566,"0"
0,"Broadcast",1,8,8,1,67108864,"float","none",0,268.073156,250.337874,250.337874,"0"
0,"Broadcast",1,8,8,1,67108864,"float","none",1,267.684494,250.701350,250.701350,"0"
0,"Broadcast",1,8,8,1,134217728,"float","none",0,443.858581,302.388494,302.388494,"0"
0,"Broadcast",1,8,8,1,134217728,"float","none",1,443.376669,302.717165,302.717165,"0"
0,"Broadcast",1,8,8,1,268435456,"float","none",0,847.977494,316.559647,316.559647,"0"
0,"Broadcast",1,8,8,1,268435456,"float","none",1,848.609131,316.324025,316.324025,"0"
0,"Broadcast",1,8,8,1,536870912,"float","none",0,1528.689125,351.196920,351.196920,"0"
0,"Broadcast",1,8,8,1,536870912,"float","none",1,1528.910400,351.146092,351.146092,"0"
