numCycle,collective,ranks,rankspernode,gpusperrank,size,type,redop,inplace,time,algbw,busbw,#wrong
0,"Broadcast",1,8,8,1,4096,"float","none",0,17.820794,0.229844,0.229844,"0"
0,"Broadcast",1,8,8,1,4096,"float","none",1,15.765481,0.259808,0.259808,"0"
0,"Broadcast",1,8,8,1,8192,"float","none",0,13.514100,0.606182,0.606182,"0"
0,"Broadcast",1,8,8,1,8192,"float","none",1,12.780800,0.640961,0.640961,"0"
0,"Broadcast",1,8,8,1,16384,"float","none",0,16.577825,0.988308,0.988308,"0"
0,"Broadcast",1,8,8,1,16384,"float","none",1,15.894919,1.030770,1.030770,"0"
0,"Broadcast",1,8,8,1,32768,"float","none",0,16.244463,2.017180,2.017180,"0"
0,"Broadcast",1,8,8,1,32768,"float","none",1,15.641931,2.094882,2.094882,"0"
0,"Broadcast",1,8,8,1,65536,"float","none",0,17.004362,3.854070,3.854070,"0"
0,"Broadcast",1,8,8,1,65536,"float","none",1,16.359044,4.006102,4.006102,"0"
0,"Broadcast",1,8,8,1,131072,"float","none",0,37.893050,3.458998,3.458998,"0"
0,"Broadcast",1,8,8,1,131072,"float","none",1,36.204013,3.620372,3.620372,"0"
0,"Broadcast",1,8,8,1,262144,"float","none",0,49.263781,5.321232,5.321232,"0"
0,"Broadcast",1,8,8,1,262144,"float","none",1,49.880706,5.255419,5.255419,"0"
0,"Broadcast",1,8,8,1,524288,"float","none",0,51.262669,10.227482,10.227482,"0"
0,"Broadcast",1,8,8,1,524288,"float","none",1,51.574781,10.165588,10.165588,"0"
0,"Broadcast",1,8,8,1,1048576,"float","none",0,53.868063,19.465634,19.465634,"0"
0,"Broadcast",1,8,8,1,1048576,"float","none",1,53.883794,19.459951,19.459951,"0"
0,"Broadcast",1,8,8,1,2097152,"float","none",0,54.949188,38.165296,38.165296,"0"
0,"Broadcast",1,8,8,1,2097152,"float","none",1,55.346019,37.891651,37.891651,"0"
0,"Broadcast",1,8,8,1,4194304,"float","none",0,63.575894,65.973182,65.973182,"0"
0,"Broadcast",1,8,8,1,4194304,"float","none",1,63.664331,65.881537,65.881537,"0"
0,"Broadcast",1,8,8,1,8388608,"float","none",0,78.452256,106.926281,106.926281,"0"
0,"Broadcast",1,8,8,1,8388608,"float","none",1,77.823969,107.789517,107.789517,"0"
0,"Broadcast",1,8,8,1,16777216,"float","none",0,102.743044,163.292963,163.292963,"0"
0,"Broadcast",1,8,8,1,16777216,"float","none",1,102.204100,164.154041,164.154041,"0"
0,"Broadcast",1,8,8,1,33554432,"float","none",0,151.298713,221.776058,221.776058,"0"
0,"Broadcast",1,8,8,1,33554432,"float","none",1,150.658731,222.718137,222.718137,"0"
0,"Broadcast",1,8,8,1,67108864,"float","none",0,268.375594,250.055764,250.055764,"0"
0,"Broadcast",1,8,8,1,67108864,"float","none",1,267.944581,250.458000,250.458000,"0"
0,"Broadcast",1,8,8,1,134217728,"float","none",0,442.957481,303.003637,303.003637,"0"
0,"Broadcast",1,8,8,1,134217728,"float","none",1,443.020644,302.960437,302.960437,"0"
0,"Broadcast",1,8,8,1,268435456,"float","none",0,849.722712,315.909475,315.909475,"0"
0,"Broadcast",1,8,8,1,268435456,"float","none",1,849.262456,316.080682,316.080682,"0"
0,"Broadcast",1,8,8,1,536870912,"float","none",0,1531.605888,350.528107,350.528107,"0"
0,"Broadcast",1,8,8,1,536870912,"float","none",1,1531.714775,350.503188,350.503188,"0"
