numCycle,collective,ranks,rankspernode,gpusperrank,size,type,redop,inplace,time,algbw,busbw,#wrong
0,"Broadcast",1,8,8,1,4096,"float","none",0,16.269344,0.251762,0.251762,"0"
0,"Broadcast",1,8,8,1,4096,"float","none",1,15.371794,0.266462,0.266462,"0"
0,"Broadcast",1,8,8,1,8192,"float","none",0,14.939294,0.548353,0.548353,"0"
0,"Broadcast",1,8,8,1,8192,"float","none",1,14.448731,0.566970,0.566970,"0"
0,"Broadcast",1,8,8,1,16384,"float","none",0,16.446337,0.996210,0.996210,"0"
0,"Broadcast",1,8,8,1,16384,"float","none",1,18.176056,0.901406,0.901406,"0"
0,"Broadcast",1,8,8,1,32768,"float","none",0,17.582925,1.863626,1.863626,"0"
0,"Broadcast",1,8,8,1,32768,"float","none",1,17.100681,1.916181,1.916181,"0"
0,"Broadcast",1,8,8,1,65536,"float","none",0,17.596000,3.724483,3.724483,"0"
0,"Broadcast",1,8,8,1,65536,"float","none",1,16.418731,3.991539,3.991539,"0"
0,"Broadcast",1,8,8,1,131072,"float","none",0,38.970938,3.363327,3.363327,"0"
0,"Broadcast",1,8,8,1,131072,"float","none",1,36.037156,3.637135,3.637135,"0"
0,"Broadcast",1,8,8,1,262144,"float","none",0,49.269206,5.320646,5.320646,"0"
0,"Broadcast",1,8,8,1,262144,"float","none",1,49.658719,5.278912,5.278912,"0"
0,"Broadcast",1,8,8,1,524288,"float","none",0,51.054925,10.269097,10.269097,"0"
0,"Broadcast",1,8,8,1,524288,"float","none",1,51.292050,10.221623,10.221623,"0"
0,"Broadcast",1,8,8,1,1048576,"float","none",0,53.760250,19.504671,19.504671,"0"
0,"Broadcast",1,8,8,1,1048576,"float","none",1,54.042000,19.402983,19.402983,"0"
0,"Broadcast",1,8,8,1,2097152,"float","none",0,55.079313,38.075130,38.075130,"0"
0,"Broadcast",1,8,8,1,2097152,"float","none",1,55.325662,37.905592,37.905592,"0"
0,"Broadcast",1,8,8,1,4194304,"float","none",0,63.568187,65.981180,65.981180,"0"
0,"Broadcast",1,8,8,1,4194304,"float","none",1,63.565237,65.984242,65.984242,"0"
0,"Broadcast",1,8,8,1,8388608,"float","none",0,77.787738,107.839722,107.839722,"0"
0,"Broadcast",1,8,8,1,8388608,"float","none",1,77.322531,108.488533,108.488533,"0"
0,"Broadcast",1,8,8,1,16777216,"float","none",0,102.284938,164.024307,164.024307,"0"
0,"Broadcast",1,8,8,1,16777216,"float","none",1,101.749875,164.886846,164.886846,"0"
0,"Broadcast",1,8,8,1,33554432,"float","none",0,150.699219,222.658301,222.658301,"0"
0,"Broadcast",1,8,8,1,33554432,"float","none",1,150.449356,223.028086,223.028086,"0"
0,"Broadcast",1,8,8,1,67108864,"float","none",0,268.087969,250.324042,250.324042,"0"
0,"Broadcast",1,8,8,1,67108864,"float","none",1,267.521119,250.854453,250.854453,"0"
0,"Broadcast",1,8,8,1,134217728,"float","none",0,443.789875,302.435309,302.435309,"0"
0,"Broadcast",1,8,8,1,134217728,"float","none",1,442.375481,303.402276,303.402276,"0"
0,"Broadcast",1,8,8,1,268435456,"float","none",0,848.806381,316.250516,316.250516,"0"
0,"Broadcast",1,8,8,1,268435456,"float","none",1,848.366950,316.414325,316.414325,"0"
0,"Broadcast",1,8,8,1,536870912,"float","none",0,1527.759294,351.410667,351.410667,"0"
0,"Broadcast",1,8,8,1,536870912,"float","none",1,1528.521569,351.235418,351.235418,"0"
