numCycle,collective,ranks,rankspernode,gpusperrank,size,type,redop,inplace,time,algbw,busbw,#wrong
0,"Broadcast",1,8,8,1,4096,"float","none",0,18.011925,0.227405,0.227405,"0"
0,"Broadcast",1,8,8,1,4096,"float","none",1,15.117806,0.270939,0.270939,"0"
0,"Broadcast",1,8,8,1,8192,"float","none",0,14.294500,0.573088,0.573088,"0"
0,"Broadcast",1,8,8,1,8192,"float","none",1,13.195963,0.620796,0.620796,"0"
0,"Broadcast",1,8,8,1,16384,"float","none",0,15.830038,1.034994,1.034994,"0"
0,"Broadcast",1,8,8,1,16384,"float","none",1,15.322244,1.069295,1.069295,"0"
0,"Broadcast",1,8,8,1,32768,"float","none",0,16.699325,1.962235,1.962235,"0"
0,"Broadcast",1,8,8,1,32768,"float","none",1,16.258806,2.015400,2.015400,"0"
0,"Broadcast",1,8,8,1,65536,"float","none",0,17.003175,3.854339,3.854339,"0"
0,"Broadcast",1,8,8,1,65536,"float","none",1,16.434025,3.987824,3.987824,"0"
0,"Broadcast",1,8,8,1,131072,"float","none",0,36.469694,3.593998,3.593998,"0"
0,"Broadcast",1,8,8,1,131072,"float","none",1,36.393669,3.601506,3.601506,"0"
0,"Broadcast",1,8,8,1,262144,"float","none",0,49.172762,5.331081,5.331081,"0"
0,"Broadcast",1,8,8,1,262144,"float","none",1,49.481531,5.297815,5.297815,"0"
0,"Broadcast",1,8,8,1,524288,"float","none",0,51.154094,10.249189,10.249189,"0"
0,"Broadcast",1,8,8,1,524288,"float","none",1,51.571794,10.166177,10.166177,"0"
0,"Broadcast",1,8,8,1,1048576,"float","none",0,54.366269,19.287253,19.287253,"0"
0,"Broadcast",1,8,8,1,1048576,"float","none",1,53.927875,19.444044,19.444044,"0"
0,"Broadcast",1,8,8,1,2097152,"float","none",0,55.151575,38.025242,38.025242,"0"
0,"Broadcast",1,8,8,1,2097152,"float","none",1,55.269638,37.944016,37.944016,"0"
0,"Broadcast",1,8,8,1,4194304,"float","none",0,63.581350,65.967520,65.967520,"0"
0,"Broadcast",1,8,8,1,4194304,"float","none",1,63.784862,65.757044,65.757044,"0"
0,"Broadcast",1,8,8,1,8388608,"float","none",0,78.068981,107.451229,107.451229,"0"
0,"Broadcast",1,8,8,1,8388608,"float","none",1,77.594131,108.108795,108.108795,"0"
0,"Broadcast",1,8,8,1,16777216,"float","none",0,102.709031,163.347038,163.347038,"0"
0,"Broadcast",1,8,8,1,16777216,"float","none",1,102.067937,164.373029,164.373029,"0"
0,"Broadcast",1,8,8,1,33554432,"float","none",0,150.893144,222.372145,222.372145,"0"
0,"Broadcast",1,8,8,1,33554432,"float","none",1,150.621306,222.773476,222.773476,"0"
0,"Broadcast",1,8,8,1,67108864,"float","none",0,267.987306,250.418070,250.418070,"0"
0,"Broadcast",1,8,8,1,67108864,"float","none",1,267.744244,250.645403,250.645403,"0"
0,"Broadcast",1,8,8,1,134217728,"float","none",0,443.427988,302.682131,302.682131,"0"
0,"Broadcast",1,8,8,1,134217728,"float","none",1,442.630644,303.227375,303.227375,"0"
0,"Broadcast",1,8,8,1,268435456,"float","none",0,848.414400,316.396629,316.396629,"0"
0,"Broadcast",1,8,8,1,268435456,"float","none",1,847.530081,316.726759,316.726759,"0"
0,"Broadcast",1,8,8,1,536870912,"float","none",0,1530.004725,350.894937,350.894937,"0"
0,"Broadcast",1,8,8,1,536870912,"float","none",1,1530.415375,350.800783,350.800783,"0"
