numCycle,collective,ranks,rankspernode,gpusperrank,size,type,redop,inplace,time,algbw,busbw,#wrong
0,"Reduce",1,8,8,1,4096,"float","sum",0,14.123200,0.290019,0.290019,"0"
0,"Reduce",1,8,8,1,4096,"float","sum",1,14.031381,0.291917,0.291917,"0"
0,"Reduce",1,8,8,1,8192,"float","sum",0,12.720919,0.643979,0.643979,"0"
0,"Reduce",1,8,8,1,8192,"float","sum",1,11.453700,0.715227,0.715227,"0"
0,"Reduce",1,8,8,1,16384,"float","sum",0,15.956106,1.026817,1.026817,"0"
0,"Reduce",1,8,8,1,16384,"float","sum",1,15.458788,1.059850,1.059850,"0"
0,"Reduce",1,8,8,1,32768,"float","sum",0,13.740788,2.384725,2.384725,"0"
0,"Reduce",1,8,8,1,32768,"float","sum",1,14.709125,2.227733,2.227733,"0"
0,"Reduce",1,8,8,1,65536,"float","sum",0,17.703762,3.701812,3.701812,"0"
0,"Reduce",1,8,8,1,65536,"float","sum",1,17.586613,3.726471,3.726471,"0"
0,"Reduce",1,8,8,1,131072,"float","sum",0,23.119775,5.669259,5.669259,"0"
0,"Reduce",1,8,8,1,131072,"float","sum",1,21.931638,5.976389,5.976389,"0"
0,"Reduce",1,8,8,1,262144,"float","sum",0,21.082262,12.434339,12.434339,"0"
0,"Reduce",1,8,8,1,262144,"float","sum",1,21.198125,12.366377,12.366377,"0"
0,"Reduce",1,8,8,1,524288,"float","sum",0,52.518963,9.982832,9.982832,"0"
0,"Reduce",1,8,8,1,524288,"float","sum",1,53.534463,9.793467,9.793467,"0"
0,"Reduce",1,8,8,1,1048576,"float","sum",0,55.232613,18.984726,18.984726,"0"
0,"Reduce",1,8,8,1,1048576,"float","sum",1,54.428100,19.265343,19.265343,"0"
0,"Reduce",1,8,8,1,2097152,"float","sum",0,57.152675,36.693856,36.693856,"0"
0,"Reduce",1,8,8,1,2097152,"float","sum",1,56.306488,37.245300,37.245300,"0"
0,"Reduce",1,8,8,1,4194304,"float","sum",0,67.171212,62.441987,62.441987,"0"
0,"Reduce",1,8,8,1,4194304,"float","sum",1,64.290038,65.240341,65.240341,"0"
0,"Reduce",1,8,8,1,8388608,"float","sum",0,83.029975,101.031079,101.031079,"0"
0,"Reduce",1,8,8,1,8388608,"float","sum",1,77.731819,107.917300,107.917300,"0"
0,"Reduce",1,8,8,1,16777216,"float","sum",0,109.903006,152.654751,152.654751,"0"
0,"Reduce",1,8,8,1,16777216,"float","sum",1,103.176213,162.607403,162.607403,"0"
0,"Reduce",1,8,8,1,33554432,"float","sum",0,171.044162,196.174085,196.174085,"0"
0,"Reduce",1,8,8,1,33554432,"float","sum",1,158.712394,211.416583,211.416583,"0"
0,"Reduce",1,8,8,1,67108864,"float","sum",0,299.976606,223.713658,223.713658,"0"
0,"Reduce",1,8,8,1,67108864,"float","sum",1,273.740494,245.155048,245.155048,"0"
0,"Reduce",1,8,8,1,134217728,"float","sum",0,515.005056,260.614389,260.614389,"0"
0,"Reduce",1,8,8,1,134217728,"float","sum",1,472.142119,284.273999,284.273999,"0"
0,"Reduce",1,8,8,1,268435456,"float","sum",0,991.239656,270.807826,270.807826,"0"
0,"Reduce",1,8,8,1,268435456,"float","sum",1,932.252219,287.942952,287.942952,"0"
0,"Reduce",1,8,8,1,536870912,"float","sum",0,1840.044931,291.770545,291.770545,"0"
0,"Reduce",1,8,8,1,536870912,"float","sum",1,1841.804462,291.491808,291.491808,"0"
