numCycle,collective,ranks,rankspernode,gpusperrank,size,type,redop,inplace,time,algbw,busbw,#wrong
0,"Reduce",1,8,8,1,4096,"float","sum",0,16.892312,0.242477,0.242477,"0"
0,"Reduce",1,8,8,1,4096,"float","sum",1,12.162500,0.336773,0.336773,"0"
0,"Reduce",1,8,8,1,8192,"float","sum",0,12.718919,0.644080,0.644080,"0"
0,"Reduce",1,8,8,1,8192,"float","sum",1,12.871406,0.636449,0.636449,"0"
0,"Reduce",1,8,8,1,16384,"float","sum",0,16.151556,1.014391,1.014391,"0"
0,"Reduce",1,8,8,1,16384,"float","sum",1,15.503669,1.056782,1.056782,"0"
0,"Reduce",1,8,8,1,32768,"float","sum",0,15.344813,2.135445,2.135445,"0"
0,"Reduce",1,8,8,1,32768,"float","sum",1,15.267756,2.146222,2.146222,"0"
0,"Reduce",1,8,8,1,65536,"float","sum",0,17.622150,3.718956,3.718956,"0"
0,"Reduce",1,8,8,1,65536,"float","sum",1,17.488612,3.747353,3.747353,"0"
0,"Reduce",1,8,8,1,131072,"float","sum",0,23.965400,5.469218,5.469218,"0"
0,"Reduce",1,8,8,1,131072,"float","sum",1,21.511844,6.093016,6.093016,"0"
0,"Reduce",1,8,8,1,262144,"float","sum",0,21.056763,12.449397,12.449397,"0"
0,"Reduce",1,8,8,1,262144,"float","sum",1,21.173763,12.380605,12.380605,"0"
0,"Reduce",1,8,8,1,524288,"float","sum",0,21.668700,24.195637,24.195637,"0"
0,"Reduce",1,8,8,1,524288,"float","sum",1,21.741588,24.114522,24.114522,"0"
0,"Reduce",1,8,8,1,1048576,"float","sum",0,25.886394,40.506840,40.506840,"0"
0,"Reduce",1,8,8,1,1048576,"float","sum",1,24.706350,42.441559,42.441559,"0"
0,"Reduce",1,8,8,1,2097152,"float","sum",0,26.990238,77.700391,77.700391,"0"
0,"Reduce",1,8,8,1,2097152,"float","sum",1,27.215113,77.058362,77.058362,"0"
0,"Reduce",1,8,8,1,4194304,"float","sum",0,38.965062,107.642686,107.642686,"0"
0,"Reduce",1,8,8,1,4194304,"float","sum",1,38.950375,107.683276,107.683276,"0"
0,"Reduce",1,8,8,1,8388608,"float","sum",0,62.578475,134.049416,134.049416,"0"
0,"Reduce",1,8,8,1,8388608,"float","sum",1,61.683900,135.993476,135.993476,"0"
0,"Reduce",1,8,8,1,16777216,"float","sum",0,105.149794,159.555387,159.555387,"0"
0,"Reduce",1,8,8,1,16777216,"float","sum",1,105.363694,159.231472,159.231472,"0"
0,"Reduce",1,8,8,1,33554432,"float","sum",0,193.645375,173.277735,173.277735,"0"
0,"Reduce",1,8,8,1,33554432,"float","sum",1,194.017606,172.945294,172.945294,"0"
0,"Reduce",1,8,8,1,67108864,"float","sum",0,368.692950,182.018300,182.018300,"0"
0,"Reduce",1,8,8,1,67108864,"float","sum",1,369.083063,181.825911,181.825911,"0"
0,"Reduce",1,8,8,1,134217728,"float","sum",0,715.935425,187.471835,187.471835,"0"
0,"Reduce",1,8,8,1,134217728,"float","sum",1,714.225975,187.920536,187.920536,"0"
0,"Reduce",1,8,8,1,268435456,"float","sum",0,1403.524756,191.258084,191.258084,"0"
0,"Reduce",1,8,8,1,268435456,"float","sum",1,1403.901381,191.206775,191.206775,"0"
0,"Reduce",1,8,8,1,536870912,"float","sum",0,2782.315525,192.958314,192.958314,"0"
0,"Reduce",1,8,8,1,536870912,"float","sum",1,2778.621781,193.214822,193.214822,"0"
