numCycle,collective,ranks,rankspernode,gpusperrank,size,type,redop,inplace,time,algbw,busbw,#wrong
0,"Reduce",1,8,8,1,4096,"float","sum",0,17.903787,0.228778,0.228778,"0"
0,"Reduce",1,8,8,1,4096,"float","sum",1,12.822975,0.319427,0.319427,"0"
0,"Reduce",1,8,8,1,8192,"float","sum",0,14.460219,0.566520,0.566520,"0"
0,"Reduce",1,8,8,1,8192,"float","sum",1,13.836263,0.592067,0.592067,"0"
0,"Reduce",1,8,8,1,16384,"float","sum",0,15.049300,1.088689,1.088689,"0"
0,"Reduce",1,8,8,1,16384,"float","sum",1,14.668238,1.116971,1.116971,"0"
0,"Reduce",1,8,8,1,32768,"float","sum",0,16.916131,1.937086,1.937086,"0"
0,"Reduce",1,8,8,1,32768,"float","sum",1,16.002069,2.047735,2.047735,"0"
0,"Reduce",1,8,8,1,65536,"float","sum",0,17.829494,3.675707,3.675707,"0"
0,"Reduce",1,8,8,1,65536,"float","sum",1,17.364288,3.774183,3.774183,"0"
0,"Reduce",1,8,8,1,131072,"float","sum",0,39.407788,3.326043,3.326043,"0"
0,"Reduce",1,8,8,1,131072,"float","sum",1,37.675744,3.478949,3.478949,"0"
0,"Reduce",1,8,8,1,262144,"float","sum",0,50.860563,5.154170,5.154170,"0"
0,"Reduce",1,8,8,1,262144,"float","sum",1,51.737119,5.066846,5.066846,"0"
0,"Reduce",1,8,8,1,524288,"float","sum",0,53.258019,9.844302,9.844302,"0"
0,"Reduce",1,8,8,1,524288,"float","sum",1,53.044269,9.883971,9.883971,"0"
0,"Reduce",1,8,8,1,1048576,"float","sum",0,54.750538,19.151885,19.151885,"0"
0,"Reduce",1,8,8,1,1048576,"float","sum",1,54.716788,19.163698,19.163698,"0"
0,"Reduce",1,8,8,1,2097152,"float","sum",0,57.358563,36.562144,36.562144,"0"
0,"Reduce",1,8,8,1,2097152,"float","sum",1,56.347975,37.217877,37.217877,"0"
0,"Reduce",1,8,8,1,4194304,"float","sum",0,67.196113,62.418849,62.418849,"0"
0,"Reduce",1,8,8,1,4194304,"float","sum",1,64.228475,65.302874,65.302874,"0"
0,"Reduce",1,8,8,1,8388608,"float","sum",0,83.291100,100.714338,100.714338,"0"
0,"Reduce",1,8,8,1,8388608,"float","sum",1,77.580500,108.127790,108.127790,"0"
0,"Reduce",1,8,8,1,16777216,"float","sum",0,110.208138,152.232098,152.232098,"0"
0,"Reduce",1,8,8,1,16777216,"float","sum",1,103.130850,162.678927,162.678927,"0"
0,"Reduce",1,8,8,1,33554432,"float","sum",0,171.296869,195.884678,195.884678,"0"
0,"Reduce",1,8,8,1,33554432,"float","sum",1,159.235775,210.721692,210.721692,"0"
0,"Reduce",1,8,8,1,67108864,"float","sum",0,300.329131,223.451064,223.451064,"0"
0,"Reduce",1,8,8,1,67108864,"float","sum",1,274.559213,244.424011,244.424011,"0"
0,"Reduce",1,8,8,1,134217728,"float","sum",0,516.486569,259.866831,259.866831,"0"
0,"Reduce",1,8,8,1,134217728,"float","sum",1,473.461544,283.481794,283.481794,"0"
0,"Reduce",1,8,8,1,268435456,"float","sum",0,991.914269,270.623646,270.623646,"0"
0,"Reduce",1,8,8,1,268435456,"float","sum",1,934.493119,287.252469,287.252469,"0"
0,"Reduce",1,8,8,1,536870912,"float","sum",0,1844.219569,291.110083,291.110083,"0"
0,"Reduce",1,8,8,1,536870912,"float","sum",1,1842.686169,291.352332,291.352332,"0"
