numCycle,collective,ranks,rankspernode,gpusperrank,size,type,redop,inplace,time,algbw,busbw,#wrong
0,"Reduce",1,8,8,1,4096,"float","sum",0,15.730656,0.260383,0.260383,"0"
0,"Reduce",1,8,8,1,4096,"float","sum",1,12.797869,0.320053,0.320053,"0"
0,"Reduce",1,8,8,1,8192,"float","sum",0,14.880775,0.550509,0.550509,"0"
0,"Reduce",1,8,8,1,8192,"float","sum",1,13.372800,0.612587,0.612587,"0"
0,"Reduce",1,8,8,1,16384,"float","sum",0,15.362794,1.066473,1.066473,"0"
0,"Reduce",1,8,8,1,16384,"float","sum",1,15.495912,1.057311,1.057311,"0"
0,"Reduce",1,8,8,1,32768,"float","sum",0,16.584069,1.975872,1.975872,"0"
0,"Reduce",1,8,8,1,32768,"float","sum",1,15.942688,2.055362,2.055362,"0"
0,"Reduce",1,8,8,1,65536,"float","sum",0,18.280050,3.585111,3.585111,"0"
0,"Reduce",1,8,8,1,65536,"float","sum",1,17.129313,3.825956,3.825956,"0"
0,"Reduce",1,8,8,1,131072,"float","sum",0,39.429187,3.324238,3.324238,"0"
0,"Reduce",1,8,8,1,131072,"float","sum",1,37.548206,3.490766,3.490766,"0"
0,"Reduce",1,8,8,1,262144,"float","sum",0,50.354450,5.205975,5.205975,"0"
0,"Reduce",1,8,8,1,262144,"float","sum",1,50.839762,5.156279,5.156279,"0"
0,"Reduce",1,8,8,1,524288,"float","sum",0,52.698525,9.948817,9.948817,"0"
0,"Reduce",1,8,8,1,524288,"float","sum",1,52.728331,9.943193,9.943193,"0"
0,"Reduce",1,8,8,1,1048576,"float","sum",0,56.951744,18.411658,18.411658,"0"
0,"Reduce",1,8,8,1,1048576,"float","sum",1,54.793913,19.136724,19.136724,"0"
0,"Reduce",1,8,8,1,2097152,"float","sum",0,57.337863,36.575343,36.575343,"0"
0,"Reduce",1,8,8,1,2097152,"float","sum",1,56.218100,37.303858,37.303858,"0"
0,"Reduce",1,8,8,1,4194304,"float","sum",0,67.377963,62.250383,62.250383,"0"
0,"Reduce",1,8,8,1,4194304,"float","sum",1,63.718025,65.826020,65.826020,"0"
0,"Reduce",1,8,8,1,8388608,"float","sum",0,83.076831,100.974097,100.974097,"0"
0,"Reduce",1,8,8,1,8388608,"float","sum",1,77.609425,108.087491,108.087491,"0"
0,"Reduce",1,8,8,1,16777216,"float","sum",0,109.865256,152.707203,152.707203,"0"
0,"Reduce",1,8,8,1,16777216,"float","sum",1,102.880013,163.075563,163.075563,"0"
0,"Reduce",1,8,8,1,33554432,"float","sum",0,170.766344,196.493239,196.493239,"0"
0,"Reduce",1,8,8,1,33554432,"float","sum",1,158.592588,211.576295,211.576295,"0"
0,"Reduce",1,8,8,1,67108864,"float","sum",0,299.357288,224.176483,224.176483,"0"
0,"Reduce",1,8,8,1,67108864,"float","sum",1,273.743281,245.152552,245.152552,"0"
0,"Reduce",1,8,8,1,134217728,"float","sum",0,515.482963,260.372772,260.372772,"0"
0,"Reduce",1,8,8,1,134217728,"float","sum",1,471.464119,284.682805,284.682805,"0"
0,"Reduce",1,8,8,1,268435456,"float","sum",0,988.783944,271.480395,271.480395,"0"
0,"Reduce",1,8,8,1,268435456,"float","sum",1,932.542063,287.853456,287.853456,"0"
0,"Reduce",1,8,8,1,536870912,"float","sum",0,1843.207919,291.269860,291.269860,"0"
0,"Reduce",1,8,8,1,536870912,"float","sum",1,1843.907919,291.159285,291.159285,"0"
