numCycle,collective,ranks,rankspernode,gpusperrank,size,type,redop,inplace,time,algbw,busbw,#wrong
0,"Reduce",1,8,8,1,4096,"float","sum",0,15.719569,0.260567,0.260567,"0"
0,"Reduce",1,8,8,1,4096,"float","sum",1,12.231181,0.334882,0.334882,"0"
0,"Reduce",1,8,8,1,8192,"float","sum",0,13.458044,0.608707,0.608707,"0"
0,"Reduce",1,8,8,1,8192,"float","sum",1,12.578312,0.651280,0.651280,"0"
0,"Reduce",1,8,8,1,16384,"float","sum",0,18.929188,0.865542,0.865542,"0"
0,"Reduce",1,8,8,1,16384,"float","sum",1,16.486381,0.993790,0.993790,"0"
0,"Reduce",1,8,8,1,32768,"float","sum",0,14.897131,2.199618,2.199618,"0"
0,"Reduce",1,8,8,1,32768,"float","sum",1,16.163269,2.027313,2.027313,"0"
0,"Reduce",1,8,8,1,65536,"float","sum",0,18.654212,3.513201,3.513201,"0"
0,"Reduce",1,8,8,1,65536,"float","sum",1,18.242075,3.592574,3.592574,"0"
0,"Reduce",1,8,8,1,131072,"float","sum",0,39.412881,3.325613,3.325613,"0"
0,"Reduce",1,8,8,1,131072,"float","sum",1,37.471900,3.497874,3.497874,"0"
0,"Reduce",1,8,8,1,262144,"float","sum",0,50.651638,5.175430,5.175430,"0"
0,"Reduce",1,8,8,1,262144,"float","sum",1,51.448888,5.095232,5.095232,"0"
0,"Reduce",1,8,8,1,524288,"float","sum",0,52.623088,9.963079,9.963079,"0"
0,"Reduce",1,8,8,1,524288,"float","sum",1,52.820025,9.925932,9.925932,"0"
0,"Reduce",1,8,8,1,1048576,"float","sum",0,56.003237,18.723489,18.723489,"0"
0,"Reduce",1,8,8,1,1048576,"float","sum",1,54.913863,19.094923,19.094923,"0"
0,"Reduce",1,8,8,1,2097152,"float","sum",0,57.524250,36.456833,36.456833,"0"
0,"Reduce",1,8,8,1,2097152,"float","sum",1,56.558813,37.079138,37.079138,"0"
0,"Reduce",1,8,8,1,4194304,"float","sum",0,67.418775,62.212700,62.212700,"0"
0,"Reduce",1,8,8,1,4194304,"float","sum",1,64.370800,65.158488,65.158488,"0"
0,"Reduce",1,8,8,1,8388608,"float","sum",0,83.270394,100.739382,100.739382,"0"
0,"Reduce",1,8,8,1,8388608,"float","sum",1,77.779638,107.850953,107.850953,"0"
0,"Reduce",1,8,8,1,16777216,"float","sum",0,110.280513,152.132191,152.132191,"0"
0,"Reduce",1,8,8,1,16777216,"float","sum",1,103.026363,162.843913,162.843913,"0"
0,"Reduce",1,8,8,1,33554432,"float","sum",0,171.140219,196.063978,196.063978,"0"
0,"Reduce",1,8,8,1,33554432,"float","sum",1,159.004969,211.027569,211.027569,"0"
0,"Reduce",1,8,8,1,67108864,"float","sum",0,300.183475,223.559488,223.559488,"0"
0,"Reduce",1,8,8,1,67108864,"float","sum",1,274.389344,244.575329,244.575329,"0"
0,"Reduce",1,8,8,1,134217728,"float","sum",0,516.262481,259.979628,259.979628,"0"
0,"Reduce",1,8,8,1,134217728,"float","sum",1,472.526075,284.043009,284.043009,"0"
0,"Reduce",1,8,8,1,268435456,"float","sum",0,991.965819,270.609582,270.609582,"0"
0,"Reduce",1,8,8,1,268435456,"float","sum",1,934.568550,287.229285,287.229285,"0"
0,"Reduce",1,8,8,1,536870912,"float","sum",0,1842.203669,291.428641,291.428641,"0"
0,"Reduce",1,8,8,1,536870912,"float","sum",1,1839.858463,291.800116,291.800116,"0"
