numCycle,collective,ranks,rankspernode,gpusperrank,size,type,redop,inplace,time,algbw,busbw,#wrong
0,"Reduce",1,8,8,1,4096,"float","sum",0,19.756000,0.207329,0.207329,"0"
0,"Reduce",1,8,8,1,4096,"float","sum",1,12.195244,0.335869,0.335869,"0"
0,"Reduce",1,8,8,1,8192,"float","sum",0,14.745194,0.555571,0.555571,"0"
0,"Reduce",1,8,8,1,8192,"float","sum",1,14.033694,0.583738,0.583738,"0"
0,"Reduce",1,8,8,1,16384,"float","sum",0,18.885938,0.867524,0.867524,"0"
0,"Reduce",1,8,8,1,16384,"float","sum",1,17.291744,0.947504,0.947504,"0"
0,"Reduce",1,8,8,1,32768,"float","sum",0,17.466806,1.876016,1.876016,"0"
0,"Reduce",1,8,8,1,32768,"float","sum",1,15.773037,2.077469,2.077469,"0"
0,"Reduce",1,8,8,1,65536,"float","sum",0,18.056550,3.629486,3.629486,"0"
0,"Reduce",1,8,8,1,65536,"float","sum",1,17.707250,3.701083,3.701083,"0"
0,"Reduce",1,8,8,1,131072,"float","sum",0,38.936406,3.366310,3.366310,"0"
0,"Reduce",1,8,8,1,131072,"float","sum",1,37.829519,3.464807,3.464807,"0"
0,"Reduce",1,8,8,1,262144,"float","sum",0,50.488012,5.192203,5.192203,"0"
0,"Reduce",1,8,8,1,262144,"float","sum",1,51.132400,5.126769,5.126769,"0"
0,"Reduce",1,8,8,1,524288,"float","sum",0,53.050663,9.882780,9.882780,"0"
0,"Reduce",1,8,8,1,524288,"float","sum",1,53.316169,9.833565,9.833565,"0"
0,"Reduce",1,8,8,1,1048576,"float","sum",0,55.647363,18.843229,18.843229,"0"
0,"Reduce",1,8,8,1,1048576,"float","sum",1,54.818038,19.128302,19.128302,"0"
0,"Reduce",1,8,8,1,2097152,"float","sum",0,57.720875,36.332644,36.332644,"0"
0,"Reduce",1,8,8,1,2097152,"float","sum",1,56.253125,37.280631,37.280631,"0"
0,"Reduce",1,8,8,1,4194304,"float","sum",0,67.337669,62.287633,62.287633,"0"
0,"Reduce",1,8,8,1,4194304,"float","sum",1,64.308600,65.221510,65.221510,"0"
0,"Reduce",1,8,8,1,8388608,"float","sum",0,83.394300,100.589705,100.589705,"0"
0,"Reduce",1,8,8,1,8388608,"float","sum",1,77.396250,108.385200,108.385200,"0"
0,"Reduce",1,8,8,1,16777216,"float","sum",0,110.018513,152.494481,152.494481,"0"
0,"Reduce",1,8,8,1,16777216,"float","sum",1,103.021725,162.851243,162.851243,"0"
0,"Reduce",1,8,8,1,33554432,"float","sum",0,171.117319,196.090216,196.090216,"0"
0,"Reduce",1,8,8,1,33554432,"float","sum",1,158.669219,211.474111,211.474111,"0"
0,"Reduce",1,8,8,1,67108864,"float","sum",0,300.076513,223.639176,223.639176,"0"
0,"Reduce",1,8,8,1,67108864,"float","sum",1,273.901644,245.010811,245.010811,"0"
0,"Reduce",1,8,8,1,134217728,"float","sum",0,514.862531,260.686533,260.686533,"0"
0,"Reduce",1,8,8,1,134217728,"float","sum",1,471.929231,284.402235,284.402235,"0"
0,"Reduce",1,8,8,1,268435456,"float","sum",0,990.985581,270.877257,270.877257,"0"
0,"Reduce",1,8,8,1,268435456,"float","sum",1,932.310550,287.924937,287.924937,"0"
0,"Reduce",1,8,8,1,536870912,"float","sum",0,1839.203406,291.904044,291.904044,"0"
0,"Reduce",1,8,8,1,536870912,"float","sum",1,1840.199719,291.746003,291.746003,"0"
