numCycle,collective,ranks,rankspernode,gpusperrank,size,type,redop,inplace,time,algbw,busbw,#wrong
0,"Reduce",1,8,8,1,4096,"float","sum",0,16.217081,0.252573,0.252573,"0"
0,"Reduce",1,8,8,1,4096,"float","sum",1,14.710113,0.278448,0.278448,"0"
0,"Reduce",1,8,8,1,8192,"float","sum",0,14.018738,0.584361,0.584361,"0"
0,"Reduce",1,8,8,1,8192,"float","sum",1,12.097300,0.677176,0.677176,"0"
0,"Reduce",1,8,8,1,16384,"float","sum",0,16.220887,1.010056,1.010056,"0"
0,"Reduce",1,8,8,1,16384,"float","sum",1,13.268850,1.234772,1.234772,"0"
0,"Reduce",1,8,8,1,32768,"float","sum",0,16.493069,1.986774,1.986774,"0"
0,"Reduce",1,8,8,1,32768,"float","sum",1,16.184344,2.024673,2.024673,"0"
0,"Reduce",1,8,8,1,65536,"float","sum",0,17.482200,3.748727,3.748727,"0"
0,"Reduce",1,8,8,1,65536,"float","sum",1,17.431781,3.759570,3.759570,"0"
0,"Reduce",1,8,8,1,131072,"float","sum",0,39.820894,3.291538,3.291538,"0"
0,"Reduce",1,8,8,1,131072,"float","sum",1,37.967744,3.452194,3.452194,"0"
0,"Reduce",1,8,8,1,262144,"float","sum",0,50.629638,5.177679,5.177679,"0"
0,"Reduce",1,8,8,1,262144,"float","sum",1,51.529650,5.087246,5.087246,"0"
0,"Reduce",1,8,8,1,524288,"float","sum",0,52.978338,9.896271,9.896271,"0"
0,"Reduce",1,8,8,1,524288,"float","sum",1,52.958100,9.900053,9.900053,"0"
0,"Reduce",1,8,8,1,1048576,"float","sum",0,55.894238,18.760002,18.760002,"0"
0,"Reduce",1,8,8,1,1048576,"float","sum",1,54.943175,19.084736,19.084736,"0"
0,"Reduce",1,8,8,1,2097152,"float","sum",0,57.738319,36.321667,36.321667,"0"
0,"Reduce",1,8,8,1,2097152,"float","sum",1,56.416469,37.172692,37.172692,"0"
0,"Reduce",1,8,8,1,4194304,"float","sum",0,67.368550,62.259081,62.259081,"0"
0,"Reduce",1,8,8,1,4194304,"float","sum",1,64.241425,65.289710,65.289710,"0"
0,"Reduce",1,8,8,1,8388608,"float","sum",0,83.320531,100.678763,100.678763,"0"
0,"Reduce",1,8,8,1,8388608,"float","sum",1,77.569563,108.143036,108.143036,"0"
0,"Reduce",1,8,8,1,16777216,"float","sum",0,110.194638,152.250748,152.250748,"0"
0,"Reduce",1,8,8,1,16777216,"float","sum",1,103.309894,162.396992,162.396992,"0"
0,"Reduce",1,8,8,1,33554432,"float","sum",0,171.241175,195.948387,195.948387,"0"
0,"Reduce",1,8,8,1,33554432,"float","sum",1,159.072287,210.938263,210.938263,"0"
0,"Reduce",1,8,8,1,67108864,"float","sum",0,300.156575,223.579523,223.579523,"0"
0,"Reduce",1,8,8,1,67108864,"float","sum",1,273.982288,244.938695,244.938695,"0"
0,"Reduce",1,8,8,1,134217728,"float","sum",0,515.502412,260.362948,260.362948,"0"
0,"Reduce",1,8,8,1,134217728,"float","sum",1,472.665013,283.959516,283.959516,"0"
0,"Reduce",1,8,8,1,268435456,"float","sum",0,991.515894,270.732378,270.732378,"0"
0,"Reduce",1,8,8,1,268435456,"float","sum",1,933.899675,287.435003,287.435003,"0"
0,"Reduce",1,8,8,1,536870912,"float","sum",0,1843.736806,291.186307,291.186307,"0"
0,"Reduce",1,8,8,1,536870912,"float","sum",1,1841.929450,291.472028,291.472028,"0"
