numCycle,collective,ranks,rankspernode,gpusperrank,size,type,redop,inplace,time,algbw,busbw,#wrong
0,"ReduceScatter",1,8,8,1,4096,"float","sum",0,28.628250,0.143075,0.125191,"0"
0,"ReduceScatter",1,8,8,1,4096,"float","sum",1,26.182350,0.156441,0.136886,"0"
0,"ReduceScatter",1,8,8,1,8192,"float","sum",0,26.371363,0.310640,0.271810,"0"
0,"ReduceScatter",1,8,8,1,8192,"float","sum",1,25.874675,0.316603,0.277028,"0"
0,"ReduceScatter",1,8,8,1,16384,"float","sum",0,28.638688,0.572093,0.500582,"0"
0,"ReduceScatter",1,8,8,1,16384,"float","sum",1,26.892944,0.609230,0.533077,"0"
0,"ReduceScatter",1,8,8,1,32768,"float","sum",0,26.766750,1.224205,1.071180,"0"
0,"ReduceScatter",1,8,8,1,32768,"float","sum",1,25.464800,1.286796,1.125946,"0"
0,"ReduceScatter",1,8,8,1,65536,"float","sum",0,27.716106,2.364546,2.068977,"0"
0,"ReduceScatter",1,8,8,1,65536,"float","sum",1,26.819175,2.443625,2.138172,"0"
0,"ReduceScatter",1,8,8,1,131072,"float","sum",0,30.968825,4.232385,3.703337,"0"
0,"ReduceScatter",1,8,8,1,131072,"float","sum",1,28.628500,4.578375,4.006078,"0"
0,"ReduceScatter",1,8,8,1,262144,"float","sum",0,29.042562,9.026201,7.897926,"0"
0,"ReduceScatter",1,8,8,1,262144,"float","sum",1,28.457875,9.211651,8.060194,"0"
0,"ReduceScatter",1,8,8,1,524288,"float","sum",0,28.448063,18.429656,16.125949,"0"
0,"ReduceScatter",1,8,8,1,524288,"float","sum",1,27.889438,18.798802,16.448951,"0"
0,"ReduceScatter",1,8,8,1,1048576,"float","sum",0,30.015888,34.934033,30.567279,"0"
0,"ReduceScatter",1,8,8,1,1048576,"float","sum",1,29.958188,35.001316,30.626152,"0"
0,"ReduceScatter",1,8,8,1,2097152,"float","sum",0,32.611025,64.308068,56.269559,"0"
0,"ReduceScatter",1,8,8,1,2097152,"float","sum",1,31.535150,66.502046,58.189290,"0"
0,"ReduceScatter",1,8,8,1,4194304,"float","sum",0,40.162013,104.434607,91.380281,"0"
0,"ReduceScatter",1,8,8,1,4194304,"float","sum",1,38.963688,107.646485,94.190674,"0"
0,"ReduceScatter",1,8,8,1,8388608,"float","sum",0,50.785138,165.178405,144.531104,"0"
0,"ReduceScatter",1,8,8,1,8388608,"float","sum",1,49.879387,168.177847,147.155616,"0"
0,"ReduceScatter",1,8,8,1,16777216,"float","sum",0,69.967325,239.786443,209.813138,"0"
0,"ReduceScatter",1,8,8,1,16777216,"float","sum",1,66.436925,252.528485,220.962424,"0"
0,"ReduceScatter",1,8,8,1,33554432,"float","sum",0,110.144537,304.640001,266.560001,"0"
0,"ReduceScatter",1,8,8,1,33554432,"float","sum",1,104.539125,320.974869,280.853011,"0"
0,"ReduceScatter",1,8,8,1,67108864,"float","sum",0,188.900225,355.260900,310.853288,"0"
0,"ReduceScatter",1,8,8,1,67108864,"float","sum",1,178.244413,376.499117,329.436728,"0"
0,"ReduceScatter",1,8,8,1,134217728,"float","sum",0,346.921250,386.882406,338.522106,"0"
0,"ReduceScatter",1,8,8,1,134217728,"float","sum",1,328.148888,409.014728,357.887887,"0"
0,"ReduceScatter",1,8,8,1,268435456,"float","sum",0,670.603375,400.289450,350.253269,"0"
0,"ReduceScatter",1,8,8,1,268435456,"float","sum",1,647.115900,414.818205,362.965929,"0"
0,"ReduceScatter",1,8,8,1,536870912,"float","sum",0,1294.488319,414.736004,362.894003,"0"
0,"ReduceScatter",1,8,8,1,536870912,"float","sum",1,1291.081788,415.830288,363.851502,"0"
