numCycle,collective,ranks,rankspernode,gpusperrank,size,type,redop,inplace,time,algbw,busbw,#wrong
0,"ReduceScatter",1,8,8,1,4096,"float","sum",0,20.707638,0.197801,0.173076,"0"
0,"ReduceScatter",1,8,8,1,4096,"float","sum",1,16.280725,0.251586,0.220138,"0"
0,"ReduceScatter",1,8,8,1,8192,"float","sum",0,17.275738,0.474191,0.414917,"0"
0,"ReduceScatter",1,8,8,1,8192,"float","sum",1,19.026563,0.430556,0.376736,"0"
0,"ReduceScatter",1,8,8,1,16384,"float","sum",0,17.991675,0.910643,0.796813,"0"
0,"ReduceScatter",1,8,8,1,16384,"float","sum",1,18.727563,0.874860,0.765503,"0"
0,"ReduceScatter",1,8,8,1,32768,"float","sum",0,19.512888,1.679300,1.469388,"0"
0,"ReduceScatter",1,8,8,1,32768,"float","sum",1,17.878125,1.832854,1.603748,"0"
0,"ReduceScatter",1,8,8,1,65536,"float","sum",0,18.546238,3.533655,3.091948,"0"
0,"ReduceScatter",1,8,8,1,65536,"float","sum",1,17.767250,3.688584,3.227511,"0"
0,"ReduceScatter",1,8,8,1,131072,"float","sum",0,21.930200,5.976781,5.229683,"0"
0,"ReduceScatter",1,8,8,1,131072,"float","sum",1,20.120313,6.514412,5.700110,"0"
0,"ReduceScatter",1,8,8,1,262144,"float","sum",0,19.759663,13.266623,11.608295,"0"
0,"ReduceScatter",1,8,8,1,262144,"float","sum",1,18.264563,14.352602,12.558527,"0"
0,"ReduceScatter",1,8,8,1,524288,"float","sum",0,18.662688,28.092846,24.581240,"0"
0,"ReduceScatter",1,8,8,1,524288,"float","sum",1,17.816987,29.426299,25.748012,"0"
0,"ReduceScatter",1,8,8,1,1048576,"float","sum",0,27.927406,37.546487,32.853176,"0"
0,"ReduceScatter",1,8,8,1,1048576,"float","sum",1,25.358225,41.350528,36.181712,"0"
0,"ReduceScatter",1,8,8,1,2097152,"float","sum",0,32.331275,64.864500,56.756438,"0"
0,"ReduceScatter",1,8,8,1,2097152,"float","sum",1,31.155138,67.313200,58.899050,"0"
0,"ReduceScatter",1,8,8,1,4194304,"float","sum",0,39.762075,105.485038,92.299408,"0"
0,"ReduceScatter",1,8,8,1,4194304,"float","sum",1,38.527563,108.865024,95.256896,"0"
0,"ReduceScatter",1,8,8,1,8388608,"float","sum",0,51.937587,161.513239,141.324084,"0"
0,"ReduceScatter",1,8,8,1,8388608,"float","sum",1,49.263625,170.279958,148.994963,"0"
0,"ReduceScatter",1,8,8,1,16777216,"float","sum",0,69.129575,242.692306,212.355768,"0"
0,"ReduceScatter",1,8,8,1,16777216,"float","sum",1,66.256863,253.214767,221.562921,"0"
0,"ReduceScatter",1,8,8,1,33554432,"float","sum",0,109.907525,305.296949,267.134830,"0"
0,"ReduceScatter",1,8,8,1,33554432,"float","sum",1,104.042613,322.506627,282.193298,"0"
0,"ReduceScatter",1,8,8,1,67108864,"float","sum",0,188.383100,356.236117,311.706602,"0"
0,"ReduceScatter",1,8,8,1,67108864,"float","sum",1,178.103975,376.795992,329.696493,"0"
0,"ReduceScatter",1,8,8,1,134217728,"float","sum",0,346.558188,387.287713,338.876749,"0"
0,"ReduceScatter",1,8,8,1,134217728,"float","sum",1,328.172763,408.984972,357.861850,"0"
0,"ReduceScatter",1,8,8,1,268435456,"float","sum",0,670.619738,400.279683,350.244723,"0"
0,"ReduceScatter",1,8,8,1,268435456,"float","sum",1,646.598713,415.150001,363.256251,"0"
0,"ReduceScatter",1,8,8,1,536870912,"float","sum",0,1294.941113,414.590986,362.767112,"0"
0,"ReduceScatter",1,8,8,1,536870912,"float","sum",1,1292.264537,415.449698,363.518486,"0"
