numCycle,collective,ranks,rankspernode,gpusperrank,size,type,redop,inplace,time,algbw,busbw,#wrong
0,"ReduceScatter",1,8,8,1,4096,"float","sum",0,19.242875,0.212858,0.186251,"0"
0,"ReduceScatter",1,8,8,1,4096,"float","sum",1,16.003300,0.255947,0.223954,"0"
0,"ReduceScatter",1,8,8,1,8192,"float","sum",0,16.980950,0.482423,0.422120,"0"
0,"ReduceScatter",1,8,8,1,8192,"float","sum",1,15.821038,0.517792,0.453068,"0"
0,"ReduceScatter",1,8,8,1,16384,"float","sum",0,19.565938,0.837374,0.732702,"0"
0,"ReduceScatter",1,8,8,1,16384,"float","sum",1,18.810750,0.870991,0.762117,"0"
0,"ReduceScatter",1,8,8,1,32768,"float","sum",0,18.349050,1.785815,1.562588,"0"
0,"ReduceScatter",1,8,8,1,32768,"float","sum",1,17.477487,1.874869,1.640510,"0"
0,"ReduceScatter",1,8,8,1,65536,"float","sum",0,18.378981,3.565812,3.120086,"0"
0,"ReduceScatter",1,8,8,1,65536,"float","sum",1,17.641238,3.714932,3.250566,"0"
0,"ReduceScatter",1,8,8,1,131072,"float","sum",0,19.898875,6.586905,5.763542,"0"
0,"ReduceScatter",1,8,8,1,131072,"float","sum",1,20.284750,6.461603,5.653903,"0"
0,"ReduceScatter",1,8,8,1,262144,"float","sum",0,19.669125,13.327690,11.661729,"0"
0,"ReduceScatter",1,8,8,1,262144,"float","sum",1,17.664238,14.840380,12.985333,"0"
0,"ReduceScatter",1,8,8,1,524288,"float","sum",0,19.319875,27.137236,23.745081,"0"
0,"ReduceScatter",1,8,8,1,524288,"float","sum",1,17.705237,29.612029,25.910525,"0"
0,"ReduceScatter",1,8,8,1,1048576,"float","sum",0,27.809313,37.705930,32.992689,"0"
0,"ReduceScatter",1,8,8,1,1048576,"float","sum",1,26.228738,39.978135,34.980868,"0"
0,"ReduceScatter",1,8,8,1,2097152,"float","sum",0,31.725388,66.103275,57.840365,"0"
0,"ReduceScatter",1,8,8,1,2097152,"float","sum",1,30.971950,67.711332,59.247416,"0"
0,"ReduceScatter",1,8,8,1,4194304,"float","sum",0,44.775238,93.674634,81.965305,"0"
0,"ReduceScatter",1,8,8,1,4194304,"float","sum",1,43.933100,95.470249,83.536468,"0"
0,"ReduceScatter",1,8,8,1,8388608,"float","sum",0,82.644037,101.502882,88.815022,"0"
0,"ReduceScatter",1,8,8,1,8388608,"float","sum",1,81.553600,102.860058,90.002550,"0"
0,"ReduceScatter",1,8,8,1,16777216,"float","sum",0,145.956263,114.946873,100.578514,"0"
0,"ReduceScatter",1,8,8,1,16777216,"float","sum",1,146.156263,114.789580,100.440883,"0"
0,"ReduceScatter",1,8,8,1,33554432,"float","sum",0,275.208850,121.923521,106.683081,"0"
0,"ReduceScatter",1,8,8,1,33554432,"float","sum",1,278.715188,120.389679,105.340969,"0"
0,"ReduceScatter",1,8,8,1,67108864,"float","sum",0,542.097013,123.794934,108.320567,"0"
0,"ReduceScatter",1,8,8,1,67108864,"float","sum",1,552.930063,121.369534,106.198342,"0"
0,"ReduceScatter",1,8,8,1,134217728,"float","sum",0,1065.016562,126.024076,110.271066,"0"
0,"ReduceScatter",1,8,8,1,134217728,"float","sum",1,1086.593356,123.521580,108.081382,"0"
0,"ReduceScatter",1,8,8,1,268435456,"float","sum",0,2138.296188,125.537078,109.844944,"0"
0,"ReduceScatter",1,8,8,1,268435456,"float","sum",1,2164.875994,123.995765,108.496295,"0"
0,"ReduceScatter",1,8,8,1,536870912,"float","sum",0,4303.449163,124.753632,109.159428,"0"
0,"ReduceScatter",1,8,8,1,536870912,"float","sum",1,4303.311906,124.757611,109.162909,"0"
