numCycle,collective,ranks,rankspernode,gpusperrank,size,type,redop,inplace,time,algbw,busbw,#wrong
0,"ReduceScatter",1,8,8,1,4096,"float","sum",0,27.400738,0.149485,0.130799,"0"
0,"ReduceScatter",1,8,8,1,4096,"float","sum",1,26.053950,0.157212,0.137561,"0"
0,"ReduceScatter",1,8,8,1,8192,"float","sum",0,26.218006,0.312457,0.273400,"0"
0,"ReduceScatter",1,8,8,1,8192,"float","sum",1,25.488163,0.321404,0.281229,"0"
0,"ReduceScatter",1,8,8,1,16384,"float","sum",0,28.414438,0.576608,0.504532,"0"
0,"ReduceScatter",1,8,8,1,16384,"float","sum",1,26.469050,0.618987,0.541614,"0"
0,"ReduceScatter",1,8,8,1,32768,"float","sum",0,26.212225,1.250104,1.093841,"0"
0,"ReduceScatter",1,8,8,1,32768,"float","sum",1,25.192788,1.300690,1.138104,"0"
0,"ReduceScatter",1,8,8,1,65536,"float","sum",0,27.224925,2.407206,2.106305,"0"
0,"ReduceScatter",1,8,8,1,65536,"float","sum",1,26.370913,2.485162,2.174517,"0"
0,"ReduceScatter",1,8,8,1,131072,"float","sum",0,30.986138,4.230021,3.701268,"0"
0,"ReduceScatter",1,8,8,1,131072,"float","sum",1,28.078375,4.668076,4.084567,"0"
0,"ReduceScatter",1,8,8,1,262144,"float","sum",0,28.804125,9.100919,7.963304,"0"
0,"ReduceScatter",1,8,8,1,262144,"float","sum",1,28.098438,9.329487,8.163301,"0"
0,"ReduceScatter",1,8,8,1,524288,"float","sum",0,28.189175,18.598913,16.274048,"0"
0,"ReduceScatter",1,8,8,1,524288,"float","sum",1,27.894112,18.795651,16.446195,"0"
0,"ReduceScatter",1,8,8,1,1048576,"float","sum",0,32.092588,32.673464,28.589281,"0"
0,"ReduceScatter",1,8,8,1,1048576,"float","sum",1,29.511250,35.531399,31.089974,"0"
0,"ReduceScatter",1,8,8,1,2097152,"float","sum",0,32.213463,65.101726,56.964010,"0"
0,"ReduceScatter",1,8,8,1,2097152,"float","sum",1,31.050638,67.539741,59.097273,"0"
0,"ReduceScatter",1,8,8,1,4194304,"float","sum",0,39.856575,105.234933,92.080566,"0"
0,"ReduceScatter",1,8,8,1,4194304,"float","sum",1,38.811188,108.069458,94.560776,"0"
0,"ReduceScatter",1,8,8,1,8388608,"float","sum",0,51.117638,164.103985,143.590987,"0"
0,"ReduceScatter",1,8,8,1,8388608,"float","sum",1,49.659775,168.921587,147.806389,"0"
0,"ReduceScatter",1,8,8,1,16777216,"float","sum",0,69.673944,240.796130,210.696614,"0"
0,"ReduceScatter",1,8,8,1,16777216,"float","sum",1,66.289363,253.090622,221.454294,"0"
0,"ReduceScatter",1,8,8,1,33554432,"float","sum",0,109.449338,306.575012,268.253136,"0"
0,"ReduceScatter",1,8,8,1,33554432,"float","sum",1,104.132363,322.228664,281.950081,"0"
0,"ReduceScatter",1,8,8,1,67108864,"float","sum",0,188.704550,355.629284,311.175623,"0"
0,"ReduceScatter",1,8,8,1,67108864,"float","sum",1,177.861975,377.308663,330.145080,"0"
0,"ReduceScatter",1,8,8,1,134217728,"float","sum",0,346.531950,387.317037,338.902407,"0"
0,"ReduceScatter",1,8,8,1,134217728,"float","sum",1,327.887387,409.340930,358.173313,"0"
0,"ReduceScatter",1,8,8,1,268435456,"float","sum",0,670.288113,400.477721,350.418006,"0"
0,"ReduceScatter",1,8,8,1,268435456,"float","sum",1,647.469225,414.591838,362.767858,"0"
0,"ReduceScatter",1,8,8,1,536870912,"float","sum",0,1296.317512,414.150782,362.381935,"0"
0,"ReduceScatter",1,8,8,1,536870912,"float","sum",1,1294.795187,414.637710,362.807997,"0"
