numCycle,collective,ranks,rankspernode,gpusperrank,size,type,redop,inplace,time,algbw,busbw,#wrong
0,"ReduceScatter",1,8,8,1,4096,"float","sum",0,27.413175,0.149417,0.130740,"0"
0,"ReduceScatter",1,8,8,1,4096,"float","sum",1,26.019300,0.157422,0.137744,"0"
0,"ReduceScatter",1,8,8,1,8192,"float","sum",0,26.236050,0.312242,0.273212,"0"
0,"ReduceScatter",1,8,8,1,8192,"float","sum",1,25.599475,0.320007,0.280006,"0"
0,"ReduceScatter",1,8,8,1,16384,"float","sum",0,28.307625,0.578784,0.506436,"0"
0,"ReduceScatter",1,8,8,1,16384,"float","sum",1,25.658475,0.638541,0.558724,"0"
0,"ReduceScatter",1,8,8,1,32768,"float","sum",0,26.278663,1.246943,1.091075,"0"
0,"ReduceScatter",1,8,8,1,32768,"float","sum",1,25.189725,1.300848,1.138242,"0"
0,"ReduceScatter",1,8,8,1,65536,"float","sum",0,27.093550,2.418878,2.116519,"0"
0,"ReduceScatter",1,8,8,1,65536,"float","sum",1,26.292988,2.492528,2.180962,"0"
0,"ReduceScatter",1,8,8,1,131072,"float","sum",0,30.793469,4.256487,3.724426,"0"
0,"ReduceScatter",1,8,8,1,131072,"float","sum",1,27.939438,4.691290,4.104879,"0"
0,"ReduceScatter",1,8,8,1,262144,"float","sum",0,28.911812,9.067021,7.933643,"0"
0,"ReduceScatter",1,8,8,1,262144,"float","sum",1,28.063737,9.341022,8.173395,"0"
0,"ReduceScatter",1,8,8,1,524288,"float","sum",0,28.029050,18.705165,16.367019,"0"
0,"ReduceScatter",1,8,8,1,524288,"float","sum",1,27.492238,19.070401,16.686601,"0"
0,"ReduceScatter",1,8,8,1,1048576,"float","sum",0,31.635462,33.145588,29.002389,"0"
0,"ReduceScatter",1,8,8,1,1048576,"float","sum",1,29.202500,35.907063,31.418680,"0"
0,"ReduceScatter",1,8,8,1,2097152,"float","sum",0,32.177650,65.174181,57.027409,"0"
0,"ReduceScatter",1,8,8,1,2097152,"float","sum",1,31.320638,66.957513,58.587824,"0"
0,"ReduceScatter",1,8,8,1,4194304,"float","sum",0,39.676825,105.711684,92.497724,"0"
0,"ReduceScatter",1,8,8,1,4194304,"float","sum",1,38.618563,108.608496,95.032434,"0"
0,"ReduceScatter",1,8,8,1,8388608,"float","sum",0,50.911262,164.769200,144.173050,"0"
0,"ReduceScatter",1,8,8,1,8388608,"float","sum",1,49.203063,170.489550,149.178357,"0"
0,"ReduceScatter",1,8,8,1,16777216,"float","sum",0,69.578719,241.125682,210.984972,"0"
0,"ReduceScatter",1,8,8,1,16777216,"float","sum",1,66.321063,252.969650,221.348444,"0"
0,"ReduceScatter",1,8,8,1,33554432,"float","sum",0,109.786650,305.633080,267.428945,"0"
0,"ReduceScatter",1,8,8,1,33554432,"float","sum",1,103.927237,322.864658,282.506576,"0"
0,"ReduceScatter",1,8,8,1,67108864,"float","sum",0,188.770863,355.504357,311.066312,"0"
0,"ReduceScatter",1,8,8,1,67108864,"float","sum",1,178.088400,376.828946,329.725327,"0"
0,"ReduceScatter",1,8,8,1,134217728,"float","sum",0,346.721963,387.104777,338.716680,"0"
0,"ReduceScatter",1,8,8,1,134217728,"float","sum",1,328.148450,409.015273,357.888364,"0"
0,"ReduceScatter",1,8,8,1,268435456,"float","sum",0,670.180688,400.541915,350.474176,"0"
0,"ReduceScatter",1,8,8,1,268435456,"float","sum",1,647.216963,414.753431,362.909252,"0"
0,"ReduceScatter",1,8,8,1,536870912,"float","sum",0,1296.025188,414.244196,362.463672,"0"
0,"ReduceScatter",1,8,8,1,536870912,"float","sum",1,1293.192719,415.151512,363.257573,"0"
