numCycle,collective,ranks,rankspernode,gpusperrank,size,type,redop,inplace,time,algbw,busbw,#wrong
0,"ReduceScatter",1,8,8,1,4096,"float","sum",0,27.600125,0.148405,0.129854,"0"
0,"ReduceScatter",1,8,8,1,4096,"float","sum",1,26.565950,0.154182,0.134910,"0"
0,"ReduceScatter",1,8,8,1,8192,"float","sum",0,26.334488,0.311075,0.272191,"0"
0,"ReduceScatter",1,8,8,1,8192,"float","sum",1,25.879988,0.316538,0.276971,"0"
0,"ReduceScatter",1,8,8,1,16384,"float","sum",0,28.386875,0.577168,0.505022,"0"
0,"ReduceScatter",1,8,8,1,16384,"float","sum",1,26.961050,0.607691,0.531730,"0"
0,"ReduceScatter",1,8,8,1,32768,"float","sum",0,26.556488,1.233898,1.079661,"0"
0,"ReduceScatter",1,8,8,1,32768,"float","sum",1,25.456663,1.287207,1.126306,"0"
0,"ReduceScatter",1,8,8,1,65536,"float","sum",0,27.718313,2.364357,2.068813,"0"
0,"ReduceScatter",1,8,8,1,65536,"float","sum",1,26.914800,2.434943,2.130575,"0"
0,"ReduceScatter",1,8,8,1,131072,"float","sum",0,29.221000,4.485541,3.924849,"0"
0,"ReduceScatter",1,8,8,1,131072,"float","sum",1,28.672563,4.571339,3.999922,"0"
0,"ReduceScatter",1,8,8,1,262144,"float","sum",0,28.861638,9.082783,7.947435,"0"
0,"ReduceScatter",1,8,8,1,262144,"float","sum",1,28.522488,9.190783,8.041935,"0"
0,"ReduceScatter",1,8,8,1,524288,"float","sum",0,28.364812,18.483746,16.173278,"0"
0,"ReduceScatter",1,8,8,1,524288,"float","sum",1,27.775113,18.876179,16.516657,"0"
0,"ReduceScatter",1,8,8,1,1048576,"float","sum",0,31.820088,32.953272,28.834113,"0"
0,"ReduceScatter",1,8,8,1,1048576,"float","sum",1,29.646688,35.369078,30.947943,"0"
0,"ReduceScatter",1,8,8,1,2097152,"float","sum",0,32.555525,64.417699,56.365486,"0"
0,"ReduceScatter",1,8,8,1,2097152,"float","sum",1,31.337806,66.920830,58.555726,"0"
0,"ReduceScatter",1,8,8,1,4194304,"float","sum",0,39.871456,105.195656,92.046199,"0"
0,"ReduceScatter",1,8,8,1,4194304,"float","sum",1,39.062450,107.374320,93.952530,"0"
0,"ReduceScatter",1,8,8,1,8388608,"float","sum",0,52.771275,158.961632,139.091428,"0"
0,"ReduceScatter",1,8,8,1,8388608,"float","sum",1,49.574375,169.212582,148.061009,"0"
0,"ReduceScatter",1,8,8,1,16777216,"float","sum",0,69.909263,239.985596,209.987396,"0"
0,"ReduceScatter",1,8,8,1,16777216,"float","sum",1,66.524862,252.194674,220.670340,"0"
0,"ReduceScatter",1,8,8,1,33554432,"float","sum",0,109.972900,305.115460,266.976028,"0"
0,"ReduceScatter",1,8,8,1,33554432,"float","sum",1,104.173938,322.100065,281.837557,"0"
0,"ReduceScatter",1,8,8,1,67108864,"float","sum",0,188.619600,355.789451,311.315770,"0"
0,"ReduceScatter",1,8,8,1,67108864,"float","sum",1,178.077038,376.852990,329.746366,"0"
0,"ReduceScatter",1,8,8,1,134217728,"float","sum",0,346.844575,386.967932,338.596941,"0"
0,"ReduceScatter",1,8,8,1,134217728,"float","sum",1,327.968388,409.239833,358.084854,"0"
0,"ReduceScatter",1,8,8,1,268435456,"float","sum",0,670.074063,400.605651,350.529945,"0"
0,"ReduceScatter",1,8,8,1,268435456,"float","sum",1,647.046463,414.862721,363.004881,"0"
0,"ReduceScatter",1,8,8,1,536870912,"float","sum",0,1296.551262,414.076117,362.316602,"0"
0,"ReduceScatter",1,8,8,1,536870912,"float","sum",1,1294.397194,414.765201,362.919551,"0"
