numCycle,collective,ranks,rankspernode,gpusperrank,size,type,redop,inplace,time,algbw,busbw,#wrong
0,"ReduceScatter",1,8,8,1,4096,"float","sum",0,27.672069,0.148019,0.129517,"0"
0,"ReduceScatter",1,8,8,1,4096,"float","sum",1,25.985825,0.157624,0.137921,"0"
0,"ReduceScatter",1,8,8,1,8192,"float","sum",0,26.167675,0.313058,0.273926,"0"
0,"ReduceScatter",1,8,8,1,8192,"float","sum",1,25.301413,0.323776,0.283304,"0"
0,"ReduceScatter",1,8,8,1,16384,"float","sum",0,28.340300,0.578117,0.505852,"0"
0,"ReduceScatter",1,8,8,1,16384,"float","sum",1,25.898175,0.632631,0.553553,"0"
0,"ReduceScatter",1,8,8,1,32768,"float","sum",0,25.958113,1.262341,1.104549,"0"
0,"ReduceScatter",1,8,8,1,32768,"float","sum",1,25.013162,1.310030,1.146276,"0"
0,"ReduceScatter",1,8,8,1,65536,"float","sum",0,27.276250,2.402676,2.102342,"0"
0,"ReduceScatter",1,8,8,1,65536,"float","sum",1,26.271738,2.494544,2.182726,"0"
0,"ReduceScatter",1,8,8,1,131072,"float","sum",0,28.756250,4.558035,3.988281,"0"
0,"ReduceScatter",1,8,8,1,131072,"float","sum",1,28.139675,4.657907,4.075669,"0"
0,"ReduceScatter",1,8,8,1,262144,"float","sum",0,28.601250,9.165474,8.019789,"0"
0,"ReduceScatter",1,8,8,1,262144,"float","sum",1,28.123188,9.321276,8.156117,"0"
0,"ReduceScatter",1,8,8,1,524288,"float","sum",0,28.091500,18.663582,16.330634,"0"
0,"ReduceScatter",1,8,8,1,524288,"float","sum",1,27.478487,19.079944,16.694951,"0"
0,"ReduceScatter",1,8,8,1,1048576,"float","sum",0,29.971325,34.985974,30.612727,"0"
0,"ReduceScatter",1,8,8,1,1048576,"float","sum",1,29.988500,34.965937,30.595195,"0"
0,"ReduceScatter",1,8,8,1,2097152,"float","sum",0,32.181150,65.167093,57.021207,"0"
0,"ReduceScatter",1,8,8,1,2097152,"float","sum",1,31.011200,67.625632,59.172428,"0"
0,"ReduceScatter",1,8,8,1,4194304,"float","sum",0,40.080825,104.646149,91.565381,"0"
0,"ReduceScatter",1,8,8,1,4194304,"float","sum",1,38.662137,108.486087,94.925326,"0"
0,"ReduceScatter",1,8,8,1,8388608,"float","sum",0,51.162138,163.961250,143.466093,"0"
0,"ReduceScatter",1,8,8,1,8388608,"float","sum",1,49.471825,169.563342,148.367925,"0"
0,"ReduceScatter",1,8,8,1,16777216,"float","sum",0,69.648325,240.884702,210.774114,"0"
0,"ReduceScatter",1,8,8,1,16777216,"float","sum",1,66.286875,253.100120,221.462605,"0"
0,"ReduceScatter",1,8,8,1,33554432,"float","sum",0,109.913650,305.279936,267.119944,"0"
0,"ReduceScatter",1,8,8,1,33554432,"float","sum",1,104.292237,321.734702,281.517865,"0"
0,"ReduceScatter",1,8,8,1,67108864,"float","sum",0,188.784600,355.478487,311.043676,"0"
0,"ReduceScatter",1,8,8,1,67108864,"float","sum",1,178.026225,376.960552,329.840483,"0"
0,"ReduceScatter",1,8,8,1,134217728,"float","sum",0,346.741825,387.082602,338.697277,"0"
0,"ReduceScatter",1,8,8,1,134217728,"float","sum",1,328.106575,409.067474,357.934040,"0"
0,"ReduceScatter",1,8,8,1,268435456,"float","sum",0,670.228750,400.513192,350.449043,"0"
0,"ReduceScatter",1,8,8,1,268435456,"float","sum",1,646.721838,415.070963,363.187093,"0"
0,"ReduceScatter",1,8,8,1,536870912,"float","sum",0,1296.106575,414.218184,362.440911,"0"
0,"ReduceScatter",1,8,8,1,536870912,"float","sum",1,1293.034363,415.202355,363.302060,"0"
