numCycle,collective,ranks,rankspernode,gpusperrank,size,type,redop,inplace,time,algbw,busbw,#wrong
0,"ReduceScatter",1,8,8,1,4096,"float","sum",0,27.902925,0.146795,0.128445,"0"
0,"ReduceScatter",1,8,8,1,4096,"float","sum",1,26.279250,0.155864,0.136381,"0"
0,"ReduceScatter",1,8,8,1,8192,"float","sum",0,26.576863,0.308238,0.269708,"0"
0,"ReduceScatter",1,8,8,1,8192,"float","sum",1,25.828163,0.317173,0.277527,"0"
0,"ReduceScatter",1,8,8,1,16384,"float","sum",0,29.166625,0.561738,0.491521,"0"
0,"ReduceScatter",1,8,8,1,16384,"float","sum",1,25.286788,0.647927,0.566936,"0"
0,"ReduceScatter",1,8,8,1,32768,"float","sum",0,26.661550,1.229036,1.075406,"0"
0,"ReduceScatter",1,8,8,1,32768,"float","sum",1,25.475550,1.286253,1.125471,"0"
0,"ReduceScatter",1,8,8,1,65536,"float","sum",0,27.449006,2.387555,2.089110,"0"
0,"ReduceScatter",1,8,8,1,65536,"float","sum",1,26.599612,2.463795,2.155821,"0"
0,"ReduceScatter",1,8,8,1,131072,"float","sum",0,28.735138,4.561384,3.991211,"0"
0,"ReduceScatter",1,8,8,1,131072,"float","sum",1,27.981488,4.684240,4.098710,"0"
0,"ReduceScatter",1,8,8,1,262144,"float","sum",0,28.791000,9.105068,7.966934,"0"
0,"ReduceScatter",1,8,8,1,262144,"float","sum",1,28.303875,9.261771,8.104049,"0"
0,"ReduceScatter",1,8,8,1,524288,"float","sum",0,28.540750,18.369805,16.073579,"0"
0,"ReduceScatter",1,8,8,1,524288,"float","sum",1,27.891925,18.797125,16.447484,"0"
0,"ReduceScatter",1,8,8,1,1048576,"float","sum",0,32.175962,32.588800,28.515200,"0"
0,"ReduceScatter",1,8,8,1,1048576,"float","sum",1,29.602763,35.421559,30.993864,"0"
0,"ReduceScatter",1,8,8,1,2097152,"float","sum",0,32.588463,64.352591,56.308517,"0"
0,"ReduceScatter",1,8,8,1,2097152,"float","sum",1,32.138338,65.253904,57.097166,"0"
0,"ReduceScatter",1,8,8,1,4194304,"float","sum",0,40.089575,104.623309,91.545396,"0"
0,"ReduceScatter",1,8,8,1,4194304,"float","sum",1,39.084888,107.312679,93.898594,"0"
0,"ReduceScatter",1,8,8,1,8388608,"float","sum",0,51.055013,164.305278,143.767118,"0"
0,"ReduceScatter",1,8,8,1,8388608,"float","sum",1,49.758575,168.586178,147.512906,"0"
0,"ReduceScatter",1,8,8,1,16777216,"float","sum",0,69.815525,240.307811,210.269335,"0"
0,"ReduceScatter",1,8,8,1,16777216,"float","sum",1,66.378550,252.750565,221.156744,"0"
0,"ReduceScatter",1,8,8,1,33554432,"float","sum",0,110.077900,304.824420,266.721367,"0"
0,"ReduceScatter",1,8,8,1,33554432,"float","sum",1,104.373363,321.484632,281.299053,"0"
0,"ReduceScatter",1,8,8,1,67108864,"float","sum",0,188.672362,355.689954,311.228710,"0"
0,"ReduceScatter",1,8,8,1,67108864,"float","sum",1,178.088437,376.828866,329.725258,"0"
0,"ReduceScatter",1,8,8,1,134217728,"float","sum",0,347.470575,386.270774,337.986927,"0"
0,"ReduceScatter",1,8,8,1,134217728,"float","sum",1,328.153638,409.008808,357.882707,"0"
0,"ReduceScatter",1,8,8,1,268435456,"float","sum",0,670.110613,400.583801,350.510826,"0"
0,"ReduceScatter",1,8,8,1,268435456,"float","sum",1,646.657525,415.112244,363.223213,"0"
0,"ReduceScatter",1,8,8,1,536870912,"float","sum",0,1295.838188,414.303975,362.515978,"0"
0,"ReduceScatter",1,8,8,1,536870912,"float","sum",1,1293.891988,414.927148,363.061254,"0"
