numCycle,collective,ranks,rankspernode,gpusperrank,size,type,redop,inplace,time,algbw,busbw,#wrong
0,"AllGather",1,16,16,1,4096,"float","none",0,38.964378,0.105122,0.098552,"0"
0,"AllGather",1,16,16,1,4096,"float","none",1,37.545872,0.109093,0.102275,"0"
0,"AllGather",1,16,16,1,8192,"float","none",0,37.565391,0.218073,0.204444,"0"
0,"AllGather",1,16,16,1,8192,"float","none",1,38.112984,0.214940,0.201506,"0"
0,"AllGather",1,16,16,1,16384,"float","none",0,41.934309,0.390706,0.366287,"0"
0,"AllGather",1,16,16,1,16384,"float","none",1,43.182806,0.379410,0.355697,"0"
0,"AllGather",1,16,16,1,32768,"float","none",0,43.147438,0.759443,0.711977,"0"
0,"AllGather",1,16,16,1,32768,"float","none",1,38.009556,0.862099,0.808218,"0"
0,"AllGather",1,16,16,1,65536,"float","none",0,38.431197,1.705281,1.598701,"0"
0,"AllGather",1,16,16,1,65536,"float","none",1,39.065475,1.677594,1.572744,"0"
0,"AllGather",1,16,16,1,131072,"float","none",0,112.034356,1.169927,1.096806,"0"
0,"AllGather",1,16,16,1,131072,"float","none",1,43.723631,2.997738,2.810380,"0"
0,"AllGather",1,16,16,1,262144,"float","none",0,40.077981,6.540848,6.132045,"0"
0,"AllGather",1,16,16,1,262144,"float","none",1,39.819191,6.583358,6.171898,"0"
0,"AllGather",1,16,16,1,524288,"float","none",0,48.053756,10.910448,10.228545,"0"
0,"AllGather",1,16,16,1,524288,"float","none",1,43.956506,11.927427,11.181962,"0"
0,"AllGather",1,16,16,1,1048576,"float","none",0,55.032191,19.053866,17.863000,"0"
0,"AllGather",1,16,16,1,1048576,"float","none",1,55.031666,19.054048,17.863170,"0"
0,"AllGather",1,16,16,1,2097152,"float","none",0,65.772913,31.884737,29.891941,"0"
0,"AllGather",1,16,16,1,2097152,"float","none",1,66.798109,31.395380,29.433168,"0"
0,"AllGather",1,16,16,1,4194304,"float","none",0,97.242181,43.132558,40.436773,"0"
0,"AllGather",1,16,16,1,4194304,"float","none",1,176.042638,23.825501,22.336407,"0"
0,"AllGather",1,16,16,1,8388608,"float","none",0,195.497159,42.909104,40.227285,"0"
0,"AllGather",1,16,16,1,8388608,"float","none",1,193.573178,43.335591,40.627116,"0"
0,"AllGather",1,16,16,1,16777216,"float","none",0,443.332041,37.843455,35.478239,"0"
0,"AllGather",1,16,16,1,16777216,"float","none",1,429.497759,39.062406,36.621006,"0"
0,"AllGather",1,16,16,1,33554432,"float","none",0,803.617716,41.754221,39.144583,"0"
0,"AllGather",1,16,16,1,33554432,"float","none",1,790.001528,42.473882,39.819265,"0"
0,"AllGather",1,16,16,1,67108864,"float","none",0,1560.821784,42.995853,40.308612,"0"
0,"AllGather",1,16,16,1,67108864,"float","none",1,1555.841575,43.133482,40.437639,"0"
0,"AllGather",1,16,16,1,134217728,"float","none",0,2957.795625,45.377621,42.541519,"0"
0,"AllGather",1,16,16,1,134217728,"float","none",1,2966.283931,45.247768,42.419783,"0"
0,"AllGather",1,16,16,1,268435456,"float","none",0,5888.481978,45.586529,42.737371,"0"
0,"AllGather",1,16,16,1,268435456,"float","none",1,5892.176816,45.557943,42.710572,"0"
0,"AllGather",1,16,16,1,536870912,"float","none",0,11800.938825,45.493915,42.650546,"0"
0,"AllGather",1,16,16,1,536870912,"float","none",1,11658.354303,46.050317,43.172172,"0"
