numCycle,collective,ranks,rankspernode,gpusperrank,size,type,redop,inplace,time,algbw,busbw,#wrong
0,"AllGather",1,16,16,1,4096,"float","none",0,5229.741241,0.000783,0.000734,"0"
0,"AllGather",1,16,16,1,4096,"float","none",1,4350.032291,0.000942,0.000883,"0"
0,"AllGather",1,16,16,1,8192,"float","none",0,2686.658822,0.003049,0.002859,"0"
0,"AllGather",1,16,16,1,8192,"float","none",1,5132.391813,0.001596,0.001496,"0"
0,"AllGather",1,16,16,1,16384,"float","none",0,3641.875819,0.004499,0.004218,"0"
0,"AllGather",1,16,16,1,16384,"float","none",1,7035.288631,0.002329,0.002183,"0"
0,"AllGather",1,16,16,1,32768,"float","none",0,5773.682069,0.005675,0.005321,"0"
0,"AllGather",1,16,16,1,32768,"float","none",1,5931.057963,0.005525,0.005180,"0"
0,"AllGather",1,16,16,1,65536,"float","none",0,8109.756622,0.008081,0.007576,"0"
0,"AllGather",1,16,16,1,65536,"float","none",1,6654.192575,0.009849,0.009233,"0"
0,"AllGather",1,16,16,1,131072,"float","none",0,7749.212763,0.016914,0.015857,"0"
0,"AllGather",1,16,16,1,131072,"float","none",1,5950.608106,0.022027,0.020650,"0"
0,"AllGather",1,16,16,1,262144,"float","none",0,5326.405228,0.049216,0.046140,"0"
0,"AllGather",1,16,16,1,262144,"float","none",1,7202.507766,0.036396,0.034121,"0"
0,"AllGather",1,16,16,1,524288,"float","none",0,6762.565378,0.077528,0.072682,"0"
0,"AllGather",1,16,16,1,524288,"float","none",1,6680.976919,0.078475,0.073570,"0"
0,"AllGather",1,16,16,1,1048576,"float","none",0,7345.104694,0.142758,0.133836,"0"
0,"AllGather",1,16,16,1,1048576,"float","none",1,5527.623222,0.189697,0.177841,"0"
0,"AllGather",1,16,16,1,2097152,"float","none",0,6126.358113,0.342316,0.320921,"0"
0,"AllGather",1,16,16,1,2097152,"float","none",1,5985.546841,0.350369,0.328471,"0"
0,"AllGather",1,16,16,1,4194304,"float","none",0,5629.337213,0.745080,0.698512,"0"
0,"AllGather",1,16,16,1,4194304,"float","none",1,6177.379294,0.678978,0.636542,"0"
0,"AllGather",1,16,16,1,8388608,"float","none",0,24851.388825,0.337551,0.316454,"0"
0,"AllGather",1,16,16,1,8388608,"float","none",1,25944.270547,0.323332,0.303124,"0"
0,"AllGather",1,16,16,1,16777216,"float","none",0,23099.002484,0.726318,0.680923,"0"
0,"AllGather",1,16,16,1,16777216,"float","none",1,26739.222644,0.627438,0.588224,"0"
0,"AllGather",1,16,16,1,33554432,"float","none",0,28069.545597,1.195403,1.120691,"0"
0,"AllGather",1,16,16,1,33554432,"float","none",1,29941.480988,1.120667,1.050625,"0"
0,"AllGather",1,16,16,1,67108864,"float","none",0,28717.873175,2.336833,2.190781,"0"
0,"AllGather",1,16,16,1,67108864,"float","none",1,21682.226847,3.095109,2.901665,"0"
0,"AllGather",1,16,16,1,134217728,"float","none",0,45297.732722,2.963012,2.777824,"0"
0,"AllGather",1,16,16,1,134217728,"float","none",1,17825.575809,7.529503,7.058909,"0"
0,"AllGather",1,16,16,1,268435456,"float","none",0,814.026397,329.762594,309.152432,"0"
0,"AllGather",1,16,16,1,268435456,"float","none",1,807.815322,332.298050,311.529422,"0"
0,"AllGather",1,16,16,1,536870912,"float","none",0,1581.548794,339.458962,318.242777,"0"
0,"AllGather",1,16,16,1,536870912,"float","none",1,1579.544903,339.889617,318.646516,"0"
