numCycle,collective,ranks,rankspernode,gpusperrank,size,type,redop,inplace,time,algbw,busbw,#wrong
0,"AllGather",1,16,16,1,4096,"float","none",0,39.625941,0.103367,0.096906,"0"
0,"AllGather",1,16,16,1,4096,"float","none",1,41.362059,0.099028,0.092839,"0"
0,"AllGather",1,16,16,1,8192,"float","none",0,39.906869,0.205278,0.192448,"0"
0,"AllGather",1,16,16,1,8192,"float","none",1,38.843997,0.210895,0.197714,"0"
0,"AllGather",1,16,16,1,16384,"float","none",0,41.477706,0.395007,0.370319,"0"
0,"AllGather",1,16,16,1,16384,"float","none",1,37.664984,0.434993,0.407806,"0"
0,"AllGather",1,16,16,1,32768,"float","none",0,41.850078,0.782985,0.734049,"0"
0,"AllGather",1,16,16,1,32768,"float","none",1,37.794275,0.867010,0.812822,"0"
0,"AllGather",1,16,16,1,65536,"float","none",0,42.357000,1.547230,1.450528,"0"
0,"AllGather",1,16,16,1,65536,"float","none",1,38.513322,1.701645,1.595292,"0"
0,"AllGather",1,16,16,1,131072,"float","none",0,43.483922,3.014264,2.825872,"0"
0,"AllGather",1,16,16,1,131072,"float","none",1,39.166975,3.346493,3.137337,"0"
0,"AllGather",1,16,16,1,262144,"float","none",0,43.472875,6.030059,5.653180,"0"
0,"AllGather",1,16,16,1,262144,"float","none",1,40.179138,6.524381,6.116607,"0"
0,"AllGather",1,16,16,1,524288,"float","none",0,47.676066,10.996881,10.309576,"0"
0,"AllGather",1,16,16,1,524288,"float","none",1,43.865412,11.952196,11.205184,"0"
0,"AllGather",1,16,16,1,1048576,"float","none",0,59.356928,17.665604,16.561504,"0"
0,"AllGather",1,16,16,1,1048576,"float","none",1,54.945972,19.083765,17.891029,"0"
0,"AllGather",1,16,16,1,2097152,"float","none",0,66.387006,31.589796,29.615434,"0"
0,"AllGather",1,16,16,1,2097152,"float","none",1,66.863972,31.364454,29.404176,"0"
0,"AllGather",1,16,16,1,4194304,"float","none",0,92.058544,45.561268,42.713689,"0"
0,"AllGather",1,16,16,1,4194304,"float","none",1,91.862822,45.658340,42.804694,"0"
0,"AllGather",1,16,16,1,8388608,"float","none",0,235.567494,35.610210,33.384572,"0"
0,"AllGather",1,16,16,1,8388608,"float","none",1,239.947663,34.960157,32.775147,"0"
0,"AllGather",1,16,16,1,16777216,"float","none",0,277.911006,60.369023,56.595959,"0"
0,"AllGather",1,16,16,1,16777216,"float","none",1,263.231344,63.735632,59.752155,"0"
0,"AllGather",1,16,16,1,33554432,"float","none",0,305.338575,109.892541,103.024258,"0"
0,"AllGather",1,16,16,1,33554432,"float","none",1,301.041663,111.461091,104.494772,"0"
0,"AllGather",1,16,16,1,67108864,"float","none",0,320.244300,209.555218,196.458017,"0"
0,"AllGather",1,16,16,1,67108864,"float","none",1,318.648163,210.604899,197.442093,"0"
0,"AllGather",1,16,16,1,134217728,"float","none",0,420.104625,319.486433,299.518531,"0"
0,"AllGather",1,16,16,1,134217728,"float","none",1,474.126431,283.084256,265.391490,"0"
0,"AllGather",1,16,16,1,268435456,"float","none",0,1162.980294,230.816857,216.390803,"0"
0,"AllGather",1,16,16,1,268435456,"float","none",1,694.043025,386.770627,362.597463,"0"
0,"AllGather",1,16,16,1,536870912,"float","none",0,1360.543844,394.600229,369.937714,"0"
0,"AllGather",1,16,16,1,536870912,"float","none",1,1355.210628,396.153115,371.393545,"0"
