numCycle,collective,ranks,rankspernode,gpusperrank,size,type,redop,inplace,time,algbw,busbw,#wrong
0,"AllGather",1,16,16,1,4096,"float","none",0,43.134866,0.094958,0.089023,"0"
0,"AllGather",1,16,16,1,4096,"float","none",1,37.586713,0.108975,0.102164,"0"
0,"AllGather",1,16,16,1,8192,"float","none",0,39.682281,0.206440,0.193537,"0"
0,"AllGather",1,16,16,1,8192,"float","none",1,39.355584,0.208153,0.195144,"0"
0,"AllGather",1,16,16,1,16384,"float","none",0,51.524381,0.317985,0.298111,"0"
0,"AllGather",1,16,16,1,16384,"float","none",1,76.150025,0.215154,0.201707,"0"
0,"AllGather",1,16,16,1,32768,"float","none",0,41.754519,0.784777,0.735729,"0"
0,"AllGather",1,16,16,1,32768,"float","none",1,38.062469,0.860901,0.807094,"0"
0,"AllGather",1,16,16,1,65536,"float","none",0,42.315300,1.548754,1.451957,"0"
0,"AllGather",1,16,16,1,65536,"float","none",1,38.172563,1.716835,1.609533,"0"
0,"AllGather",1,16,16,1,131072,"float","none",0,42.702338,3.069434,2.877594,"0"
0,"AllGather",1,16,16,1,131072,"float","none",1,39.545931,3.314424,3.107273,"0"
0,"AllGather",1,16,16,1,262144,"float","none",0,44.737131,5.859652,5.493423,"0"
0,"AllGather",1,16,16,1,262144,"float","none",1,40.403006,6.488230,6.082716,"0"
0,"AllGather",1,16,16,1,524288,"float","none",0,47.995812,10.923620,10.240893,"0"
0,"AllGather",1,16,16,1,524288,"float","none",1,44.293109,11.836785,11.096986,"0"
0,"AllGather",1,16,16,1,1048576,"float","none",0,56.412747,18.587572,17.425849,"0"
0,"AllGather",1,16,16,1,1048576,"float","none",1,55.142463,19.015763,17.827278,"0"
0,"AllGather",1,16,16,1,2097152,"float","none",0,69.815278,30.038583,28.161171,"0"
0,"AllGather",1,16,16,1,2097152,"float","none",1,68.782000,30.489837,28.584223,"0"
0,"AllGather",1,16,16,1,4194304,"float","none",0,97.174297,43.162689,40.465021,"0"
0,"AllGather",1,16,16,1,4194304,"float","none",1,91.028388,46.076879,43.197074,"0"
0,"AllGather",1,16,16,1,8388608,"float","none",0,238.372100,35.191233,32.991780,"0"
0,"AllGather",1,16,16,1,8388608,"float","none",1,233.677384,35.898245,33.654605,"0"
0,"AllGather",1,16,16,1,16777216,"float","none",0,272.260897,61.621835,57.770470,"0"
0,"AllGather",1,16,16,1,16777216,"float","none",1,263.051766,63.779142,59.792946,"0"
0,"AllGather",1,16,16,1,33554432,"float","none",0,307.493756,109.122320,102.302175,"0"
0,"AllGather",1,16,16,1,33554432,"float","none",1,302.318856,110.990206,104.053318,"0"
0,"AllGather",1,16,16,1,67108864,"float","none",0,324.087553,207.070168,194.128282,"0"
0,"AllGather",1,16,16,1,67108864,"float","none",1,322.498053,208.090757,195.085085,"0"
0,"AllGather",1,16,16,1,134217728,"float","none",0,409.885797,327.451522,306.985802,"0"
0,"AllGather",1,16,16,1,134217728,"float","none",1,406.941209,329.820930,309.207122,"0"
0,"AllGather",1,16,16,1,268435456,"float","none",0,697.722522,384.730960,360.685275,"0"
0,"AllGather",1,16,16,1,268435456,"float","none",1,694.070400,386.755372,362.583162,"0"
0,"AllGather",1,16,16,1,536870912,"float","none",0,1363.647856,393.702017,369.095641,"0"
0,"AllGather",1,16,16,1,536870912,"float","none",1,1358.424481,395.215869,370.514877,"0"
