numCycle,collective,ranks,rankspernode,gpusperrank,size,type,redop,inplace,time,algbw,busbw,#wrong
0,"AllReduce",1,16,16,1,4096,"float","sum",0,19348.753122,0.000212,0.000397,"0"
0,"AllReduce",1,16,16,1,4096,"float","sum",1,18889.514872,0.000217,0.000407,"0"
0,"AllReduce",1,16,16,1,8192,"float","sum",0,21456.072997,0.000382,0.000716,"0"
0,"AllReduce",1,16,16,1,8192,"float","sum",1,23032.622766,0.000356,0.000667,"0"
0,"AllReduce",1,16,16,1,16384,"float","sum",0,27294.411028,0.000600,0.001126,"0"
0,"AllReduce",1,16,16,1,16384,"float","sum",1,20861.860037,0.000785,0.001473,"0"
0,"AllReduce",1,16,16,1,32768,"float","sum",0,41.033075,0.798575,1.497329,"0"
0,"AllReduce",1,16,16,1,32768,"float","sum",1,39.935722,0.820519,1.538472,"0"
0,"AllReduce",1,16,16,1,65536,"float","sum",0,44.170469,1.483706,2.781949,"0"
0,"AllReduce",1,16,16,1,65536,"float","sum",1,42.616778,1.537798,2.883371,"0"
0,"AllReduce",1,16,16,1,131072,"float","sum",0,50.928713,2.573637,4.825569,"0"
0,"AllReduce",1,16,16,1,131072,"float","sum",1,49.395444,2.653524,4.975358,"0"
0,"AllReduce",1,16,16,1,262144,"float","sum",0,56.718472,4.621845,8.665960,"0"
0,"AllReduce",1,16,16,1,262144,"float","sum",1,58.516828,4.479805,8.399635,"0"
0,"AllReduce",1,16,16,1,524288,"float","sum",0,58.675306,8.935411,16.753896,"0"
0,"AllReduce",1,16,16,1,524288,"float","sum",1,58.641150,8.940616,16.763655,"0"
0,"AllReduce",1,16,16,1,1048576,"float","sum",0,65.163731,16.091405,30.171385,"0"
0,"AllReduce",1,16,16,1,1048576,"float","sum",1,65.185056,16.086141,30.161514,"0"
0,"AllReduce",1,16,16,1,2097152,"float","sum",0,72.011313,29.122535,54.604754,"0"
0,"AllReduce",1,16,16,1,2097152,"float","sum",1,71.771781,29.219729,54.786992,"0"
0,"AllReduce",1,16,16,1,4194304,"float","sum",0,89.587072,46.818184,87.784095,"0"
0,"AllReduce",1,16,16,1,4194304,"float","sum",1,84.514728,49.628084,93.052657,"0"
0,"AllReduce",1,16,16,1,8388608,"float","sum",0,111.835741,75.008293,140.640549,"0"
0,"AllReduce",1,16,16,1,8388608,"float","sum",1,111.162825,75.462350,141.491906,"0"
0,"AllReduce",1,16,16,1,16777216,"float","sum",0,162.514500,103.235194,193.565989,"0"
0,"AllReduce",1,16,16,1,16777216,"float","sum",1,161.586613,103.828007,194.677514,"0"
0,"AllReduce",1,16,16,1,33554432,"float","sum",0,280.568456,119.594456,224.239606,"0"
0,"AllReduce",1,16,16,1,33554432,"float","sum",1,296.220653,113.275127,212.390862,"0"
0,"AllReduce",1,16,16,1,67108864,"float","sum",0,430.567719,155.861346,292.240023,"0"
0,"AllReduce",1,16,16,1,67108864,"float","sum",1,430.391988,155.924985,292.359346,"0"
0,"AllReduce",1,16,16,1,134217728,"float","sum",0,786.533506,170.644641,319.958702,"0"
0,"AllReduce",1,16,16,1,134217728,"float","sum",1,776.728850,172.798690,323.997544,"0"
0,"AllReduce",1,16,16,1,268435456,"float","sum",0,1345.742291,199.470179,374.006586,"0"
0,"AllReduce",1,16,16,1,268435456,"float","sum",1,1345.510859,199.504489,374.070916,"0"
0,"AllReduce",1,16,16,1,536870912,"float","sum",0,2654.679672,202.235666,379.191874,"0"
0,"AllReduce",1,16,16,1,536870912,"float","sum",1,2657.642991,202.010170,378.769069,"0"
