numCycle,collective,ranks,rankspernode,gpusperrank,size,type,redop,inplace,time,algbw,busbw,#wrong
0,"AllReduce",1,16,16,1,4096,"float","sum",0,72.405884,0.056570,0.106069,"0"
0,"AllReduce",1,16,16,1,4096,"float","sum",1,71.127591,0.057587,0.107975,"0"
0,"AllReduce",1,16,16,1,8192,"float","sum",0,73.514913,0.111433,0.208937,"0"
0,"AllReduce",1,16,16,1,8192,"float","sum",1,71.523231,0.114536,0.214755,"0"
0,"AllReduce",1,16,16,1,16384,"float","sum",0,72.755575,0.225192,0.422236,"0"
0,"AllReduce",1,16,16,1,16384,"float","sum",1,71.330381,0.229692,0.430672,"0"
0,"AllReduce",1,16,16,1,32768,"float","sum",0,76.644275,0.427534,0.801625,"0"
0,"AllReduce",1,16,16,1,32768,"float","sum",1,72.550156,0.451660,0.846862,"0"
0,"AllReduce",1,16,16,1,65536,"float","sum",0,76.709825,0.854336,1.601881,"0"
0,"AllReduce",1,16,16,1,65536,"float","sum",1,73.144650,0.895978,1.679959,"0"
0,"AllReduce",1,16,16,1,131072,"float","sum",0,78.340647,1.673103,3.137069,"0"
0,"AllReduce",1,16,16,1,131072,"float","sum",1,74.320719,1.763600,3.306750,"0"
0,"AllReduce",1,16,16,1,262144,"float","sum",0,81.689369,3.209034,6.016940,"0"
0,"AllReduce",1,16,16,1,262144,"float","sum",1,81.254937,3.226192,6.049109,"0"
0,"AllReduce",1,16,16,1,524288,"float","sum",0,118.750238,4.415048,8.278215,"0"
0,"AllReduce",1,16,16,1,524288,"float","sum",1,113.330728,4.626177,8.674082,"0"
0,"AllReduce",1,16,16,1,1048576,"float","sum",0,201.495709,5.203962,9.757429,"0"
0,"AllReduce",1,16,16,1,1048576,"float","sum",1,194.558356,5.389519,10.105349,"0"
0,"AllReduce",1,16,16,1,2097152,"float","sum",0,313.275319,6.694278,12.551771,"0"
0,"AllReduce",1,16,16,1,2097152,"float","sum",1,312.929853,6.701668,12.565628,"0"
0,"AllReduce",1,16,16,1,4194304,"float","sum",0,390.301916,10.746306,20.149325,"0"
0,"AllReduce",1,16,16,1,4194304,"float","sum",1,390.920975,10.729289,20.117416,"0"
0,"AllReduce",1,16,16,1,8388608,"float","sum",0,490.015806,17.119056,32.098230,"0"
0,"AllReduce",1,16,16,1,8388608,"float","sum",1,486.927044,17.227649,32.301841,"0"
0,"AllReduce",1,16,16,1,16777216,"float","sum",0,928.641778,18.066402,33.874504,"0"
0,"AllReduce",1,16,16,1,16777216,"float","sum",1,925.197938,18.133650,34.000595,"0"
0,"AllReduce",1,16,16,1,33554432,"float","sum",0,1583.150747,21.194717,39.740094,"0"
0,"AllReduce",1,16,16,1,33554432,"float","sum",1,1584.082719,21.182247,39.716714,"0"
0,"AllReduce",1,16,16,1,67108864,"float","sum",0,3087.561813,21.735229,40.753555,"0"
0,"AllReduce",1,16,16,1,67108864,"float","sum",1,3096.283388,21.674006,40.638761,"0"
0,"AllReduce",1,16,16,1,134217728,"float","sum",0,5936.061888,22.610568,42.394814,"0"
0,"AllReduce",1,16,16,1,134217728,"float","sum",1,5920.363916,22.670520,42.507225,"0"
0,"AllReduce",1,16,16,1,268435456,"float","sum",0,11808.634622,22.732133,42.622750,"0"
0,"AllReduce",1,16,16,1,268435456,"float","sum",1,11822.495259,22.705482,42.572779,"0"
0,"AllReduce",1,16,16,1,536870912,"float","sum",0,23427.231634,22.916532,42.968498,"0"
0,"AllReduce",1,16,16,1,536870912,"float","sum",1,23402.142156,22.941101,43.014565,"0"
