numCycle,collective,ranks,rankspernode,gpusperrank,size,type,redop,inplace,time,algbw,busbw,#wrong
0,"AllReduce",1,16,16,1,4096,"float","sum",0,253.376519,0.016166,0.030311,"0"
0,"AllReduce",1,16,16,1,4096,"float","sum",1,251.714134,0.016272,0.030511,"0"
0,"AllReduce",1,16,16,1,8192,"float","sum",0,257.814297,0.031775,0.059578,"0"
0,"AllReduce",1,16,16,1,8192,"float","sum",1,252.521775,0.032441,0.060826,"0"
0,"AllReduce",1,16,16,1,16384,"float","sum",0,259.877272,0.063045,0.118210,"0"
0,"AllReduce",1,16,16,1,16384,"float","sum",1,252.615350,0.064857,0.121608,"0"
0,"AllReduce",1,16,16,1,32768,"float","sum",0,258.113097,0.126952,0.238035,"0"
0,"AllReduce",1,16,16,1,32768,"float","sum",1,254.044209,0.128985,0.241848,"0"
0,"AllReduce",1,16,16,1,65536,"float","sum",0,265.934081,0.246437,0.462069,"0"
0,"AllReduce",1,16,16,1,65536,"float","sum",1,260.189975,0.251877,0.472270,"0"
0,"AllReduce",1,16,16,1,131072,"float","sum",0,261.522309,0.501189,0.939729,"0"
0,"AllReduce",1,16,16,1,131072,"float","sum",1,260.701209,0.502767,0.942688,"0"
0,"AllReduce",1,16,16,1,262144,"float","sum",0,279.024175,0.939503,1.761568,"0"
0,"AllReduce",1,16,16,1,262144,"float","sum",1,278.161744,0.942416,1.767029,"0"
0,"AllReduce",1,16,16,1,524288,"float","sum",0,310.314634,1.689537,3.167882,"0"
0,"AllReduce",1,16,16,1,524288,"float","sum",1,310.430284,1.688907,3.166701,"0"
0,"AllReduce",1,16,16,1,1048576,"float","sum",0,409.636584,2.559771,4.799571,"0"
0,"AllReduce",1,16,16,1,1048576,"float","sum",1,405.288919,2.587231,4.851058,"0"
0,"AllReduce",1,16,16,1,2097152,"float","sum",0,510.880912,4.104972,7.696823,"0"
0,"AllReduce",1,16,16,1,2097152,"float","sum",1,505.093563,4.152007,7.785013,"0"
0,"AllReduce",1,16,16,1,4194304,"float","sum",0,540.031934,7.766770,14.562694,"0"
0,"AllReduce",1,16,16,1,4194304,"float","sum",1,541.227638,7.749612,14.530522,"0"
0,"AllReduce",1,16,16,1,8388608,"float","sum",0,543.092300,15.446008,28.961265,"0"
0,"AllReduce",1,16,16,1,8388608,"float","sum",1,544.584550,15.403683,28.881906,"0"
0,"AllReduce",1,16,16,1,16777216,"float","sum",0,561.569128,29.875602,56.016755,"0"
0,"AllReduce",1,16,16,1,16777216,"float","sum",1,558.947044,30.015752,56.279536,"0"
0,"AllReduce",1,16,16,1,33554432,"float","sum",0,583.051872,57.549651,107.905596,"0"
0,"AllReduce",1,16,16,1,33554432,"float","sum",1,582.435959,57.610509,108.019704,"0"
0,"AllReduce",1,16,16,1,67108864,"float","sum",0,618.303338,108.537121,203.507101,"0"
0,"AllReduce",1,16,16,1,67108864,"float","sum",1,618.421894,108.516313,203.468088,"0"
0,"AllReduce",1,16,16,1,134217728,"float","sum",0,781.468234,171.750715,322.032591,"0"
0,"AllReduce",1,16,16,1,134217728,"float","sum",1,778.985734,172.298056,323.058856,"0"
0,"AllReduce",1,16,16,1,268435456,"float","sum",0,1349.672263,198.889363,372.917555,"0"
0,"AllReduce",1,16,16,1,268435456,"float","sum",1,1345.635109,199.486067,374.036376,"0"
0,"AllReduce",1,16,16,1,536870912,"float","sum",0,2656.290784,202.113005,378.961884,"0"
0,"AllReduce",1,16,16,1,536870912,"float","sum",1,2657.996288,201.983319,378.718723,"0"
