numCycle,collective,ranks,rankspernode,gpusperrank,size,type,redop,inplace,time,algbw,busbw,#wrong
0,"AllReduce",1,16,16,1,4096,"float","sum",0,39.406588,0.103942,0.194891,"0"
0,"AllReduce",1,16,16,1,4096,"float","sum",1,38.345400,0.106819,0.200285,"0"
0,"AllReduce",1,16,16,1,8192,"float","sum",0,41.269391,0.198501,0.372189,"0"
0,"AllReduce",1,16,16,1,8192,"float","sum",1,39.092606,0.209554,0.392913,"0"
0,"AllReduce",1,16,16,1,16384,"float","sum",0,41.284200,0.396859,0.744110,"0"
0,"AllReduce",1,16,16,1,16384,"float","sum",1,38.972209,0.420402,0.788254,"0"
0,"AllReduce",1,16,16,1,32768,"float","sum",0,43.869537,0.746942,1.400516,"0"
0,"AllReduce",1,16,16,1,32768,"float","sum",1,40.167944,0.815775,1.529578,"0"
0,"AllReduce",1,16,16,1,65536,"float","sum",0,44.378600,1.476748,2.768902,"0"
0,"AllReduce",1,16,16,1,65536,"float","sum",1,42.338119,1.547920,2.902349,"0"
0,"AllReduce",1,16,16,1,131072,"float","sum",0,51.397269,2.550174,4.781577,"0"
0,"AllReduce",1,16,16,1,131072,"float","sum",1,49.090025,2.670033,5.006312,"0"
0,"AllReduce",1,16,16,1,262144,"float","sum",0,56.524969,4.637667,8.695626,"0"
0,"AllReduce",1,16,16,1,262144,"float","sum",1,56.609084,4.630776,8.682705,"0"
0,"AllReduce",1,16,16,1,524288,"float","sum",0,77.532250,6.762193,12.679111,"0"
0,"AllReduce",1,16,16,1,524288,"float","sum",1,73.319700,7.150711,13.407584,"0"
0,"AllReduce",1,16,16,1,1048576,"float","sum",0,95.471656,10.983113,20.593337,"0"
0,"AllReduce",1,16,16,1,1048576,"float","sum",1,94.491244,11.097071,20.807007,"0"
0,"AllReduce",1,16,16,1,2097152,"float","sum",0,122.833469,17.073132,32.012122,"0"
0,"AllReduce",1,16,16,1,2097152,"float","sum",1,119.697441,17.520441,32.850828,"0"
0,"AllReduce",1,16,16,1,4194304,"float","sum",0,172.108134,24.370167,45.694063,"0"
0,"AllReduce",1,16,16,1,4194304,"float","sum",1,165.634309,25.322676,47.480018,"0"
0,"AllReduce",1,16,16,1,8388608,"float","sum",0,285.683872,29.363254,55.056101,"0"
0,"AllReduce",1,16,16,1,8388608,"float","sum",1,285.580875,29.373844,55.075957,"0"
0,"AllReduce",1,16,16,1,16777216,"float","sum",0,501.182187,33.475284,62.766157,"0"
0,"AllReduce",1,16,16,1,16777216,"float","sum",1,502.085681,33.415046,62.653211,"0"
0,"AllReduce",1,16,16,1,33554432,"float","sum",0,956.210244,35.091061,65.795739,"0"
0,"AllReduce",1,16,16,1,33554432,"float","sum",1,953.258872,35.199706,65.999449,"0"
0,"AllReduce",1,16,16,1,67108864,"float","sum",0,1839.000400,36.492033,68.422563,"0"
0,"AllReduce",1,16,16,1,67108864,"float","sum",1,1841.306084,36.446338,68.336884,"0"
0,"AllReduce",1,16,16,1,134217728,"float","sum",0,3622.324725,37.052925,69.474235,"0"
0,"AllReduce",1,16,16,1,134217728,"float","sum",1,3615.777263,37.120021,69.600039,"0"
0,"AllReduce",1,16,16,1,268435456,"float","sum",0,7207.542041,37.243689,69.831917,"0"
0,"AllReduce",1,16,16,1,268435456,"float","sum",1,7192.317969,37.322523,69.979731,"0"
0,"AllReduce",1,16,16,1,536870912,"float","sum",0,13275.160956,40.441763,75.828305,"0"
0,"AllReduce",1,16,16,1,536870912,"float","sum",1,13241.107763,40.545770,76.023319,"0"
