numCycle,collective,ranks,rankspernode,gpusperrank,size,type,redop,inplace,time,algbw,busbw,#wrong
0,"AllReduce",1,16,16,1,4096,"float","sum",0,45.725406,0.089578,0.167959,"0"
0,"AllReduce",1,16,16,1,4096,"float","sum",1,45.412622,0.090195,0.169116,"0"
0,"AllReduce",1,16,16,1,8192,"float","sum",0,48.331725,0.169495,0.317804,"0"
0,"AllReduce",1,16,16,1,8192,"float","sum",1,47.151994,0.173736,0.325755,"0"
0,"AllReduce",1,16,16,1,16384,"float","sum",0,50.219275,0.326249,0.611717,"0"
0,"AllReduce",1,16,16,1,16384,"float","sum",1,47.724344,0.343305,0.643697,"0"
0,"AllReduce",1,16,16,1,32768,"float","sum",0,49.503388,0.661934,1.241127,"0"
0,"AllReduce",1,16,16,1,32768,"float","sum",1,48.467447,0.676083,1.267655,"0"
0,"AllReduce",1,16,16,1,65536,"float","sum",0,51.066591,1.283344,2.406270,"0"
0,"AllReduce",1,16,16,1,65536,"float","sum",1,49.181381,1.332537,2.498506,"0"
0,"AllReduce",1,16,16,1,131072,"float","sum",0,53.126819,2.467153,4.625912,"0"
0,"AllReduce",1,16,16,1,131072,"float","sum",1,51.162613,2.561871,4.803508,"0"
0,"AllReduce",1,16,16,1,262144,"float","sum",0,55.347275,4.736349,8.880654,"0"
0,"AllReduce",1,16,16,1,262144,"float","sum",1,52.630000,4.980885,9.339160,"0"
0,"AllReduce",1,16,16,1,524288,"float","sum",0,60.219650,8.706261,16.324240,"0"
0,"AllReduce",1,16,16,1,524288,"float","sum",1,58.161875,9.014290,16.901793,"0"
0,"AllReduce",1,16,16,1,1048576,"float","sum",0,66.230537,15.832213,29.685400,"0"
0,"AllReduce",1,16,16,1,1048576,"float","sum",1,63.801763,16.434906,30.815450,"0"
0,"AllReduce",1,16,16,1,2097152,"float","sum",0,75.569463,27.751316,52.033717,"0"
0,"AllReduce",1,16,16,1,2097152,"float","sum",1,72.151684,29.065877,54.498520,"0"
0,"AllReduce",1,16,16,1,4194304,"float","sum",0,88.700163,47.286317,88.661844,"0"
0,"AllReduce",1,16,16,1,4194304,"float","sum",1,84.277647,49.767692,93.314423,"0"
0,"AllReduce",1,16,16,1,8388608,"float","sum",0,115.674809,72.518883,135.972906,"0"
0,"AllReduce",1,16,16,1,8388608,"float","sum",1,108.514625,77.303939,144.944886,"0"
0,"AllReduce",1,16,16,1,16777216,"float","sum",0,162.758700,103.080302,193.275567,"0"
0,"AllReduce",1,16,16,1,16777216,"float","sum",1,161.206688,104.072705,195.136322,"0"
0,"AllReduce",1,16,16,1,33554432,"float","sum",0,279.218519,120.172660,225.323737,"0"
0,"AllReduce",1,16,16,1,33554432,"float","sum",1,279.497738,120.052607,225.098638,"0"
0,"AllReduce",1,16,16,1,67108864,"float","sum",0,507.466250,132.243009,247.955642,"0"
0,"AllReduce",1,16,16,1,67108864,"float","sum",1,508.737053,131.912672,247.336260,"0"
0,"AllReduce",1,16,16,1,134217728,"float","sum",0,958.181144,140.075526,262.641612,"0"
0,"AllReduce",1,16,16,1,134217728,"float","sum",1,956.850566,140.270313,263.006836,"0"
0,"AllReduce",1,16,16,1,268435456,"float","sum",0,1821.160291,147.398039,276.371324,"0"
0,"AllReduce",1,16,16,1,268435456,"float","sum",1,1820.023125,147.490135,276.544003,"0"
0,"AllReduce",1,16,16,1,536870912,"float","sum",0,3532.015075,152.001308,285.002453,"0"
0,"AllReduce",1,16,16,1,536870912,"float","sum",1,3530.293531,152.075431,285.141434,"0"
