numCycle,collective,ranks,rankspernode,gpusperrank,size,type,redop,inplace,time,algbw,busbw,#wrong
0,"AllReduce",1,16,16,1,4096,"float","sum",0,70.516122,0.058086,0.108911,"0"
0,"AllReduce",1,16,16,1,4096,"float","sum",1,68.139875,0.060112,0.112709,"0"
0,"AllReduce",1,16,16,1,8192,"float","sum",0,71.408584,0.114720,0.215100,"0"
0,"AllReduce",1,16,16,1,8192,"float","sum",1,74.681578,0.109692,0.205673,"0"
0,"AllReduce",1,16,16,1,16384,"float","sum",0,78.891066,0.207679,0.389398,"0"
0,"AllReduce",1,16,16,1,16384,"float","sum",1,75.148709,0.218021,0.408789,"0"
0,"AllReduce",1,16,16,1,32768,"float","sum",0,94.338281,0.347346,0.651273,"0"
0,"AllReduce",1,16,16,1,32768,"float","sum",1,92.683844,0.353546,0.662899,"0"
0,"AllReduce",1,16,16,1,65536,"float","sum",0,98.558338,0.664946,1.246774,"0"
0,"AllReduce",1,16,16,1,65536,"float","sum",1,93.091041,0.703999,1.319998,"0"
0,"AllReduce",1,16,16,1,131072,"float","sum",0,100.104466,1.309352,2.455035,"0"
0,"AllReduce",1,16,16,1,131072,"float","sum",1,95.712766,1.369431,2.567683,"0"
0,"AllReduce",1,16,16,1,262144,"float","sum",0,100.447675,2.609757,4.893294,"0"
0,"AllReduce",1,16,16,1,262144,"float","sum",1,95.327619,2.749927,5.156113,"0"
0,"AllReduce",1,16,16,1,524288,"float","sum",0,101.744344,5.152994,9.661864,"0"
0,"AllReduce",1,16,16,1,524288,"float","sum",1,98.259331,5.335758,10.004546,"0"
0,"AllReduce",1,16,16,1,1048576,"float","sum",0,104.754241,10.009867,18.768500,"0"
0,"AllReduce",1,16,16,1,1048576,"float","sum",1,102.152678,10.264792,19.246485,"0"
0,"AllReduce",1,16,16,1,2097152,"float","sum",0,117.557169,17.839422,33.448917,"0"
0,"AllReduce",1,16,16,1,2097152,"float","sum",1,115.646078,18.134225,34.001672,"0"
0,"AllReduce",1,16,16,1,4194304,"float","sum",0,137.632862,30.474582,57.139842,"0"
0,"AllReduce",1,16,16,1,4194304,"float","sum",1,131.167225,31.976769,59.956441,"0"
0,"AllReduce",1,16,16,1,8388608,"float","sum",0,165.340100,50.735472,95.129010,"0"
0,"AllReduce",1,16,16,1,8388608,"float","sum",1,168.222916,49.866024,93.498796,"0"
0,"AllReduce",1,16,16,1,16777216,"float","sum",0,228.879066,73.301662,137.440617,"0"
0,"AllReduce",1,16,16,1,16777216,"float","sum",1,222.758441,75.315736,141.217006,"0"
0,"AllReduce",1,16,16,1,33554432,"float","sum",0,326.504347,102.768714,192.691340,"0"
0,"AllReduce",1,16,16,1,33554432,"float","sum",1,324.127422,103.522349,194.104404,"0"
0,"AllReduce",1,16,16,1,67108864,"float","sum",0,516.448531,129.942985,243.643098,"0"
0,"AllReduce",1,16,16,1,67108864,"float","sum",1,514.390809,130.462798,244.617745,"0"
0,"AllReduce",1,16,16,1,134217728,"float","sum",0,885.921700,151.500666,284.063750,"0"
0,"AllReduce",1,16,16,1,134217728,"float","sum",1,892.866400,150.322297,281.854307,"0"
0,"AllReduce",1,16,16,1,268435456,"float","sum",0,1622.494206,165.446172,310.211573,"0"
0,"AllReduce",1,16,16,1,268435456,"float","sum",1,1619.704472,165.731132,310.745873,"0"
0,"AllReduce",1,16,16,1,536870912,"float","sum",0,3025.989372,177.419960,332.662424,"0"
0,"AllReduce",1,16,16,1,536870912,"float","sum",1,3022.063697,177.650429,333.094554,"0"
