numCycle,collective,ranks,rankspernode,gpusperrank,size,type,redop,inplace,time,algbw,busbw,#wrong
0,"AllReduce",1,16,16,1,4096,"float","sum",0,252.945034,0.016193,0.030362,"0"
0,"AllReduce",1,16,16,1,4096,"float","sum",1,252.183281,0.016242,0.030454,"0"
0,"AllReduce",1,16,16,1,8192,"float","sum",0,260.891359,0.031400,0.058875,"0"
0,"AllReduce",1,16,16,1,8192,"float","sum",1,253.418134,0.032326,0.060611,"0"
0,"AllReduce",1,16,16,1,16384,"float","sum",0,261.168906,0.062733,0.117625,"0"
0,"AllReduce",1,16,16,1,16384,"float","sum",1,252.389391,0.064916,0.121717,"0"
0,"AllReduce",1,16,16,1,32768,"float","sum",0,258.772869,0.126628,0.237428,"0"
0,"AllReduce",1,16,16,1,32768,"float","sum",1,251.953903,0.130056,0.243854,"0"
0,"AllReduce",1,16,16,1,65536,"float","sum",0,262.573987,0.249591,0.467982,"0"
0,"AllReduce",1,16,16,1,65536,"float","sum",1,255.739481,0.256261,0.480489,"0"
0,"AllReduce",1,16,16,1,131072,"float","sum",0,259.226016,0.505628,0.948053,"0"
0,"AllReduce",1,16,16,1,131072,"float","sum",1,257.015006,0.509978,0.956209,"0"
0,"AllReduce",1,16,16,1,262144,"float","sum",0,280.495644,0.934574,1.752327,"0"
0,"AllReduce",1,16,16,1,262144,"float","sum",1,280.103209,0.935884,1.754782,"0"
0,"AllReduce",1,16,16,1,524288,"float","sum",0,310.055144,1.690951,3.170533,"0"
0,"AllReduce",1,16,16,1,524288,"float","sum",1,310.542737,1.688296,3.165555,"0"
0,"AllReduce",1,16,16,1,1048576,"float","sum",0,404.871538,2.589898,4.856059,"0"
0,"AllReduce",1,16,16,1,1048576,"float","sum",1,401.472009,2.611828,4.897178,"0"
0,"AllReduce",1,16,16,1,2097152,"float","sum",0,504.198909,4.159374,7.798827,"0"
0,"AllReduce",1,16,16,1,2097152,"float","sum",1,505.086747,4.152063,7.785118,"0"
0,"AllReduce",1,16,16,1,4194304,"float","sum",0,538.132338,7.794187,14.614100,"0"
0,"AllReduce",1,16,16,1,4194304,"float","sum",1,537.335994,7.805738,14.635759,"0"
0,"AllReduce",1,16,16,1,8388608,"float","sum",0,538.198575,15.586455,29.224604,"0"
0,"AllReduce",1,16,16,1,8388608,"float","sum",1,536.020175,15.649799,29.343373,"0"
0,"AllReduce",1,16,16,1,16777216,"float","sum",0,561.503537,29.879092,56.023298,"0"
0,"AllReduce",1,16,16,1,16777216,"float","sum",1,561.618228,29.872991,56.011857,"0"
0,"AllReduce",1,16,16,1,33554432,"float","sum",0,582.161988,57.637621,108.070539,"0"
0,"AllReduce",1,16,16,1,33554432,"float","sum",1,576.633794,58.190193,109.106613,"0"
0,"AllReduce",1,16,16,1,67108864,"float","sum",0,617.109100,108.747163,203.900931,"0"
0,"AllReduce",1,16,16,1,67108864,"float","sum",1,619.673272,108.297174,203.057201,"0"
0,"AllReduce",1,16,16,1,134217728,"float","sum",0,777.029913,172.731739,323.872011,"0"
0,"AllReduce",1,16,16,1,134217728,"float","sum",1,776.305497,172.892925,324.174234,"0"
0,"AllReduce",1,16,16,1,268435456,"float","sum",0,1343.430825,199.813382,374.650090,"0"
0,"AllReduce",1,16,16,1,268435456,"float","sum",1,1343.721816,199.770111,374.568958,"0"
0,"AllReduce",1,16,16,1,536870912,"float","sum",0,2653.000450,202.363672,379.431884,"0"
0,"AllReduce",1,16,16,1,536870912,"float","sum",1,2656.975491,202.060920,378.864225,"0"
