numCycle,collective,ranks,rankspernode,gpusperrank,size,type,redop,inplace,time,algbw,busbw,#wrong
0,"AlltoAll",1,16,16,1,4096,"float","none",0,37.957284,0.107911,0.101166,"0"
0,"AlltoAll",1,16,16,1,4096,"float","none",1,37.914009,0.108034,0.101282,"N/A"
0,"AlltoAll",1,16,16,1,8192,"float","none",0,40.411906,0.202713,0.190043,"0"
0,"AlltoAll",1,16,16,1,8192,"float","none",1,37.362119,0.219260,0.205556,"N/A"
0,"AlltoAll",1,16,16,1,16384,"float","none",0,40.972391,0.399879,0.374887,"0"
0,"AlltoAll",1,16,16,1,16384,"float","none",1,38.050019,0.430591,0.403679,"N/A"
0,"AlltoAll",1,16,16,1,32768,"float","none",0,41.224391,0.794869,0.745190,"0"
0,"AlltoAll",1,16,16,1,32768,"float","none",1,37.179944,0.881335,0.826252,"N/A"
0,"AlltoAll",1,16,16,1,65536,"float","none",0,42.152741,1.554727,1.457556,"0"
0,"AlltoAll",1,16,16,1,65536,"float","none",1,38.776078,1.690114,1.584482,"N/A"
0,"AlltoAll",1,16,16,1,131072,"float","none",0,47.626003,2.752110,2.580103,"0"
0,"AlltoAll",1,16,16,1,131072,"float","none",1,39.062522,3.355441,3.145726,"N/A"
0,"AlltoAll",1,16,16,1,262144,"float","none",0,42.845956,6.118290,5.735897,"0"
0,"AlltoAll",1,16,16,1,262144,"float","none",1,40.030975,6.548529,6.139246,"N/A"
0,"AlltoAll",1,16,16,1,524288,"float","none",0,47.564550,11.022663,10.333746,"0"
0,"AlltoAll",1,16,16,1,524288,"float","none",1,44.126806,11.881395,11.138807,"N/A"
0,"AlltoAll",1,16,16,1,1048576,"float","none",0,57.407056,18.265629,17.124027,"0"
0,"AlltoAll",1,16,16,1,1048576,"float","none",1,55.757581,18.805981,17.630607,"N/A"
0,"AlltoAll",1,16,16,1,2097152,"float","none",0,69.610509,30.126945,28.244011,"0"
0,"AlltoAll",1,16,16,1,2097152,"float","none",1,66.057263,31.747486,29.763268,"N/A"
0,"AlltoAll",1,16,16,1,4194304,"float","none",0,96.479809,43.473386,40.756299,"0"
0,"AlltoAll",1,16,16,1,4194304,"float","none",1,91.104894,46.038186,43.160799,"N/A"
0,"AlltoAll",1,16,16,1,8388608,"float","none",0,148.625128,56.441384,52.913798,"0"
0,"AlltoAll",1,16,16,1,8388608,"float","none",1,143.535122,58.442895,54.790214,"N/A"
0,"AlltoAll",1,16,16,1,16777216,"float","none",0,232.990266,72.008227,67.507713,"0"
0,"AlltoAll",1,16,16,1,16777216,"float","none",1,232.165497,72.264037,67.747534,"N/A"
0,"AlltoAll",1,16,16,1,33554432,"float","none",0,416.037553,80.652412,75.611636,"0"
0,"AlltoAll",1,16,16,1,33554432,"float","none",1,416.265875,80.608174,75.570163,"N/A"
0,"AlltoAll",1,16,16,1,67108864,"float","none",0,766.495759,87.552818,82.080767,"0"
0,"AlltoAll",1,16,16,1,67108864,"float","none",1,765.713191,87.642298,82.164655,"N/A"
0,"AlltoAll",1,16,16,1,134217728,"float","none",0,1454.680181,92.266142,86.499508,"0"
0,"AlltoAll",1,16,16,1,134217728,"float","none",1,1454.141416,92.300327,86.531556,"N/A"
0,"AlltoAll",1,16,16,1,268435456,"float","none",0,2834.659375,94.697606,88.779005,"0"
0,"AlltoAll",1,16,16,1,268435456,"float","none",1,2832.213653,94.779381,88.855669,"N/A"
0,"AlltoAll",1,16,16,1,536870912,"float","none",0,5692.475025,94.312388,88.417864,"0"
0,"AlltoAll",1,16,16,1,536870912,"float","none",1,5677.090947,94.567960,88.657463,"N/A"
