numCycle,collective,ranks,rankspernode,gpusperrank,size,type,redop,inplace,time,algbw,busbw,#wrong
0,"AlltoAll",1,16,16,1,4096,"float","none",0,38.361616,0.106773,0.100100,"0"
0,"AlltoAll",1,16,16,1,4096,"float","none",1,38.189756,0.107254,0.100551,"N/A"
0,"AlltoAll",1,16,16,1,8192,"float","none",0,38.644922,0.211981,0.198732,"0"
0,"AlltoAll",1,16,16,1,8192,"float","none",1,37.046419,0.221128,0.207307,"N/A"
0,"AlltoAll",1,16,16,1,16384,"float","none",0,38.522144,0.425314,0.398732,"0"
0,"AlltoAll",1,16,16,1,16384,"float","none",1,51.327572,0.319205,0.299254,"N/A"
0,"AlltoAll",1,16,16,1,32768,"float","none",0,40.755647,0.804011,0.753761,"0"
0,"AlltoAll",1,16,16,1,32768,"float","none",1,37.531250,0.873086,0.818518,"N/A"
0,"AlltoAll",1,16,16,1,65536,"float","none",0,42.769884,1.532293,1.436525,"0"
0,"AlltoAll",1,16,16,1,65536,"float","none",1,37.904081,1.728996,1.620934,"N/A"
0,"AlltoAll",1,16,16,1,131072,"float","none",0,41.661303,3.146133,2.949500,"0"
0,"AlltoAll",1,16,16,1,131072,"float","none",1,38.802959,3.377887,3.166769,"N/A"
0,"AlltoAll",1,16,16,1,262144,"float","none",0,42.496491,6.168603,5.783066,"0"
0,"AlltoAll",1,16,16,1,262144,"float","none",1,39.873844,6.574335,6.163439,"N/A"
0,"AlltoAll",1,16,16,1,524288,"float","none",0,44.256238,11.846646,11.106231,"0"
0,"AlltoAll",1,16,16,1,524288,"float","none",1,43.967969,11.924317,11.179047,"N/A"
0,"AlltoAll",1,16,16,1,1048576,"float","none",0,54.397419,19.276209,18.071446,"0"
0,"AlltoAll",1,16,16,1,1048576,"float","none",1,54.601103,19.204301,18.004032,"N/A"
0,"AlltoAll",1,16,16,1,2097152,"float","none",0,65.592906,31.972238,29.973973,"0"
0,"AlltoAll",1,16,16,1,2097152,"float","none",1,65.865638,31.839850,29.849859,"N/A"
0,"AlltoAll",1,16,16,1,4194304,"float","none",0,91.939525,45.620249,42.768983,"0"
0,"AlltoAll",1,16,16,1,4194304,"float","none",1,91.255966,45.961970,43.089347,"N/A"
0,"AlltoAll",1,16,16,1,8388608,"float","none",0,142.495359,58.869342,55.190008,"0"
0,"AlltoAll",1,16,16,1,8388608,"float","none",1,144.088797,58.218322,54.579677,"N/A"
0,"AlltoAll",1,16,16,1,16777216,"float","none",0,231.891766,72.349339,67.827505,"0"
0,"AlltoAll",1,16,16,1,16777216,"float","none",1,230.933091,72.649684,68.109079,"N/A"
0,"AlltoAll",1,16,16,1,33554432,"float","none",0,415.634875,80.730550,75.684890,"0"
0,"AlltoAll",1,16,16,1,33554432,"float","none",1,414.874100,80.878589,75.823678,"N/A"
0,"AlltoAll",1,16,16,1,67108864,"float","none",0,767.465419,87.442199,81.977062,"0"
0,"AlltoAll",1,16,16,1,67108864,"float","none",1,764.535519,87.777301,82.291219,"N/A"
0,"AlltoAll",1,16,16,1,134217728,"float","none",0,1454.071769,92.304748,86.535701,"0"
0,"AlltoAll",1,16,16,1,134217728,"float","none",1,1452.550372,92.401428,86.626338,"N/A"
0,"AlltoAll",1,16,16,1,268435456,"float","none",0,2833.236459,94.745165,88.823592,"0"
0,"AlltoAll",1,16,16,1,268435456,"float","none",1,2833.529753,94.735358,88.814398,"N/A"
0,"AlltoAll",1,16,16,1,536870912,"float","none",0,5652.552134,94.978498,89.042342,"0"
0,"AlltoAll",1,16,16,1,536870912,"float","none",1,5669.910791,94.687718,88.769735,"N/A"
