numCycle,collective,ranks,rankspernode,gpusperrank,size,type,redop,inplace,time,algbw,busbw,#wrong
0,"AlltoAll",1,16,16,1,4096,"float","none",0,38.603484,0.106104,0.099473,"0"
0,"AlltoAll",1,16,16,1,4096,"float","none",1,40.494881,0.101149,0.094827,"N/A"
0,"AlltoAll",1,16,16,1,8192,"float","none",0,38.070688,0.215179,0.201730,"0"
0,"AlltoAll",1,16,16,1,8192,"float","none",1,36.348769,0.225372,0.211286,"N/A"
0,"AlltoAll",1,16,16,1,16384,"float","none",0,38.617869,0.424260,0.397743,"0"
0,"AlltoAll",1,16,16,1,16384,"float","none",1,40.300062,0.406550,0.381141,"N/A"
0,"AlltoAll",1,16,16,1,32768,"float","none",0,53.683856,0.610388,0.572239,"0"
0,"AlltoAll",1,16,16,1,32768,"float","none",1,37.319256,0.878045,0.823168,"N/A"
0,"AlltoAll",1,16,16,1,65536,"float","none",0,41.974450,1.561331,1.463748,"0"
0,"AlltoAll",1,16,16,1,65536,"float","none",1,38.064047,1.721730,1.614122,"N/A"
0,"AlltoAll",1,16,16,1,131072,"float","none",0,38.661838,3.390217,3.178328,"0"
0,"AlltoAll",1,16,16,1,131072,"float","none",1,38.573462,3.397984,3.185610,"N/A"
0,"AlltoAll",1,16,16,1,262144,"float","none",0,42.321584,6.194097,5.806966,"0"
0,"AlltoAll",1,16,16,1,262144,"float","none",1,45.830203,5.719896,5.362403,"N/A"
0,"AlltoAll",1,16,16,1,524288,"float","none",0,44.630722,11.747244,11.013042,"0"
0,"AlltoAll",1,16,16,1,524288,"float","none",1,50.742200,10.332386,9.686612,"N/A"
0,"AlltoAll",1,16,16,1,1048576,"float","none",0,54.427644,19.265504,18.061410,"0"
0,"AlltoAll",1,16,16,1,1048576,"float","none",1,54.594825,19.206509,18.006102,"N/A"
0,"AlltoAll",1,16,16,1,2097152,"float","none",0,65.585206,31.975992,29.977492,"0"
0,"AlltoAll",1,16,16,1,2097152,"float","none",1,65.814281,31.864695,29.873152,"N/A"
0,"AlltoAll",1,16,16,1,4194304,"float","none",0,91.634172,45.772269,42.911503,"0"
0,"AlltoAll",1,16,16,1,4194304,"float","none",1,91.787831,45.695643,42.839666,"N/A"
0,"AlltoAll",1,16,16,1,8388608,"float","none",0,142.479253,58.875996,55.196247,"0"
0,"AlltoAll",1,16,16,1,8388608,"float","none",1,141.382525,59.332707,55.624413,"N/A"
0,"AlltoAll",1,16,16,1,16777216,"float","none",0,231.943628,72.333162,67.812339,"0"
0,"AlltoAll",1,16,16,1,16777216,"float","none",1,230.431691,72.807763,68.257278,"N/A"
0,"AlltoAll",1,16,16,1,33554432,"float","none",0,415.515934,80.753659,75.706555,"0"
0,"AlltoAll",1,16,16,1,33554432,"float","none",1,414.932441,80.867218,75.813017,"N/A"
0,"AlltoAll",1,16,16,1,67108864,"float","none",0,767.001638,87.495073,82.026631,"0"
0,"AlltoAll",1,16,16,1,67108864,"float","none",1,766.549316,87.546701,82.075033,"N/A"
0,"AlltoAll",1,16,16,1,134217728,"float","none",0,1461.168669,91.856423,86.115397,"0"
0,"AlltoAll",1,16,16,1,134217728,"float","none",1,1452.813631,92.384684,86.610641,"N/A"
0,"AlltoAll",1,16,16,1,268435456,"float","none",0,2832.421347,94.772431,88.849154,"0"
0,"AlltoAll",1,16,16,1,268435456,"float","none",1,2832.512225,94.769390,88.846303,"N/A"
0,"AlltoAll",1,16,16,1,536870912,"float","none",0,5699.046216,94.203642,88.315915,"0"
0,"AlltoAll",1,16,16,1,536870912,"float","none",1,5696.995584,94.237551,88.347704,"N/A"
