numCycle,collective,ranks,rankspernode,gpusperrank,size,type,redop,inplace,time,algbw,busbw,#wrong
0,"AlltoAll",1,16,16,1,4096,"float","none",0,38.818506,0.105517,0.098922,"0"
0,"AlltoAll",1,16,16,1,4096,"float","none",1,37.754325,0.108491,0.101710,"N/A"
0,"AlltoAll",1,16,16,1,8192,"float","none",0,41.468566,0.197547,0.185201,"0"
0,"AlltoAll",1,16,16,1,8192,"float","none",1,37.615169,0.217784,0.204173,"N/A"
0,"AlltoAll",1,16,16,1,16384,"float","none",0,37.951484,0.431709,0.404727,"0"
0,"AlltoAll",1,16,16,1,16384,"float","none",1,38.013903,0.431000,0.404063,"N/A"
0,"AlltoAll",1,16,16,1,32768,"float","none",0,37.804691,0.866771,0.812598,"0"
0,"AlltoAll",1,16,16,1,32768,"float","none",1,37.217294,0.880451,0.825423,"N/A"
0,"AlltoAll",1,16,16,1,65536,"float","none",0,42.443888,1.544062,1.447558,"0"
0,"AlltoAll",1,16,16,1,65536,"float","none",1,38.545900,1.700207,1.593944,"N/A"
0,"AlltoAll",1,16,16,1,131072,"float","none",0,42.124834,3.111514,2.917044,"0"
0,"AlltoAll",1,16,16,1,131072,"float","none",1,38.782306,3.379686,3.168455,"N/A"
0,"AlltoAll",1,16,16,1,262144,"float","none",0,40.471131,6.477308,6.072477,"0"
0,"AlltoAll",1,16,16,1,262144,"float","none",1,40.112206,6.535268,6.126813,"N/A"
0,"AlltoAll",1,16,16,1,524288,"float","none",0,45.943863,11.411492,10.698273,"0"
0,"AlltoAll",1,16,16,1,524288,"float","none",1,44.271222,11.842637,11.102472,"N/A"
0,"AlltoAll",1,16,16,1,1048576,"float","none",0,58.116425,18.042679,16.915012,"0"
0,"AlltoAll",1,16,16,1,1048576,"float","none",1,54.827616,19.124961,17.929651,"N/A"
0,"AlltoAll",1,16,16,1,2097152,"float","none",0,68.055425,30.815354,28.889394,"0"
0,"AlltoAll",1,16,16,1,2097152,"float","none",1,68.441225,30.641649,28.726546,"N/A"
0,"AlltoAll",1,16,16,1,4194304,"float","none",0,96.328878,43.541502,40.820158,"0"
0,"AlltoAll",1,16,16,1,4194304,"float","none",1,91.081144,46.050190,43.172053,"N/A"
0,"AlltoAll",1,16,16,1,8388608,"float","none",0,147.807172,56.753728,53.206620,"0"
0,"AlltoAll",1,16,16,1,8388608,"float","none",1,142.679463,58.793381,55.118795,"N/A"
0,"AlltoAll",1,16,16,1,16777216,"float","none",0,232.376025,72.198567,67.686157,"0"
0,"AlltoAll",1,16,16,1,16777216,"float","none",1,231.911681,72.343126,67.821681,"N/A"
0,"AlltoAll",1,16,16,1,33554432,"float","none",0,416.404022,80.581431,75.545092,"0"
0,"AlltoAll",1,16,16,1,33554432,"float","none",1,415.001119,80.853835,75.800470,"N/A"
0,"AlltoAll",1,16,16,1,67108864,"float","none",0,766.373197,87.566820,82.093894,"0"
0,"AlltoAll",1,16,16,1,67108864,"float","none",1,766.598531,87.541081,82.069763,"N/A"
0,"AlltoAll",1,16,16,1,134217728,"float","none",0,1454.176363,92.298109,86.529477,"0"
0,"AlltoAll",1,16,16,1,134217728,"float","none",1,1453.555575,92.337528,86.566432,"N/A"
0,"AlltoAll",1,16,16,1,268435456,"float","none",0,2834.082322,94.716887,88.797082,"0"
0,"AlltoAll",1,16,16,1,268435456,"float","none",1,2833.020397,94.752391,88.830366,"N/A"
0,"AlltoAll",1,16,16,1,536870912,"float","none",0,5705.349363,94.099568,88.218345,"0"
0,"AlltoAll",1,16,16,1,536870912,"float","none",1,5611.892075,95.666649,89.687484,"N/A"
